poecilia_reticulata ENSPREG00000004316
seriola_lalandi_dorsalis ENSSLDG00000014450
scleropages_formosus ENSSFOG00015015805
manacus_vitellinus ENSMVIG00005016597
lepidothrix_coronata ENSLCOG00000007936
cyanistes_caeruleus ENSCCEG00000007925
parus_major ENSPMJG00000007761
ficedula_albicollis ENSFALG00000008393
lonchura_striata_domestica ENSLSDG00000000516
lonchura_striata_domestica ENSLSDG00000010057
taeniopygia_guttata ENSTGUG00000000677
taeniopygia_guttata ENSTGUG00000000671
serinus_canaria ENSSCAG00000012984
junco_hyemalis ENSJHYG00000002056
zonotrichia_albicollis ENSZALG00000010425
calidris_pygmaea ENSCPGG00000015683
calidris_pugnax ENSCPUG00000001120
melopsittacus_undulatus ENSMUNG00000004040
anas_platyrhynchos_platyrhynchos ENSAPLG00000004482
anser_brachyrhynchus ENSABRG00000016897
coturnix_japonica ENSCJPG00005007265
nothoprocta_perdicaria ENSNPEG00000005767
sphenodon_punctatus ENSSPUG00000007417
chrysemys_picta_bellii ENSCPBG00000001971
gopherus_agassizii ENSGAGG00000000714
chelonoidis_abingdonii ENSCABG00000007529
chrysemys_picta_bellii ENSCPBG00000001960
crocodylus_porosus ENSCPRG00005013229
pogona_vitticeps ENSPVIG00000023676
monodelphis_domestica ENSMODG00000027729
phascolarctos_cinereus ENSPCIG00000005949
crocodylus_porosus ENSCPRG00005013221
apteryx_rowi ENSARWG00000005113
chelonoidis_abingdonii ENSCABG00000007531
gopherus_agassizii ENSGAGG00000000694
chrysemys_picta_bellii ENSCPBG00000001982
pelodiscus_sinensis ENSPSIG00000003985
anolis_carolinensis ENSACAG00000028639
pogona_vitticeps ENSPVIG00000023677
salvator_merianae ENSSMRG00000017733
salvator_merianae ENSSMRG00000017732
sarcophilus_harrisii ENSSHAG00000014830
monodelphis_domestica ENSMODG00000008537
ovis_aries ENSOARG00000010643
capra_hircus ENSCHIG00000021237
bos_taurus ENSBTAG00000013185
bos_mutus ENSBMUG00000025580
bison_bison_bison ENSBBBG00000023378
tursiops_truncatus ENSTTRG00000000591
sus_scrofa ENSSSCG00000017062
pteropus_vampyrus ENSPVAG00000008856
neovison_vison ENSNVIG00000004115
mustela_putorius_furo ENSMPUG00000013513
ursus_maritimus ENSUMAG00000002705
ursus_americanus ENSUAMG00000006220
ailuropoda_melanoleuca ENSAMEG00000005968
canis_lupus_familiaris ENSCAFG00000028981
canis_lupus_dingo ENSCAFG00020023947
vulpes_vulpes ENSVVUG00000004520
panthera_tigris_altaica ENSPTIG00000018290
panthera_pardus ENSPPRG00000002189
felis_catus ENSFCAG00000033198
equus_caballus ENSECAG00000016251
equus_asinus_asinus ENSEASG00005000989
erinaceus_europaeus ENSEEUG00000011859
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017943
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002274
fukomys_damarensis ENSFDAG00000008967
octodon_degus ENSODEG00000013454
marmota_marmota_marmota ENSMMMG00000013477
spermophilus_dauricus ENSSDAG00000006657
urocitellus_parryii ENSUPAG00010017040
castor_canadensis ENSCCNG00000010493
dipodomys_ordii ENSDORG00000012988
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055546
mus_spicilegus ENSMSIG00000000632
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017092
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016251
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017387
rattus_norvegicus ENSRNOG00000038894
meriones_unguiculatus ENSMUGG00000017011
cricetulus_griseus_crigri_1.0 ENSCGRG00000010273
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009908
cricetulus_griseus_crigri-picr ENSCGRG00015001114
mesocricetus_auratus ENSMAUG00000003000
peromyscus_maniculatus_bairdii ENSPEMG00000012210
nannospalax_galili ENSNGAG00000023712
oryctolagus_cuniculus ENSOCUG00000011915
ochotona_princeps ENSOPRG00000000237
propithecus_coquereli ENSPCOG00000022028
prolemur_simus ENSPSMG00000007225
microcebus_murinus ENSMICG00000000994
otolemur_garnettii ENSOGAG00000005463
pan_paniscus ENSPPAG00000025225
pan_troglodytes ENSPTRG00000017458
homo_sapiens ENSG00000145850
pongo_abelii ENSPPYG00000015982
nomascus_leucogenys ENSNLEG00000003890
cercocebus_atys ENSCATG00000028879
papio_anubis ENSPANG00000008704
theropithecus_gelada ENSTGEG00000007251
mandrillus_leucophaeus ENSMLEG00000034086
macaca_mulatta ENSMMUG00000023568
macaca_fascicularis ENSMFAG00000044327
chlorocebus_sabaeus ENSCSAG00000010730
rhinopithecus_bieti ENSRBIG00000039938
rhinopithecus_roxellana ENSRROG00000029113
piliocolobus_tephrosceles ENSPTEG00000014437
colobus_angolensis_palliatus ENSCANG00000041652
gorilla_gorilla ENSGGOG00000015766
macaca_nemestrina ENSMNEG00000038633
saimiri_boliviensis_boliviensis ENSSBOG00000021510
cebus_capucinus_imitator ENSCCAG00000033014
callithrix_jacchus ENSCJAG00000007284
aotus_nancymaae ENSANAG00000032818
tupaia_belangeri ENSTBEG00000011977
procavia_capensis ENSPCAG00000009640
loxodonta_africana ENSLAFG00000028205
dasypus_novemcinctus ENSDNOG00000004930
choloepus_hoffmanni ENSCHOG00000003945
myotis_lucifugus ENSMLUG00000005736
ornithorhynchus_anatinus ENSOANG00000005088
ornithorhynchus_anatinus ENSOANG00000005087
latimeria_chalumnae ENSLACG00000014127
takifugu_rubripes ENSTRUG00000020098
scophthalmus_maximus ENSSMAG00000011315
astatotilapia_calliptera ENSACLG00000007401
haplochromis_burtoni ENSHBUG00000002339
pundamilia_nyererei ENSPNYG00000000295
neolamprologus_brichardi ENSNBRG00000012146
maylandia_zebra ENSMZEG00005012320
amphilophus_citrinellus ENSACIG00000019243
cyprinodon_variegatus ENSCVAG00000019367
oryzias_latipes_asm223467v1 ENSORLG00000028336
paramormyrops_kingsleyae ENSPKIG00000017948
paramormyrops_kingsleyae ENSPKIG00000017935
paramormyrops_kingsleyae ENSPKIG00000017999
paramormyrops_kingsleyae ENSPKIG00000017984
paramormyrops_kingsleyae ENSPKIG00000017927
paramormyrops_kingsleyae ENSPKIG00000009186
lepisosteus_oculatus ENSLOCG00000009482
lepisosteus_oculatus ENSLOCG00000009475
lepisosteus_oculatus ENSLOCG00000009492
scleropages_formosus ENSSFOG00015015846
xiphophorus_couchianus ENSXCOG00000004200
xiphophorus_maculatus ENSXMAG00000029758
gambusia_affinis ENSGAFG00000008191
fundulus_heteroclitus ENSFHEG00000012854
kryptolebias_marmoratus ENSKMAG00000005547
oryzias_latipes_asm223471v1 ENSORLG00020011737
oryzias_latipes_asm223469v1 ENSORLG00015001929
oryzias_melastigma ENSOMEG00000006155
neolamprologus_brichardi ENSNBRG00000012161
amphilophus_citrinellus ENSACIG00000005585
seriola_dumerili ENSSDUG00000005078
cynoglossus_semilaevis ENSCSEG00000015650
mola_mola ENSMMOG00000004196
periophthalmus_magnuspinnatus ENSPMGG00000015470
phascolarctos_cinereus ENSPCIG00000005948
nothoprocta_perdicaria ENSNPEG00000005769
