meleagris_gallopavo ENSMGAG00000005425
notechis_scutatus ENSNSUG00000013706
latimeria_chalumnae ENSLACG00000001790
castor_canadensis ENSCCNG00000003447
gambusia_affinis ENSGAFG00000016166
periophthalmus_magnuspinnatus ENSPMGG00000019682
amphiprion_percula ENSAPEG00000009169
labrus_bergylta ENSLBEG00000018927
tetraodon_nigroviridis ENSTNIG00000013741
takifugu_rubripes ENSTRUG00000023931
mola_mola ENSMMOG00000009119
fundulus_heteroclitus ENSFHEG00000020135
cyprinodon_variegatus ENSCVAG00000015222
xiphophorus_maculatus ENSXMAG00000026181
xiphophorus_couchianus ENSXCOG00000020910
gambusia_affinis ENSGAFG00000006582
poecilia_latipinna ENSPLAG00000011490
poecilia_mexicana ENSPMEG00000012019
poecilia_formosa ENSPFOG00000022509
poecilia_reticulata ENSPREG00000004228
oryzias_latipes_asm223471v1 ENSORLG00020000979
oryzias_latipes_asm223467v1 ENSORLG00000027321
oryzias_latipes_asm223469v1 ENSORLG00015017630
oryzias_melastigma ENSOMEG00000003029
haplochromis_burtoni ENSHBUG00000016917
seriola_dumerili ENSSDUG00000001473
cynoglossus_semilaevis ENSCSEG00000001150
gadus_morhua ENSGMOG00000005208
esox_lucius ENSELUG00000004182
scleropages_formosus ENSSFOG00015014289
paramormyrops_kingsleyae ENSPKIG00000013360
manacus_vitellinus ENSMVIG00005001607
zonotrichia_albicollis ENSZALG00000017106
pelodiscus_sinensis ENSPSIG00000008893
scophthalmus_maximus ENSSMAG00000018448
cynoglossus_semilaevis ENSCSEG00000011648
seriola_dumerili ENSSDUG00000009571
seriola_lalandi_dorsalis ENSSLDG00000007956
mastacembelus_armatus ENSMAMG00000005836
monopterus_albus ENSMALG00000009518
takifugu_rubripes ENSTRUG00000005268
tetraodon_nigroviridis ENSTNIG00000006789
mola_mola ENSMMOG00000002586
labrus_bergylta ENSLBEG00000028412
amphiprion_percula ENSAPEG00000014762
amphiprion_ocellaris ENSAOCG00000022029
acanthochromis_polyacanthus ENSAPOG00000002629
stegastes_partitus ENSSPAG00000016787
maylandia_zebra ENSMZEG00005012232
astatotilapia_calliptera ENSACLG00000003875
haplochromis_burtoni ENSHBUG00000004294
pundamilia_nyererei ENSPNYG00000006490
neolamprologus_brichardi ENSNBRG00000023353
oreochromis_niloticus ENSONIG00000016709
amphilophus_citrinellus ENSACIG00000009537
poecilia_formosa ENSPFOG00000011124
poecilia_latipinna ENSPLAG00000013888
poecilia_mexicana ENSPMEG00000022772
poecilia_reticulata ENSPREG00000009054
xiphophorus_maculatus ENSXMAG00000004372
xiphophorus_couchianus ENSXCOG00000014706
fundulus_heteroclitus ENSFHEG00000008595
cyprinodon_variegatus ENSCVAG00000003360
kryptolebias_marmoratus ENSKMAG00000000658
oryzias_latipes_asm223469v1 ENSORLG00015022481
oryzias_latipes_asm223467v1 ENSORLG00000011242
oryzias_latipes_asm223471v1 ENSORLG00020001819
gasterosteus_aculeatus ENSGACG00000018967
hippocampus_comes ENSHCOG00000012965
gadus_morhua ENSGMOG00000010745
esox_lucius ENSELUG00000008160
ciona_savignyi ENSCSAVG00000006310
ciona_intestinalis ENSCING00000005118
