poecilia_reticulata ENSPREG00000001136
cynoglossus_semilaevis ENSCSEG00000006302
labrus_bergylta ENSLBEG00000002088
haplochromis_burtoni ENSHBUG00000009453
neolamprologus_brichardi ENSNBRG00000007498
oryzias_latipes_asm223471v1 ENSORLG00020014623
amphiprion_ocellaris ENSAOCG00000022342
amphiprion_percula ENSAPEG00000014641
acanthochromis_polyacanthus ENSAPOG00000000562
cynoglossus_semilaevis ENSCSEG00000006327
seriola_dumerili ENSSDUG00000002615
seriola_lalandi_dorsalis ENSSLDG00000001262
seriola_dumerili ENSSDUG00000017367
stegastes_partitus ENSSPAG00000002618
periophthalmus_magnuspinnatus ENSPMGG00000011280
anabas_testudineus ENSATEG00000010033
mastacembelus_armatus ENSMAMG00000004797
takifugu_rubripes ENSTRUG00000025468
takifugu_rubripes ENSTRUG00000020427
mola_mola ENSMMOG00000002714
paramormyrops_kingsleyae ENSPKIG00000016664
paramormyrops_kingsleyae ENSPKIG00000016693
