gorilla_gorilla ENSGGOG00000012939
homo_sapiens ENSG00000215568
pan_troglodytes ENSPTRG00000033940
pan_paniscus ENSPPAG00000024002
pongo_abelii ENSPPYG00000019909
nomascus_leucogenys ENSNLEG00000007799
rhinopithecus_bieti ENSRBIG00000032342
rhinopithecus_roxellana ENSRROG00000044995
colobus_angolensis_palliatus ENSCANG00000036362
mandrillus_leucophaeus ENSMLEG00000031212
cercocebus_atys ENSCATG00000031122
macaca_fascicularis ENSMFAG00000041078
macaca_nemestrina ENSMNEG00000036091
macaca_mulatta ENSMMUG00000012602
papio_anubis ENSPANG00000016402
chlorocebus_sabaeus ENSCSAG00000014578
cebus_capucinus_imitator ENSCCAG00000033617
