monopterus_albus ENSMALG00000015532
anabas_testudineus ENSATEG00000023806
hippocampus_comes ENSHCOG00000009001
mola_mola ENSMMOG00000017457
scophthalmus_maximus ENSSMAG00000013518
pundamilia_nyererei ENSPNYG00000014129
neolamprologus_brichardi ENSNBRG00000008509
cyprinodon_variegatus ENSCVAG00000017697
poecilia_mexicana ENSPMEG00000023929
oryzias_latipes_asm223469v1 ENSORLG00015006483
oryzias_latipes_asm223471v1 ENSORLG00020012448
mastacembelus_armatus ENSMAMG00000024248
seriola_lalandi_dorsalis ENSSLDG00000024876
serinus_canaria ENSSCAG00000014388
lonchura_striata_domestica ENSLSDG00000006611
melopsittacus_undulatus ENSMUNG00000003379
salvator_merianae ENSSMRG00000019501
