poecilia_mexicana ENSPMEG00000022184
poecilia_reticulata ENSPREG00000001375
poecilia_latipinna ENSPLAG00000022119
xiphophorus_couchianus ENSXCOG00000002959
fundulus_heteroclitus ENSFHEG00000010382
cyprinodon_variegatus ENSCVAG00000011220
seriola_lalandi_dorsalis ENSSLDG00000001573
cynoglossus_semilaevis ENSCSEG00000006372
amphilophus_citrinellus ENSACIG00000014330
acanthochromis_polyacanthus ENSAPOG00000024336
xiphophorus_maculatus ENSXMAG00000027032
astatotilapia_calliptera ENSACLG00000010842
maylandia_zebra ENSMZEG00005000832
pundamilia_nyererei ENSPNYG00000002015
haplochromis_burtoni ENSHBUG00000009372
mastacembelus_armatus ENSMAMG00000005071
oryzias_latipes_asm223467v1 ENSORLG00000029528
ictalurus_punctatus ENSIPUG00000008616
