geneTreeID,nbLeaves,NbSharedLeaves,AU_TreeBest,AU_Ensembl,AU_ReconstructEnsembl,AU_Isosel,TreeBestPassTest,EnsemblTreePassTest,ReconstructEnsemblTreePassTest,au_isosel_pass_test,TreeBestBetter,EnsemblBetter,ReconstructEnsemblBetter,REC_TreeBest,REC_Ensembl,REC_ReconstructEnsembl,RecIsosel,Treebest_REC_is_best,Ensembl_REC_is_best,Ensembl_REC_reconstruct_is_best,Isosel_REC_is_best
ENSGT00860000136165,6,100.0,0.649,0.351,0.649,0.649,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000147002,6,100.0,0.571,0.733,0.571,0.571,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000147173,8,100.0,0.465,0.598,0.465,0.465,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000156907,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000160970,4,50.0,0.484,0.648,5E-62,0.484,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00960000189656,3,100.0,0.296,0.359,0.296,0.296,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00960000188992,4,100.0,0.506,0.494,0.506,0.506,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000010578,7,100.0,0.46,0.546,0.46,0.46,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000004452,10,100.0,0.19,0.811,0.19,0.19,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000008744,16,100.0,0.652,0.529,0.652,0.132,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00510000047568,4,50.0,0.557,0.419,0.557,0.557,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000168834,4,100.0,0.529,0.529,0.529,0.529,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00720000108834,11,81.82,0.95,0.077,;0,0000001;,0.011,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSGT00530000065389,5,100.0,0.577,0.316,0.316,0.316,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ENSGT00940000161630,5,100.0,0.085,0.971,0.085,0.085,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000169931,4,75.0,0.497,0.492,0.497,0.497,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000155543,4,75.0,0.019,0.981,0.019,0.019,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSGT00530000068168,3,100.0,0.487,0.466,0.487,0.487,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000165548,13,84.62,0.603,0.611,0.03,0.653,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000160433,8,100.0,0.985,0.015,0.985,0.985,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000157707,8,37.5,0.605,0.395,0.605,0.605,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000179482,4,100.0,0.502,0.675,0.502,0.502,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000159954,10,90.0,0.988,0.0002,0.988,0.988,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000172903,12,100.0,0.0004,1.0,0.0002,2E-11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000147055,6,100.0,0.609,0.666,0.609,0.609,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000179143,3,100.0,0.185,0.185,0.185,0.185,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00960000188246,3,100.0,0.513,0.481,0.513,0.513,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000014590,6,50.0,0.047,0.953,;0,0000003;,0.047,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000146921,11,100.0,0.585,0.501,0.411,0.585,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000178701,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000164143,5,100.0,0.578,0.613,0.578,0.578,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000157688,5,100.0,0.491,0.509,0.491,0.491,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000169476,4,100.0,0.365,0.351,0.365,0.365,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000016954,4,75.0,0.783,0.482,0.783,0.783,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000147857,5,80.0,0.811,0.605,0.811,0.811,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000162765,3,66.67,0.702,0.702,0.702,0.702,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000168087,5,100.0,0.498,0.526,0.498,0.498,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000015236,3,100.0,0.289,0.099,0.289,0.289,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000011354,4,100.0,0.947,0.09,0.947,0.947,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000157446,3,100.0,0.473,0.473,0.473,0.473,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000155823,3,33.33,1.0,0.0001,1.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000176972,11,100.0,0.085,0.915,0.085,0.085,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000156952,4,50.0,0.533,0.533,0.002,0.533,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000164615,4,75.0,0.997,0.997,0.997,0.997,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000157680,8,62.5,0.228,0.772,;0,000000009;,0.228,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000154389,4,50.0,0.972,0.972,0.972,0.972,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000165231,5,100.0,0.542,0.78,0.542,0.542,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000147763,5,100.0,0.932,0.163,0.932,0.932,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
