geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , AU_ReconstructEnsembl , TreeBestPassTest   , EnsemblTreePassTest , ReconstructEnsemblTreePassTest , TreeBestBetter   , EnsemblBetter , ReconstructEnsemblBetter , REC_TreeBest  ,  REC_Ensembl , REC_ReconstructEnsembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,Ensembl_REC_reconstruct_is_best 
ENSGT00940000169600,3,50.0,0.441,0.506,0.71,1,1,1,0,0,1,1,1,0,0,0,1
ENSGT00940000165548,13,0.0,0.097,0.676,0.606,1,1,1,0,1,0,12,12,12,0,0,0
ENSGT00940000160433,8,-10.0,0.989,0.011,0.989,1,0,1,0,0,0,5,5,5,0,0,0
ENSGT00940000159954,10,0.0,0.719,0.0004,0.302,1,0,1,1,0,0,8,8,8,0,0,0
ENSGT00390000014590,6,33.33,0.6,0.339,0.558,1,1,1,1,0,0,3,3,3,0,0,0
ENSGT00390000004040,8,75.0,0.902,0.164,0.902,1,1,1,0,0,0,2,2,1,0,0,1
ENSGT00940000158783,18,27.27,0.995,0.005,1E-42,1,0,0,1,0,0,15,14,14,0,0,0
ENSGT00900000143393,17,-10.0,0.59,0.208,0.628,1,1,1,0,0,1,4,4,4,0,0,0
ENSGT00390000001511,3,50.0,0.46,0.493,0.493,1,1,1,0,0,0,1,0,0,0,0,0
ENSGT00940000155294,16,0.0,0.966,0.034,0.0005,1,0,0,1,0,0,1,2,4,1,0,0
ENSGT00940000177095,18,-10.0,0.851,0.161,0.001,1,1,0,1,0,0,8,8,9,0,0,0
ENSGT00940000158387,17,40.0,0.297,0.723,0.0001,1,1,0,0,1,0,9,8,9,0,1,0
ENSGT00950000185540,6,-10.0,0.579,0.584,0.579,1,1,1,0,1,0,4,4,3,0,0,1
ENSGT00940000158046,15,16.67,0.427,0.573,"0,00000006",1,1,0,0,1,0,0,1,3,1,0,0
ENSGT00940000162882,12,66.67,0.994,0.015,0.01,1,0,0,1,0,0,10,10,10,0,0,0
ENSGT00940000178019,6,-10.0,0.561,0.561,0.561,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000165652,9,-10.0,0.818,0.182,0.818,1,1,1,0,0,0,3,3,4,0,0,0
ENSGT00940000164774,9,-10.0,0.999,0.03,0.999,1,0,1,0,0,0,6,6,7,0,0,0
ENSGT00940000156549,8,100.0,0.101,0.924,0.101,1,1,1,0,1,0,4,4,5,0,0,0
ENSGT00860000135092,17,100.0,0.514,0.486,0.514,1,1,1,0,0,0,0,0,2,0,0,0
ENSGT00950000183038,3,100.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,2,0,0,0
ENSGT00940000156022,3,100.0,0.495,0.486,0.495,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000169631,8,66.67,0.464,0.041,0.708,1,0,1,0,0,1,4,4,5,0,0,0
ENSGT00940000164045,5,0.0,0.359,0.883,0.543,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000156489,7,33.33,0.981,0.021,0.039,1,0,0,1,0,0,2,2,3,0,0,0
ENSGT00940000165675,5,0.0,0.861,0.0001,0.146,1,0,1,1,0,0,2,3,1,0,0,1
ENSGT00910000147974,7,-10.0,0.622,0.535,0.622,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00940000158220,9,50.0,0.02,0.973,0.056,0,1,1,0,1,0,6,6,7,0,0,0
ENSGT00910000144335,11,-10.0,0.215,0.785,0.215,1,1,1,0,1,0,7,7,7,0,0,0
ENSGT00940000158362,4,0.0,0.147,0.703,0.147,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00950000182863,6,33.33,0.933,0.05,0.049,1,1,0,1,0,0,3,3,3,0,0,0
ENSGT00950000183203,15,33.33,0.766,0.235,6E-12,1,1,0,1,0,0,11,11,11,0,0,0
ENSGT00940000178120,5,-10.0,0.541,0.665,0.541,1,1,1,0,1,0,0,0,1,0,0,0
ENSGT00390000010017,13,100.0,0.15,0.883,0.003,1,1,0,0,1,0,1,4,2,1,0,0
ENSGT00940000159007,6,-10.0,0.825,0.167,0.825,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00390000003628,9,100.0,0.018,0.983,0.018,0,1,0,0,1,0,1,1,1,0,0,0
ENSGT00510000048991,3,50.0,0.477,0.659,0.477,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00420000029792,3,66.67,0.488,0.481,0.488,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000156370,6,100.0,0.599,0.655,0.599,1,1,1,0,1,0,4,4,4,0,0,0
ENSGT00530000063255,4,100.0,0.575,0.645,0.575,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000172014,3,-10.0,0.721,0.489,0.721,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000161512,6,-10.0,0.85,0.233,0.85,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00940000167505,5,0.0,0.58,0.575,0.605,1,1,1,0,0,1,2,2,0,0,0,1
ENSGT00390000008744,16,100.0,0.965,0.035,0.965,1,0,1,0,0,0,2,2,3,0,0,0
ENSGT00390000006227,8,66.67,0.028,0.973,0.028,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000153472,9,0.0,0.928,0.122,0.928,1,1,1,0,0,0,4,4,2,0,0,1
ENSGT00940000158027,8,0.0,0.192,0.825,0.19,1,1,1,0,1,0,6,6,6,0,0,0
ENSGT00910000147528,7,-10.0,0.037,0.263,0.909,0,1,1,0,0,1,5,5,5,0,0,0
ENSGT00950000183248,6,-10.0,0.642,0.325,0.642,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000157805,7,66.67,0.684,0.652,0.684,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00390000007890,6,50.0,0.487,0.513,0.487,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000162075,15,-10.0,0.985,0.015,0.985,1,0,1,0,0,0,2,2,4,0,0,0
ENSGT00940000160970,4,50.0,0.501,0.5,"0,000000003",1,1,0,1,0,0,1,1,1,0,0,0
ENSGT00940000174692,11,100.0,0.344,0.682,0.564,1,1,1,0,1,0,2,2,3,0,0,0
ENSGT00940000166658,16,81.82,0.446,0.554,"0,00007",1,1,0,0,1,0,3,5,4,1,0,0
ENSGT00910000146899,10,50.0,1.0,2E-11,2E-34,1,0,0,1,0,0,8,8,7,0,0,1
ENSGT00940000178224,4,-10.0,0.584,0.613,0.584,1,1,1,0,1,0,1,1,2,0,0,0
ENSGT00950000183312,11,-10.0,0.714,0.287,0.714,1,1,1,0,0,0,8,8,9,0,0,0
ENSGT00940000176078,13,-10.0,0.777,0.243,0.309,1,1,1,1,0,0,3,3,2,0,0,1
ENSGT00940000157459,19,80.0,0.925,0.075,0.925,1,1,1,0,0,0,16,16,16,0,0,0
ENSGT00390000010512,10,0.0,0.365,0.636,0.365,1,1,1,0,1,0,6,6,5,0,0,1
ENSGT00940000159129,8,100.0,0.0004,0.0001,0.0004,0,0,0,0,0,0,5,5,4,0,0,1
ENSGT00940000169756,3,0.0,0.483,0.492,0.463,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00390000003308,6,0.0,0.703,0.329,0.328,1,1,1,1,0,0,4,4,4,0,0,0
ENSGT00530000063787,10,50.0,0.506,0.494,0.506,1,1,1,0,0,0,8,8,8,0,0,0
ENSGT00940000155347,7,33.33,0.214,0.786,8E-77,1,1,0,0,1,0,3,4,3,0,0,0
ENSGT00940000167924,8,-10.0,0.577,0.592,0.577,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00720000108834,11,60.0,0.437,0.598,0.011,1,1,0,0,1,0,4,4,4,0,0,0
ENSGT00940000164532,14,60.0,0.004,0.997,0.0001,0,1,0,0,1,0,10,10,10,0,0,0
ENSGT00690000103118,14,-10.0,0.732,0.268,0.732,1,1,1,0,0,0,0,0,2,0,0,0
ENSGT00940000154956,19,72.73,0.902,"0,0000002","0,00009",1,0,0,1,0,0,15,15,16,0,0,0
ENSGT00940000163213,12,100.0,0.551,0.449,0.551,1,1,1,0,0,0,10,10,10,0,0,0
ENSGT00940000178277,4,-10.0,0.484,0.503,0.484,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00390000003337,10,75.0,0.829,0.171,0.829,1,1,1,0,0,0,6,6,4,0,0,1
ENSGT00940000161450,15,60.0,0.206,0.387,0.717,1,1,1,0,0,1,0,1,3,1,0,0
ENSGT00940000168688,7,-10.0,0.122,0.878,0.122,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00940000160474,17,100.0,0.382,0.618,0.382,1,1,1,0,1,0,3,3,6,0,0,0
ENSGT00940000178375,3,-10.0,0.599,0.56,0.542,1,1,1,1,0,0,2,2,2,0,0,0
ENSGT00940000178042,9,83.33,0.427,0.573,0.427,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00960000186606,7,-10.0,0.188,0.914,0.039,1,1,0,0,1,0,0,1,1,1,0,0
ENSGT00940000163885,13,40.0,0.996,0.004,1E-49,1,0,0,1,0,0,11,10,10,0,0,0
ENSGT00940000177785,5,-10.0,0.165,0.446,0.165,1,1,1,0,1,0,0,0,1,0,0,0
ENSGT00940000177296,3,-10.0,0.499,0.479,0.499,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000177143,3,-10.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,2,0,0,0
ENSGT00910000146517,7,-10.0,0.035,0.965,0.035,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000178325,6,-10.0,0.729,0.508,0.729,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00390000008931,10,33.33,0.62,0.627,0.304,1,1,1,0,1,0,8,8,8,0,0,0
ENSGT00390000016470,11,50.0,0.594,0.407,"0,000007",1,1,0,1,0,0,9,8,9,0,1,0
ENSGT00940000167593,8,-10.0,0.0,0.0,0.0,0,0,0,0,0,0,5,1,0,0,0,1
ENSGT00940000167230,5,0.0,0.489,0.511,"0,00006",1,1,0,0,1,0,3,2,2,0,0,0
ENSGT00940000178526,13,-10.0,0.017,0.596,0.527,0,1,1,0,1,0,7,8,8,1,0,0
ENSGT00940000159656,7,100.0,0.516,0.504,0.516,1,1,1,0,0,0,4,4,5,0,0,0
ENSGT00940000155474,14,66.67,0.39,0.616,"0,00000004",1,1,0,0,1,0,4,4,4,0,0,0
ENSGT00940000178658,3,-10.0,0.695,0.508,0.695,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000168285,3,0.0,0.473,0.476,0.483,1,1,1,0,0,1,1,1,0,0,0,1
ENSGT00640000091497,4,33.33,0.51,0.47,0.51,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00390000003246,4,0.0,0.495,0.468,0.495,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000163053,9,100.0,0.168,0.213,"0,00007",1,1,0,0,1,0,5,5,4,0,0,1
