geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , AU_ReconstructEnsembl , TreeBestPassTest   , EnsemblTreePassTest , ReconstructEnsemblTreePassTest , TreeBestBetter   , EnsemblBetter , ReconstructEnsemblBetter , REC_TreeBest  ,  REC_Ensembl , REC_ReconstructEnsembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,Ensembl_REC_reconstruct_is_best 
ENSGT00940000169600,3,50.0,0.492,0.476,0.492,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000165548,13,0.0,0.1,0.693,0.617,1,1,1,0,1,0,12,12,12,0,0,0
ENSGT00940000160433,8,-10.0,0.989,0.011,0.989,1,0,1,0,0,0,5,5,5,0,0,0
ENSGT00940000159954,10,100.0,0.724,0.001,0.294,1,0,1,1,0,0,8,8,8,0,0,0
ENSGT00390000014590,6,33.33,0.739,0.627,4E-57,1,1,0,1,0,0,3,3,3,0,0,0
ENSGT00390000004040,8,75.0,0.872,0.222,0.872,1,1,1,0,0,0,2,2,1,0,0,1
ENSGT00940000158783,18,54.55,0.999,0.001,4E-96,1,0,0,1,0,0,15,14,14,0,0,0
ENSGT00900000143393,17,-10.0,0.802,0.193,0.802,1,1,1,0,0,0,4,4,4,0,0,0
ENSGT00390000001511,3,50.0,0.469,0.487,0.487,1,1,1,0,0,0,1,0,0,0,0,0
ENSGT00940000155294,16,11.11,0.929,0.071,3E-38,1,1,0,1,0,0,2,3,4,1,0,0
ENSGT00940000177095,18,-10.0,0.85,0.168,0.0001,1,1,0,1,0,0,8,8,9,0,0,0
ENSGT00940000158387,17,20.0,0.229,0.256,"0,00002",1,1,0,0,1,0,10,8,9,0,1,0
ENSGT00950000185540,6,-10.0,0.657,0.607,0.657,1,1,1,0,0,0,4,4,3,0,0,1
ENSGT00940000158046,15,50.0,0.511,0.489,"0,00002",1,1,0,1,0,0,0,1,3,1,0,0
ENSGT00940000162882,12,66.67,0.995,0.012,0.009,1,0,0,1,0,0,10,10,10,0,0,0
ENSGT00940000178019,6,-10.0,0.444,0.44,0.444,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000165652,9,-10.0,0.817,0.184,0.817,1,1,1,0,0,0,3,3,4,0,0,0
ENSGT00940000164774,9,-10.0,1.0,0.031,1.0,1,0,1,0,0,0,6,6,7,0,0,0
ENSGT00940000156549,8,0.0,0.21,0.574,0.705,1,1,1,0,0,1,4,5,5,1,0,0
ENSGT00860000135092,17,50.0,0.489,0.511,0.489,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00950000183038,3,100.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,2,0,0,0
ENSGT00940000156022,3,0.0,0.47,0.501,0.47,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00940000169631,8,0.0,0.251,0.318,4E-66,1,1,0,0,1,0,4,4,5,0,0,0
ENSGT00940000164045,5,0.0,0.393,0.821,0.439,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000156489,7,0.0,0.632,0.007,0.005,1,0,0,1,0,0,2,2,3,0,0,0
ENSGT00940000158566,5,33.33,0.884,0.117,0.001,1,1,0,1,0,0,0,1,1,1,0,0
ENSGT00940000165675,5,0.0,0.87,"0,0000004",0.135,1,0,1,1,0,0,2,3,1,0,0,1
ENSGT00910000147974,7,-10.0,0.625,0.532,0.625,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00940000158220,9,50.0,0.022,0.983,0.056,0,1,1,0,1,0,6,6,7,0,0,0
ENSGT00910000144335,11,-10.0,0.227,0.773,0.227,1,1,1,0,1,0,7,7,7,0,0,0
ENSGT00940000158362,4,0.0,0.149,0.674,0.149,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00950000182863,6,33.33,0.146,0.146,0.136,1,1,1,0,0,0,3,3,3,0,0,0
ENSGT00950000183203,15,33.33,0.879,0.121,0.0002,1,1,0,1,0,0,11,9,11,0,1,0
ENSGT00940000178120,5,-10.0,0.5,0.484,0.5,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00390000010017,13,100.0,0.168,0.87,0.005,1,1,0,0,1,0,1,4,2,1,0,0
ENSGT00940000159007,6,-10.0,0.829,0.162,0.829,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00390000003628,9,83.33,0.016,0.559,0.554,0,1,1,0,1,0,1,1,1,0,0,0
ENSGT00510000048991,3,0.0,0.511,0.592,0.511,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00420000029792,3,0.0,0.484,0.47,0.484,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000156370,6,100.0,0.581,0.638,0.581,1,1,1,0,1,0,4,4,4,0,0,0
ENSGT00530000063255,4,100.0,0.478,0.481,0.478,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000172014,3,-10.0,0.492,0.5,0.492,1,1,1,0,1,0,1,1,0,0,0,1
ENSGT00940000161512,6,-10.0,0.825,0.248,0.825,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00940000167505,5,0.0,0.612,0.596,0.569,1,1,1,1,0,0,2,2,0,0,0,1
ENSGT00390000008744,16,60.0,0.044,0.049,0.974,0,0,1,0,0,1,2,2,3,0,0,0
ENSGT00390000006227,8,66.67,0.573,0.427,0.573,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00940000153472,9,0.0,0.898,0.046,0.898,1,0,1,0,0,0,4,4,2,0,0,1
ENSGT00940000158027,8,33.33,0.694,0.663,0.132,1,1,1,1,0,0,6,6,6,0,0,0
ENSGT00910000147528,7,-10.0,0.056,0.26,0.888,1,1,1,0,0,1,5,5,5,0,0,0
ENSGT00950000183248,6,-10.0,0.669,0.346,0.669,1,1,1,0,0,0,1,1,1,0,0,0
