geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , AU_ReconstructEnsembl , TreeBestPassTest   , EnsemblTreePassTest , ReconstructEnsemblTreePassTest , TreeBestBetter   , EnsemblBetter , ReconstructEnsemblBetter , REC_TreeBest  ,  REC_Ensembl , REC_ReconstructEnsembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,Ensembl_REC_reconstruct_is_best 
ENSGT00940000169600,3,0.0,0.417,0.508,0.694,1,1,1,0,0,1,1,1,0,0,0,1
ENSGT00940000160433,8,-10.0,0.718,0.02,0.718,1,0,1,0,0,0,5,5,5,0,0,0
ENSGT00940000159954,10,0.0,1.0,0.0003,1.0,1,0,1,0,0,0,8,8,8,0,0,0
ENSGT00390000014590,6,0.0,0.191,0.809,1E-59,1,1,0,0,1,0,3,3,3,0,0,0
ENSGT00390000004040,8,50.0,0.612,0.619,0.612,1,1,1,0,1,0,2,2,1,0,0,1
ENSGT00940000158783,18,81.82,0.98,0.02,"0,000008",1,0,0,1,0,0,15,15,14,0,0,1
ENSGT00900000143393,17,-10.0,0.63,0.199,0.584,1,1,1,1,0,0,4,4,4,0,0,0
ENSGT00390000001511,3,0.0,0.506,0.499,0.506,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000155294,16,11.11,0.858,0.142,"0,00004",1,1,0,1,0,0,2,2,4,0,0,0
ENSGT00940000177095,18,-10.0,0.841,0.17,0.0003,1,1,0,1,0,0,8,8,9,0,0,0
ENSGT00940000158387,17,60.0,0.38,0.731,2E-58,1,1,0,0,1,0,9,8,9,0,1,0
ENSGT00950000185540,6,-10.0,0.675,0.624,0.675,1,1,1,0,0,0,4,4,3,0,0,1
ENSGT00940000158046,15,50.0,0.579,0.543,0.318,1,1,1,1,0,0,0,2,3,1,0,0
ENSGT00940000162882,12,66.67,0.995,0.014,0.01,1,0,0,1,0,0,10,10,10,0,0,0
ENSGT00940000178019,6,-10.0,0.421,0.418,0.421,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000165652,9,-10.0,0.827,0.173,0.827,1,1,1,0,0,0,3,3,4,0,0,0
ENSGT00940000164774,9,-10.0,1.0,0.031,1.0,1,0,1,0,0,0,6,6,7,0,0,0
ENSGT00940000156549,8,100.0,0.155,0.895,0.118,1,1,1,0,1,0,4,4,5,0,0,0
ENSGT00860000135092,17,50.0,0.129,0.13,0.872,1,1,1,0,0,1,0,2,2,1,0,0
ENSGT00940000156022,3,0.0,0.483,0.501,0.483,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00940000169631,8,0.0,0.152,0.189,5E-12,1,1,0,0,1,0,4,4,5,0,0,0
ENSGT00940000164045,5,50.0,0.414,0.816,0.425,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000156489,7,0.0,0.403,0.141,0.403,1,1,1,0,0,0,2,2,3,0,0,0
ENSGT00940000158566,5,33.33,0.882,0.119,"0,00005",1,1,0,1,0,0,0,1,1,1,0,0
ENSGT00910000147974,7,-10.0,0.617,0.535,0.617,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00940000158220,9,50.0,0.02,0.982,0.06,0,1,1,0,1,0,6,6,7,0,0,0
ENSGT00910000144335,11,-10.0,0.221,0.779,0.221,1,1,1,0,1,0,7,7,7,0,0,0
ENSGT00940000158362,4,66.67,0.077,0.712,0.077,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00950000182863,6,33.33,0.93,0.049,0.051,1,0,1,1,0,0,3,3,3,0,0,0
ENSGT00950000183203,15,0.0,0.458,0.542,7E-44,1,1,0,0,1,0,11,11,11,0,0,0
ENSGT00940000178120,5,-10.0,0.487,0.487,0.487,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00390000010017,13,0.0,0.161,0.874,0.006,1,1,0,0,1,0,1,4,2,1,0,0
ENSGT00940000159007,6,-10.0,0.809,0.182,0.809,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00510000048991,3,50.0,0.488,0.649,0.488,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00420000029792,3,33.33,0.476,0.491,0.476,1,1,1,0,1,0,1,1,0,0,0,1
ENSGT00940000156370,6,100.0,0.607,0.616,0.607,1,1,1,0,1,0,4,4,4,0,0,0
ENSGT00530000063255,4,100.0,0.481,0.492,0.481,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000172014,3,-10.0,0.503,0.485,0.503,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000161512,6,-10.0,0.845,0.239,0.845,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00940000167505,5,100.0,0.619,0.475,0.58,1,1,1,1,0,0,2,2,0,0,0,1
ENSGT00390000008744,16,60.0,0.257,0.788,0.255,1,1,1,0,1,0,1,2,3,1,0,0
ENSGT00390000006227,8,100.0,0.026,0.974,0.026,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000153472,9,0.0,0.91,0.041,0.91,1,0,1,0,0,0,4,4,2,0,0,1
ENSGT00940000158027,8,33.33,0.67,0.667,0.142,1,1,1,1,0,0,6,6,6,0,0,0
ENSGT00910000147528,7,-10.0,0.05,0.252,0.895,1,1,1,0,0,1,5,5,5,0,0,0
ENSGT00950000183248,6,-10.0,0.647,0.332,0.647,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000157805,7,100.0,0.676,0.664,0.676,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00390000007890,6,50.0,0.504,0.478,0.504,1,1,1,0,0,0,3,3,3,0,0,0
ENSGT00940000162075,15,-10.0,0.987,0.013,0.987,1,0,1,0,0,0,2,2,4,0,0,0
ENSGT00940000160970,4,100.0,0.52,0.437,0.52,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000174692,11,100.0,0.459,0.592,0.459,1,1,1,0,1,0,2,2,3,0,0,0
ENSGT00940000166658,16,18.18,0.421,0.579,0.0001,1,1,0,0,1,0,4,5,4,0,0,0
ENSGT00910000146899,10,50.0,1.0,4E-107,0.001,1,0,0,1,0,0,8,8,7,0,0,1
ENSGT00940000178224,4,-10.0,0.489,0.499,0.489,1,1,1,0,1,0,1,1,2,0,0,0
ENSGT00950000183312,11,-10.0,0.721,0.287,0.721,1,1,1,0,0,0,8,8,9,0,0,0
ENSGT00940000176078,13,-10.0,0.644,0.414,0.402,1,1,1,1,0,0,4,3,2,0,0,1
ENSGT00940000157459,19,60.0,0.917,0.083,0.917,1,1,1,0,0,0,16,16,16,0,0,0
ENSGT00390000010512,10,50.0,0.053,0.728,0.466,1,1,1,0,1,0,6,6,5,0,0,1
ENSGT00940000159129,8,0.0,2E-64,5E-45,8E-23,0,0,0,0,0,1,4,3,4,0,1,0
ENSGT00940000169756,3,0.0,0.488,0.46,0.479,1,1,1,1,0,0,2,2,2,0,0,0
ENSGT00530000063787,10,50.0,0.533,0.516,0.533,1,1,1,0,0,0,8,8,8,0,0,0
ENSGT00940000155347,7,16.67,0.816,0.029,0.057,1,0,1,1,0,0,3,4,3,0,0,0
ENSGT00940000167924,8,-10.0,0.58,0.608,0.58,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00720000108834,11,60.0,0.429,0.601,0.003,1,1,0,0,1,0,4,4,4,0,0,0
ENSGT00940000164532,14,80.0,0.001,0.999,0.001,0,1,0,0,1,0,10,10,10,0,0,0
ENSGT00690000103118,14,-10.0,0.749,0.251,0.749,1,1,1,0,0,0,0,0,2,0,0,0
ENSGT00940000154956,19,63.64,0.837,1E-43,0.006,1,0,0,1,0,0,15,15,16,0,0,0
ENSGT00940000163213,12,75.0,0.521,0.479,0.521,1,1,1,0,0,0,10,10,10,0,0,0
ENSGT00940000178277,4,-10.0,0.447,0.544,0.447,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00390000003337,10,25.0,0.875,0.142,0.875,1,1,1,0,0,0,6,6,4,0,0,1
ENSGT00940000161450,15,50.0,0.617,0.458,0.466,1,1,1,1,0,0,0,1,3,1,0,0
ENSGT00940000168688,7,-10.0,0.129,0.878,0.129,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00940000160474,17,100.0,0.381,0.619,0.381,1,1,1,0,1,0,3,3,6,0,0,0
ENSGT00940000178375,3,-10.0,0.709,0.472,0.557,1,1,1,1,0,0,2,2,2,0,0,0
ENSGT00940000178042,9,50.0,0.961,0.073,0.073,1,1,1,1,0,0,1,0,2,0,1,0
ENSGT00960000186606,7,-10.0,0.182,0.908,0.048,1,1,0,0,1,0,0,1,1,1,0,0
ENSGT00940000163885,13,20.0,0.995,0.005,1E-47,1,0,0,1,0,0,11,10,10,0,0,0
ENSGT00940000166522,9,16.67,0.76,0.772,0.096,1,1,1,0,1,0,1,3,2,1,0,0
ENSGT00940000177785,5,-10.0,0.212,0.561,0.212,1,1,1,0,1,0,0,0,1,0,0,0
ENSGT00940000177296,3,-10.0,0.498,0.739,0.498,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00910000146517,7,-10.0,0.035,0.965,0.035,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000178325,6,-10.0,0.591,0.564,0.591,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000167576,6,100.0,0.364,0.8,0.801,1,1,1,0,0,1,4,3,3,0,0,0
ENSGT00390000008931,10,66.67,0.487,0.594,0.486,1,1,1,0,1,0,8,8,8,0,0,0
ENSGT00390000016470,11,50.0,0.613,0.394,"0,00001",1,1,0,1,0,0,9,8,9,0,1,0
ENSGT00940000167593,8,-10.0,0.0,0.0,0.0,0,0,0,0,0,0,5,1,0,0,0,1
ENSGT00940000167230,5,0.0,0.465,0.509,0.001,1,1,0,0,1,0,3,2,2,0,0,0
ENSGT00940000159656,7,0.0,0.965,0.078,0.965,1,1,1,0,0,0,4,4,5,0,0,0
ENSGT00940000155474,14,66.67,0.012,0.993,"0,0000003",0,1,0,0,1,0,4,2,4,0,1,0
ENSGT00940000178658,3,-10.0,0.517,0.473,0.517,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000168285,3,0.0,0.471,0.52,0.462,1,1,1,0,1,0,1,1,0,0,0,1
ENSGT00640000091497,4,33.33,0.49,0.495,0.49,1,1,1,0,1,0,1,1,0,0,0,1
ENSGT00390000003246,4,0.0,0.471,0.485,0.471,1,1,1,0,1,0,1,1,0,0,0,1
