eptatretus_burgeri ENSEBUG00000009009
petromyzon_marinus ENSPMAG00000008258
gopherus_agassizii ENSGAGG00000019738
chelonoidis_abingdonii ENSCABG00000003527
chrysemys_picta_bellii ENSCPBG00000009422
numida_meleagris ENSNMEG00000004329
gopherus_agassizii ENSGAGG00000005060
anolis_carolinensis ENSACAG00000007865
pogona_vitticeps ENSPVIG00000001827
notechis_scutatus ENSNSUG00000018743
salvator_merianae ENSSMRG00000006788
sphenodon_punctatus ENSSPUG00000008423
octodon_degus ENSODEG00000000134
chinchilla_lanigera ENSCLAG00000000827
cavia_porcellus ENSCPOG00000002710
heterocephalus_glaber_male ENSHGLG00100000467
heterocephalus_glaber_female ENSHGLG00000002249
fukomys_damarensis ENSFDAG00000010537
urocitellus_parryii ENSUPAG00010002020
ictidomys_tridecemlineatus ENSSTOG00000003819
spermophilus_dauricus ENSSDAG00000003225
marmota_marmota_marmota ENSMMMG00000014998
castor_canadensis ENSCCNG00000004963
dipodomys_ordii ENSDORG00000008161
mus_spicilegus ENSMSIG00000022464
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020117
mus_musculus ENSMUSG00000004561
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019226
mus_pahari MGP_PahariEiJ_G0030247
rattus_norvegicus ENSRNOG00000025512
meriones_unguiculatus ENSMUGG00000017935
peromyscus_maniculatus_bairdii ENSPEMG00000022743
microtus_ochrogaster ENSMOCG00000016682
cricetulus_griseus_crigri ENSCGRG00000015526
cricetulus_griseus_crigri-picr ENSCGRG00015003071
cricetulus_griseus_chok1gshd ENSCGRG00001010750
mesocricetus_auratus ENSMAUG00000008709
nannospalax_galili ENSNGAG00000021270
jaculus_jaculus ENSJJAG00000001662
oryctolagus_cuniculus ENSOCUG00000007094
ochotona_princeps ENSOPRG00000004764
pan_troglodytes ENSPTRG00000006108
pan_paniscus ENSPPAG00000032050
gorilla_gorilla ENSGGOG00000013391
homo_sapiens ENSG00000165792
pongo_abelii ENSPPYG00000005582
nomascus_leucogenys ENSNLEG00000013973
rhinopithecus_bieti ENSRBIG00000031488
rhinopithecus_roxellana ENSRROG00000035824
colobus_angolensis_palliatus ENSCANG00000037475
piliocolobus_tephrosceles ENSPTEG00000024539
cercocebus_atys ENSCATG00000040494
mandrillus_leucophaeus ENSMLEG00000040753
papio_anubis ENSPANG00000021109
theropithecus_gelada ENSTGEG00000015157
macaca_fascicularis ENSMFAG00000043736
macaca_nemestrina ENSMNEG00000040221
macaca_mulatta ENSMMUG00000003157
chlorocebus_sabaeus ENSCSAG00000016646
cebus_capucinus ENSCCAG00000035947
saimiri_boliviensis_boliviensis ENSSBOG00000020679
callithrix_jacchus ENSCJAG00000009609
aotus_nancymaae ENSANAG00000036041
carlito_syrichta ENSTSYG00000003442
propithecus_coquereli ENSPCOG00000024629
microcebus_murinus ENSMICG00000013660
prolemur_simus ENSPSMG00000012402
otolemur_garnettii ENSOGAG00000014254
otolemur_garnettii ENSOGAG00000026219
sus_scrofa ENSSSCG00000031921
ovis_aries ENSOARG00000019714
capra_hircus ENSCHIG00000010994
bos_mutus ENSBMUG00000019263
bison_bison_bison ENSBBBG00000010948
bos_taurus ENSBTAG00000006613
sus_scrofa ENSSSCG00000021718
myotis_lucifugus ENSMLUG00000014583
equus_asinus_asinus ENSEASG00005010223
ursus_americanus ENSUAMG00000011141
ursus_maritimus ENSUMAG00000003450
ailuropoda_melanoleuca ENSAMEG00000006615
canis_lupus_dingo ENSCAFG00020014416
canis_lupus_familiaris ENSCAFG00000005435
vulpes_vulpes ENSVVUG00000009081
panthera_pardus ENSPPRG00000010711
panthera_tigris_altaica ENSPTIG00000007288
felis_catus ENSFCAG00000014881
neovison_vison ENSNVIG00000002495
equus_caballus ENSECAG00000013518
sorex_araneus ENSSARG00000010009
pteropus_vampyrus ENSPVAG00000001607
erinaceus_europaeus ENSEEUG00000002506
tursiops_truncatus ENSTTRG00000004213
vicugna_pacos ENSVPAG00000008383
tupaia_belangeri ENSTBEG00000015144
dasypus_novemcinctus ENSDNOG00000019964
choloepus_hoffmanni ENSCHOG00000008953
loxodonta_africana ENSLAFG00000007078
procavia_capensis ENSPCAG00000013867
echinops_telfairi ENSETEG00000019263
phascolarctos_cinereus ENSPCIG00000028751
notamacropus_eugenii ENSMEUG00000008336
sarcophilus_harrisii ENSSHAG00000005786
monodelphis_domestica ENSMODG00000006851
ornithorhynchus_anatinus ENSOANG00000001585
ornithorhynchus_anatinus ENSOANG00000029038
xenopus_tropicalis ENSXETG00000001747
latimeria_chalumnae ENSLACG00000005995
cynoglossus_semilaevis ENSCSEG00000021339
hippocampus_comes ENSHCOG00000012231
tetraodon_nigroviridis ENSTNIG00000005933
takifugu_rubripes ENSTRUG00000024326
mastacembelus_armatus ENSMAMG00000008290
anabas_testudineus ENSATEG00000017426
mola_mola ENSMMOG00000019559
gasterosteus_aculeatus ENSGACG00000017799
labrus_bergylta ENSLBEG00000004908
monopterus_albus ENSMALG00000014127
fundulus_heteroclitus ENSFHEG00000004706
cyprinodon_variegatus ENSCVAG00000005357
xiphophorus_maculatus ENSXMAG00000005415
gambusia_affinis ENSGAFG00000021000
poecilia_formosa ENSPFOG00000003796
poecilia_latipinna ENSPLAG00000006941
poecilia_mexicana ENSPMEG00000023219
poecilia_reticulata ENSPREG00000001337
kryptolebias_marmoratus ENSKMAG00000017924
oryzias_latipes_asm223469v1 ENSORLG00015009853
oryzias_latipes ENSORLG00000003002
oryzias_melastigma ENSOMEG00000000790
amphiprion_ocellaris ENSAOCG00000007493
amphiprion_percula ENSAPEG00000020247
acanthochromis_polyacanthus ENSAPOG00000007576
stegastes_partitus ENSSPAG00000012400
astatotilapia_calliptera ENSACLG00000005351
maylandia_zebra ENSMZEG00005024236
pundamilia_nyererei ENSPNYG00000003273
neolamprologus_brichardi ENSNBRG00000015857
oreochromis_niloticus ENSONIG00000015190
amphilophus_citrinellus ENSACIG00000012754
seriola_dumerili ENSSDUG00000006365
seriola_lalandi_dorsalis ENSSLDG00000007792
scophthalmus_maximus ENSSMAG00000010421
periophthalmus_magnuspinnatus ENSPMGG00000005044
gadus_morhua ENSGMOG00000010872
esox_lucius ENSELUG00000003981
astyanax_mexicanus ENSAMXG00000039184
