macaca_mulatta ENSMMUG00000001196
macaca_nemestrina ENSMNEG00000033051
cercocebus_atys ENSCATG00000035436
rhinopithecus_bieti ENSRBIG00000042105
rhinopithecus_roxellana ENSRROG00000020038
piliocolobus_tephrosceles ENSPTEG00000035302
pan_troglodytes ENSPTRG00000043811
homo_sapiens ENSG00000197446
callithrix_jacchus ENSCJAG00000034902
cebus_capucinus ENSCCAG00000025947
aotus_nancymaae ENSANAG00000036840
pan_troglodytes ENSPTRG00000047387
pan_troglodytes ENSPTRG00000049904
nomascus_leucogenys ENSNLEG00000013856
papio_anubis ENSPANG00000032053
saimiri_boliviensis_boliviensis ENSSBOG00000031960
mandrillus_leucophaeus ENSMLEG00000028068
gorilla_gorilla ENSGGOG00000009716
pan_paniscus ENSPPAG00000027893
carlito_syrichta ENSTSYG00000034710
propithecus_coquereli ENSPCOG00000000442
prolemur_simus ENSPSMG00000022166
microcebus_murinus ENSMICG00000031763
mus_spicilegus ENSMSIG00000027002
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030494
mus_musculus ENSMUSG00000052974
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029396
mus_pahari MGP_PahariEiJ_G0012633
rattus_norvegicus ENSRNOG00000032805
meriones_unguiculatus ENSMUGG00000013070
peromyscus_maniculatus_bairdii ENSPEMG00000015661
microtus_ochrogaster ENSMOCG00000016568
cricetulus_griseus_chok1gshd ENSCGRG00001021800
cricetulus_griseus_crigri-picr ENSCGRG00015024240
cricetulus_griseus_crigri ENSCGRG00000015280
mesocricetus_auratus ENSMAUG00000021936
nannospalax_galili ENSNGAG00000022802
jaculus_jaculus ENSJJAG00000010382
dipodomys_ordii ENSDORG00000001302
dipodomys_ordii ENSDORG00000028041
castor_canadensis ENSCCNG00000021406
heterocephalus_glaber_female ENSHGLG00000002623
heterocephalus_glaber_male ENSHGLG00100015000
fukomys_damarensis ENSFDAG00000009725
cavia_porcellus ENSCPOG00000037474
chinchilla_lanigera ENSCLAG00000000994
octodon_degus ENSODEG00000001618
urocitellus_parryii ENSUPAG00010022415
ictidomys_tridecemlineatus ENSSTOG00000026309
spermophilus_dauricus ENSSDAG00000002084
marmota_marmota_marmota ENSMMMG00000019855
equus_caballus ENSECAG00000007161
equus_asinus_asinus ENSEASG00005005241
equus_caballus ENSECAG00000032340
equus_asinus_asinus ENSEASG00005005239
ursus_americanus ENSUAMG00000013806
ursus_maritimus ENSUMAG00000019834
ailuropoda_melanoleuca ENSAMEG00000012180
mustela_putorius_furo ENSMPUG00000017672
neovison_vison ENSNVIG00000012144
canis_lupus_dingo ENSCAFG00020014841
vulpes_vulpes ENSVVUG00000005601
canis_lupus_familiaris ENSCAFG00000023821
panthera_pardus ENSPPRG00000010393
panthera_tigris_altaica ENSPTIG00000016580
felis_catus ENSFCAG00000027930
myotis_lucifugus ENSMLUG00000026190
capra_hircus ENSCHIG00000014344
ovis_aries ENSOARG00000007090
bos_mutus ENSBMUG00000022981
bos_taurus ENSBTAG00000046805
bison_bison_bison ENSBBBG00000017244
tursiops_truncatus ENSTTRG00000000612
sus_scrofa ENSSSCG00000002994
echinops_telfairi ENSETEG00000014367
oryctolagus_cuniculus ENSOCUG00000029574
ochotona_princeps ENSOPRG00000014885
erinaceus_europaeus ENSEEUG00000012360
phascolarctos_cinereus ENSPCIG00000020923
notamacropus_eugenii ENSMEUG00000008609
sarcophilus_harrisii ENSSHAG00000002777
monodelphis_domestica ENSMODG00000007993
notechis_scutatus ENSNSUG00000011264
