takifugu_rubripes ENSTRUG00000010885
tetraodon_nigroviridis ENSTNIG00000011042
cynoglossus_semilaevis ENSCSEG00000009640
labrus_bergylta ENSLBEG00000016221
mola_mola ENSMMOG00000005865
gasterosteus_aculeatus ENSGACG00000017366
seriola_lalandi_dorsalis ENSSLDG00000022845
seriola_dumerili ENSSDUG00000008243
scophthalmus_maximus ENSSMAG00000006127
mastacembelus_armatus ENSMAMG00000015320
monopterus_albus ENSMALG00000000672
anabas_testudineus ENSATEG00000014435
amphiprion_percula ENSAPEG00000013427
amphiprion_ocellaris ENSAOCG00000015580
acanthochromis_polyacanthus ENSAPOG00000009512
stegastes_partitus ENSSPAG00000010127
astatotilapia_calliptera ENSACLG00000022716
maylandia_zebra ENSMZEG00005019481
pundamilia_nyererei ENSPNYG00000010586
neolamprologus_brichardi ENSNBRG00000011998
oreochromis_niloticus ENSONIG00000017463
haplochromis_burtoni ENSHBUG00000007104
amphilophus_citrinellus ENSACIG00000018569
xiphophorus_maculatus ENSXMAG00000010062
xiphophorus_couchianus ENSXCOG00000011107
gambusia_affinis ENSGAFG00000016493
poecilia_formosa ENSPFOG00000001222
poecilia_mexicana ENSPMEG00000021956
poecilia_latipinna ENSPLAG00000021661
poecilia_reticulata ENSPREG00000001861
cyprinodon_variegatus ENSCVAG00000010742
fundulus_heteroclitus ENSFHEG00000018819
kryptolebias_marmoratus ENSKMAG00000002402
oryzias_latipes ENSORLG00000007071
oryzias_latipes ENSORLG00020019232
oryzias_latipes_asm223469v1 ENSORLG00015018828
oryzias_latipes_asm223469v1 ENSORLG00015018874
oryzias_melastigma ENSOMEG00000004975
hippocampus_comes ENSHCOG00000004682
periophthalmus_magnuspinnatus ENSPMGG00000001858
gadus_morhua ENSGMOG00000016375
esox_lucius ENSELUG00000015856
pygocentrus_nattereri ENSPNAG00000006059
astyanax_mexicanus ENSAMXG00000043725
ictalurus_punctatus ENSIPUG00000001829
danio_rerio ENSDARG00000005210
scleropages_formosus ENSSFOG00015018035
