ficedula_albicollis ENSFALG00000013020
taeniopygia_guttata ENSTGUG00000008762
gallus_gallus ENSGALG00000022644
calidris_pugnax ENSCPUG00000019817
nothoprocta_perdicaria ENSNPEG00000004342
pelodiscus_sinensis ENSPSIG00000017790
anolis_carolinensis ENSACAG00000004606
notechis_scutatus ENSNSUG00000004512
prolemur_simus ENSPSMG00000026003
propithecus_coquereli ENSPCOG00000023086
macaca_mulatta ENSMMUG00000022607
carlito_syrichta ENSTSYG00000035179
latimeria_chalumnae ENSLACG00000008665
maylandia_zebra ENSMZEG00005013207
astatotilapia_calliptera ENSACLG00000018481
haplochromis_burtoni ENSHBUG00000011026
amphilophus_citrinellus ENSACIG00000017214
amphiprion_ocellaris ENSAOCG00000003457
poecilia_reticulata ENSPREG00000001745
gambusia_affinis ENSGAFG00000009809
fundulus_heteroclitus ENSFHEG00000015303
monopterus_albus ENSMALG00000020852
seriola_dumerili ENSSDUG00000016021
labrus_bergylta ENSLBEG00000019965
esox_lucius ENSELUG00000001338
pygocentrus_nattereri ENSPNAG00000016369
astyanax_mexicanus ENSAMXG00000035952
ictalurus_punctatus ENSIPUG00000016763
paramormyrops_kingsleyae ENSPKIG00000024466
lepisosteus_oculatus ENSLOCG00000013101
