ovis_aries ENSOARG00000011394
capra_hircus ENSCHIG00000027251
bos_mutus ENSBMUG00000002027
bos_taurus ENSBTAG00000006035
bison_bison ENSBBBG00000000496
tursiops_truncatus ENSTTRG00000008193
sus_scrofa ENSSSCG00000017498
equus_asinus ENSEASG00005002154
equus_caballus ENSECAG00000020165
neovison_vison ENSNVIG00000004367
mustela_putorius ENSMPUG00000014997
canis_lupus ENSCAFG00000016396
canis_lupus ENSCAFG00020022792
vulpes_vulpes ENSVVUG00000001414
ursus_americanus ENSUAMG00000009409
ursus_maritimus ENSUMAG00000017350
ailuropoda_melanoleuca ENSAMEG00000010090
panthera_tigris ENSPTIG00000010996
panthera_pardus ENSPPRG00000011935
felis_catus ENSFCAG00000009898
erinaceus_europaeus ENSEEUG00000006508
pteropus_vampyrus ENSPVAG00000008512
pan_troglodytes ENSPTRG00000009095
pan_paniscus ENSPPAG00000028534
homo_sapiens ENSG00000131771
gorilla_gorilla ENSGGOG00000006745
pongo_abelii ENSPPYG00000008484
nomascus_leucogenys ENSNLEG00000000902
rhinopithecus_bieti ENSRBIG00000037674
rhinopithecus_roxellana ENSRROG00000031338
colobus_angolensis ENSCANG00000040171
piliocolobus_tephrosceles ENSPTEG00000018975
macaca_mulatta ENSMMUG00000001405
macaca_fascicularis ENSMFAG00000041728
macaca_nemestrina ENSMNEG00000041007
chlorocebus_sabaeus ENSCSAG00000002700
cercocebus_atys ENSCATG00000044720
mandrillus_leucophaeus ENSMLEG00000010019
theropithecus_gelada ENSTGEG00000003357
papio_anubis ENSPANG00000021819
saimiri_boliviensis ENSSBOG00000022726
cebus_capucinus ENSCCAG00000021509
callithrix_jacchus ENSCJAG00000008712
aotus_nancymaae ENSANAG00000019667
carlito_syrichta ENSTSYG00000027691
propithecus_coquereli ENSPCOG00000026636
microcebus_murinus ENSMICG00000010515
prolemur_simus ENSPSMG00000009603
otolemur_garnettii ENSOGAG00000004113
microtus_ochrogaster ENSMOCG00000018923
peromyscus_maniculatus ENSPEMG00000014869
cricetulus_griseus ENSCGRG00015015508
cricetulus_griseus ENSCGRG00001006517
cricetulus_griseus ENSCGRG00000016484
mesocricetus_auratus ENSMAUG00000020772
mus_spicilegus ENSMSIG00000016752
mus_musculus ENSMUSG00000061718
