erinaceus_europaeus ENSEEUG00000001651
sorex_araneus ENSSARG00000013486
mus_musculus ENSMUSG00000034190
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020360
mus_spicilegus ENSMSIG00000024716
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019468
mus_pahari MGP_PahariEiJ_G0030485
rattus_norvegicus ENSRNOG00000016939
meriones_unguiculatus ENSMUGG00000009735
cricetulus_griseus_crigri ENSCGRG00000003638
cricetulus_griseus_chok1gshd ENSCGRG00001021741
cricetulus_griseus_crigri-picr ENSCGRG00015007392
mesocricetus_auratus ENSMAUG00000017878
microtus_ochrogaster ENSMOCG00000015254
peromyscus_maniculatus_bairdii ENSPEMG00000028382
nannospalax_galili ENSNGAG00000015842
jaculus_jaculus ENSJJAG00000012284
castor_canadensis ENSCCNG00000030015
dipodomys_ordii ENSDORG00000007264
ictidomys_tridecemlineatus ENSSTOG00000015867
spermophilus_dauricus ENSSDAG00000005923
marmota_marmota_marmota ENSMMMG00000014044
urocitellus_parryii ENSUPAG00010017507
chinchilla_lanigera ENSCLAG00000015529
octodon_degus ENSODEG00000007294
heterocephalus_glaber_female ENSHGLG00000009513
heterocephalus_glaber_male ENSHGLG00100005069
heterocephalus_glaber_female ENSHGLG00000002381
heterocephalus_glaber_male ENSHGLG00100002490
fukomys_damarensis ENSFDAG00000005661
cavia_porcellus ENSCPOG00000002456
ochotona_princeps ENSOPRG00000008374
ochotona_princeps ENSOPRG00000013375
oryctolagus_cuniculus ENSOCUG00000015668
cebus_capucinus ENSCCAG00000028089
saimiri_boliviensis_boliviensis ENSSBOG00000021845
aotus_nancymaae ENSANAG00000019835
callithrix_jacchus ENSCJAG00000020123
pan_paniscus ENSPPAG00000044136
pan_troglodytes ENSPTRG00000020075
homo_sapiens ENSG00000147457
gorilla_gorilla ENSGGOG00000002536
pongo_abelii ENSPPYG00000018435
nomascus_leucogenys ENSNLEG00000015905
theropithecus_gelada ENSTGEG00000001152
papio_anubis ENSPANG00000024531
chlorocebus_sabaeus ENSCSAG00000016259
macaca_mulatta ENSMMUG00000016653
macaca_fascicularis ENSMFAG00000031228
macaca_nemestrina ENSMNEG00000035503
cercocebus_atys ENSCATG00000015291
mandrillus_leucophaeus ENSMLEG00000038524
rhinopithecus_roxellana ENSRROG00000015732
rhinopithecus_bieti ENSRBIG00000002287
colobus_angolensis_palliatus ENSCANG00000039921
piliocolobus_tephrosceles ENSPTEG00000027513
carlito_syrichta ENSTSYG00000009636
propithecus_coquereli ENSPCOG00000007383
microcebus_murinus ENSMICG00000011964
prolemur_simus ENSPSMG00000006684
otolemur_garnettii ENSOGAG00000001289
tupaia_belangeri ENSTBEG00000003929
canis_lupus_dingo ENSCAFG00020012876
canis_lupus_familiaris ENSCAFG00000009217
vulpes_vulpes ENSVVUG00000005081
mustela_putorius_furo ENSMPUG00000003471
neovison_vison ENSNVIG00000023539
ursus_maritimus ENSUMAG00000004760
ursus_americanus ENSUAMG00000023668
ailuropoda_melanoleuca ENSAMEG00000002969
panthera_tigris_altaica ENSPTIG00000009000
panthera_pardus ENSPPRG00000001462
felis_catus ENSFCAG00000031450
capra_hircus ENSCHIG00000024704
capra_hircus ENSCHIG00000021880
ovis_aries ENSOARG00000010161
bos_mutus ENSBMUG00000018896
bos_taurus ENSBTAG00000013528
bison_bison_bison ENSBBBG00000010611
tursiops_truncatus ENSTTRG00000012242
sus_scrofa ENSSSCG00000033113
