mus_spicilegus ENSMSIG00000020711
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017472
mus_musculus ENSMUSG00000046811
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016636
mus_pahari MGP_PahariEiJ_G0017767
rattus_norvegicus ENSRNOG00000026488
meriones_unguiculatus ENSMUGG00000022775
cricetulus_griseus_crigri-picr ENSCGRG00015005968
cricetulus_griseus_crigri ENSCGRG00000011501
cricetulus_griseus_chok1gshd ENSCGRG00001009273
mesocricetus_auratus ENSMAUG00000019593
microtus_ochrogaster ENSMOCG00000013458
peromyscus_maniculatus_bairdii ENSPEMG00000012078
nannospalax_galili ENSNGAG00000001622
jaculus_jaculus ENSJJAG00000013546
castor_canadensis ENSCCNG00000031541
dipodomys_ordii ENSDORG00000005852
heterocephalus_glaber_female ENSHGLG00000006615
heterocephalus_glaber_male ENSHGLG00100016044
fukomys_damarensis ENSFDAG00000009603
cavia_porcellus ENSCPOG00000031799
octodon_degus ENSODEG00000017280
oryctolagus_cuniculus ENSOCUG00000026031
ochotona_princeps ENSOPRG00000015620
pan_paniscus ENSPPAG00000031037
pan_troglodytes ENSPTRG00000008608
gorilla_gorilla ENSGGOG00000011462
homo_sapiens ENSG00000182327
pongo_abelii ENSPPYG00000007843
nomascus_leucogenys ENSNLEG00000017406
colobus_angolensis_palliatus ENSCANG00000029110
piliocolobus_tephrosceles ENSPTEG00000037819
rhinopithecus_bieti ENSRBIG00000030670
rhinopithecus_roxellana ENSRROG00000022386
papio_anubis ENSPANG00000024328
theropithecus_gelada ENSTGEG00000018965
macaca_fascicularis ENSMFAG00000043494
macaca_mulatta ENSMMUG00000012998
macaca_nemestrina ENSMNEG00000029868
cercocebus_atys ENSCATG00000041775
chlorocebus_sabaeus ENSCSAG00000013039
callithrix_jacchus ENSCJAG00000012028
cebus_capucinus ENSCCAG00000030059
aotus_nancymaae ENSANAG00000021029
carlito_syrichta ENSTSYG00000035674
prolemur_simus ENSPSMG00000002962
propithecus_coquereli ENSPCOG00000017516
microcebus_murinus ENSMICG00000000159
otolemur_garnettii ENSOGAG00000011840
capra_hircus ENSCHIG00000017280
ovis_aries ENSOARG00000007066
bos_taurus ENSBTAG00000048034
bison_bison_bison ENSBBBG00000003157
tursiops_truncatus ENSTTRG00000000564
vicugna_pacos ENSVPAG00000012052
sus_scrofa ENSSSCG00000017914
ursus_americanus ENSUAMG00000005439
ailuropoda_melanoleuca ENSAMEG00000016092
mustela_putorius_furo ENSMPUG00000010833
neovison_vison ENSNVIG00000019838
canis_lupus_dingo ENSCAFG00020011157
vulpes_vulpes ENSVVUG00000027504
canis_lupus_familiaris ENSCAFG00000015863
felis_catus ENSFCAG00000043164
panthera_pardus ENSPPRG00000014949
pteropus_vampyrus ENSPVAG00000004022
myotis_lucifugus ENSMLUG00000015627
equus_caballus ENSECAG00000016414
equus_asinus_asinus ENSEASG00005017849
loxodonta_africana ENSLAFG00000015227
echinops_telfairi ENSETEG00000008824
dasypus_novemcinctus ENSDNOG00000002984
erinaceus_europaeus ENSEEUG00000007435
sarcophilus_harrisii ENSSHAG00000002579
monodelphis_domestica ENSMODG00000005561
phascolarctos_cinereus ENSPCIG00000036855
