anabas_testudineus ENSATEG00000013124
mastacembelus_armatus ENSMAMG00000022506
mola_mola ENSMMOG00000012827
poecilia_latipinna ENSPLAG00000002682
xiphophorus_couchianus ENSXCOG00000016797
periophthalmus_magnuspinnatus ENSPMGG00000004846
danio_rerio ENSDARG00000011673
ovis_aries ENSOARG00000007333
gallus_gallus ENSGALG00000046693
meleagris_gallopavo ENSMGAG00000009984
gallus_gallus ENSGALG00000048656
petromyzon_marinus ENSPMAG00000008391
gadus_morhua ENSGMOG00000014337
periophthalmus_magnuspinnatus ENSPMGG00000021494
fundulus_heteroclitus ENSFHEG00000009550
cyprinodon_variegatus ENSCVAG00000004268
poecilia_mexicana ENSPMEG00000011170
poecilia_latipinna ENSPLAG00000017493
poecilia_reticulata ENSPREG00000000859
xiphophorus_maculatus ENSXMAG00000027137
xiphophorus_couchianus ENSXCOG00000007246
kryptolebias_marmoratus ENSKMAG00000020152
oryzias_latipes ENSORLG00000016604
oryzias_latipes ENSORLG00020011492
oryzias_latipes_asm223469v1 ENSORLG00015017265
oryzias_melastigma ENSOMEG00000003813
gasterosteus_aculeatus ENSGACG00000012820
cynoglossus_semilaevis ENSCSEG00000014921
seriola_dumerili ENSSDUG00000000481
seriola_lalandi_dorsalis ENSSLDG00000015231
mastacembelus_armatus ENSMAMG00000011598
maylandia_zebra ENSMZEG00005015481
pundamilia_nyererei ENSPNYG00000021322
neolamprologus_brichardi ENSNBRG00000015310
oreochromis_niloticus ENSONIG00000006536
amphilophus_citrinellus ENSACIG00000009164
acanthochromis_polyacanthus ENSAPOG00000009253
acanthochromis_polyacanthus ENSAPOG00000012202
acanthochromis_polyacanthus ENSAPOG00000012068
labrus_bergylta ENSLBEG00000013543
mola_mola ENSMMOG00000002576
pygocentrus_nattereri ENSPNAG00000001181
scleropages_formosus ENSSFOG00015020639
paramormyrops_kingsleyae ENSPKIG00000011568
junco_hyemalis ENSJHYG00000002689
zonotrichia_albicollis ENSZALG00000010813
serinus_canaria ENSSCAG00000013605
cyanistes_caeruleus ENSCCEG00000019317
parus_major ENSPMJG00000010743
ficedula_albicollis ENSFALG00000010086
lepidothrix_coronata ENSLCOG00000005350
melopsittacus_undulatus ENSMUNG00000000866
taeniopygia_guttata ENSTGUG00000002429
anser_brachyrhynchus ENSABRG00000000536
anas_platyrhynchos_platyrhynchos ENSAPLG00000005813
numida_meleagris ENSNMEG00000006478
coturnix_japonica ENSCJPG00005011777
crocodylus_porosus ENSCPRG00005014660
chelonoidis_abingdonii ENSCABG00000000180
salvator_merianae ENSSMRG00000008241
anolis_carolinensis ENSACAG00000013453
heterocephalus_glaber_male ENSHGLG00100010984
heterocephalus_glaber_female ENSHGLG00000006928
octodon_degus ENSODEG00000010334
cavia_porcellus ENSCPOG00000005082
cavia_aperea ENSCAPG00000002401
cricetulus_griseus_crigri-picr ENSCGRG00015026228
cricetulus_griseus_crigri ENSCGRG00000006721
cricetulus_griseus_chok1gshd ENSCGRG00001008481
mesocricetus_auratus ENSMAUG00000009860
peromyscus_maniculatus_bairdii ENSPEMG00000021059
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029106
mus_spicilegus ENSMSIG00000030757
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028106
mus_pahari MGP_PahariEiJ_G0021862
nannospalax_galili ENSNGAG00000019332
oryctolagus_cuniculus ENSOCUG00000010296
tupaia_belangeri ENSTBEG00000002489
pan_troglodytes ENSPTRG00000018938
homo_sapiens ENSG00000146530
gorilla_gorilla ENSGGOG00000006434
pongo_abelii ENSPPYG00000017776
nomascus_leucogenys ENSNLEG00000016235
papio_anubis ENSPANG00000006249
theropithecus_gelada ENSTGEG00000025045
macaca_fascicularis ENSMFAG00000040971
macaca_nemestrina ENSMNEG00000026368
macaca_mulatta ENSMMUG00000030278
cercocebus_atys ENSCATG00000039197
mandrillus_leucophaeus ENSMLEG00000003270
chlorocebus_sabaeus ENSCSAG00000013340
piliocolobus_tephrosceles ENSPTEG00000034268
colobus_angolensis_palliatus ENSCANG00000036782
rhinopithecus_bieti ENSRBIG00000032976
rhinopithecus_roxellana ENSRROG00000034122
cebus_capucinus ENSCCAG00000035843
saimiri_boliviensis_boliviensis ENSSBOG00000001688
callithrix_jacchus ENSCJAG00000000800
aotus_nancymaae ENSANAG00000019499
carlito_syrichta ENSTSYG00000002581
prolemur_simus ENSPSMG00000017551
microcebus_murinus ENSMICG00000011837
propithecus_coquereli ENSPCOG00000019980
otolemur_garnettii ENSOGAG00000009730
vicugna_pacos ENSVPAG00000009092
tursiops_truncatus ENSTTRG00000005901
pteropus_vampyrus ENSPVAG00000015263
ailuropoda_melanoleuca ENSAMEG00000009806
ursus_maritimus ENSUMAG00000021866
neovison_vison ENSNVIG00000015671
mustela_putorius_furo ENSMPUG00000014061
