petromyzon_marinus ENSPMAG00000004672
eptatretus_burgeri ENSEBUG00000012493
taeniopygia_guttata ENSTGUG00000009391
taeniopygia_guttata ENSTGUG00000016454
lonchura_striata ENSLSDG00000004783
junco_hyemalis ENSJHYG00000007190
zonotrichia_albicollis ENSZALG00000016093
serinus_canaria ENSSCAG00000011160
ficedula_albicollis ENSFALG00000014039
parus_major ENSPMJG00000016342
cyanistes_caeruleus ENSCCEG00000021115
lepidothrix_coronata ENSLCOG00000003698
manacus_vitellinus ENSMVIG00005004072
melopsittacus_undulatus ENSMUNG00000000077
calidris_pygmaea ENSCPGG00000016803
calidris_pugnax ENSCPUG00000016923
anser_brachyrhynchus ENSABRG00000016188
anas_platyrhynchos ENSAPLG00000012889
meleagris_gallopavo ENSMGAG00000007989
coturnix_japonica ENSCJPG00005015445
gallus_gallus ENSGALG00000006916
numida_meleagris ENSNMEG00000020356
apteryx_haastii ENSAHAG00000017310
apteryx_owenii ENSAOWG00000000692
apteryx_rowi ENSARWG00000002709
dromaius_novaehollandiae ENSDNVG00000015654
nothoprocta_perdicaria ENSNPEG00000005567
crocodylus_porosus ENSCPRG00005007359
gopherus_agassizii ENSGAGG00000014068
chelonoidis_abingdonii ENSCABG00000003253
chrysemys_picta ENSCPBG00000010943
pelodiscus_sinensis ENSPSIG00000004002
sphenodon_punctatus ENSSPUG00000006444
pogona_vitticeps ENSPVIG00000012614
anolis_carolinensis ENSACAG00000001597
notechis_scutatus ENSNSUG00000011531
salvator_merianae ENSSMRG00000000032
phascolarctos_cinereus ENSPCIG00000014706
notamacropus_eugenii ENSMEUG00000000403
sarcophilus_harrisii ENSSHAG00000018353
monodelphis_domestica ENSMODG00000006250
dasypus_novemcinctus ENSDNOG00000013938
choloepus_hoffmanni ENSCHOG00000011255
mus_spretus MGP_SPRETEiJ_G0031483
mus_caroli MGP_CAROLIEiJ_G0030368
mus_spicilegus ENSMSIG00000003761
mus_musculus ENSMUSG00000033917
mus_pahari MGP_PahariEiJ_G0013579
rattus_norvegicus ENSRNOG00000050445
meriones_unguiculatus ENSMUGG00000010259
cricetulus_griseus ENSCGRG00015012294
cricetulus_griseus ENSCGRG00001021786
cricetulus_griseus ENSCGRG00000014867
mesocricetus_auratus ENSMAUG00000012911
peromyscus_maniculatus ENSPEMG00000010731
microtus_ochrogaster ENSMOCG00000017044
nannospalax_galili ENSNGAG00000022550
jaculus_jaculus ENSJJAG00000021843
castor_canadensis ENSCCNG00000023067
spermophilus_dauricus ENSSDAG00000000802
marmota_marmota ENSMMMG00000022699
urocitellus_parryii ENSUPAG00010009502
ictidomys_tridecemlineatus ENSSTOG00000008621
heterocephalus_glaber ENSHGLG00000018300
heterocephalus_glaber ENSHGLG00100004288
fukomys_damarensis ENSFDAG00000012826
chinchilla_lanigera ENSCLAG00000011825
octodon_degus ENSODEG00000004207
cavia_aperea ENSCAPG00000010169
cavia_porcellus ENSCPOG00000040120
papio_anubis ENSPANG00000022209
cercocebus_atys ENSCATG00000040298
mandrillus_leucophaeus ENSMLEG00000038961
chlorocebus_sabaeus ENSCSAG00000007797
macaca_fascicularis ENSMFAG00000031962
macaca_mulatta ENSMMUG00000013331
macaca_nemestrina ENSMNEG00000032939
theropithecus_gelada ENSTGEG00000022391
rhinopithecus_bieti ENSRBIG00000023440
rhinopithecus_roxellana ENSRROG00000039998
piliocolobus_tephrosceles ENSPTEG00000010799
colobus_angolensis ENSCANG00000028573
pan_paniscus ENSPPAG00000031160
pan_troglodytes ENSPTRG00000007833
homo_sapiens ENSG00000006007
gorilla_gorilla ENSGGOG00000002481
pongo_abelii ENSPPYG00000007148
nomascus_leucogenys ENSNLEG00000012560
cebus_capucinus ENSCCAG00000026197
saimiri_boliviensis ENSSBOG00000029219
callithrix_jacchus ENSCJAG00000039029
aotus_nancymaae ENSANAG00000033564
carlito_syrichta ENSTSYG00000032375
propithecus_coquereli ENSPCOG00000018371
microcebus_murinus ENSMICG00000027538
prolemur_simus ENSPSMG00000014563
otolemur_garnettii ENSOGAG00000010045
oryctolagus_cuniculus ENSOCUG00000003596
ochotona_princeps ENSOPRG00000002152
dipodomys_ordii ENSDORG00000000804
sorex_araneus ENSSARG00000002572
