phascolarctos_cinereus ENSPCIG00000000133
sarcophilus_harrisii ENSSHAG00000015964
monodelphis_domestica ENSMODG00000024164
piliocolobus_tephrosceles ENSPTEG00000008946
colobus_angolensis_palliatus ENSCANG00000007668
rhinopithecus_bieti ENSRBIG00000005878
rhinopithecus_roxellana ENSRROG00000009062
macaca_mulatta ENSMMUG00000009035
macaca_fascicularis ENSMFAG00000030291
macaca_nemestrina ENSMNEG00000011913
chlorocebus_sabaeus ENSCSAG00000018813
cercocebus_atys ENSCATG00000000460
mandrillus_leucophaeus ENSMLEG00000014589
theropithecus_gelada ENSTGEG00000011114
papio_anubis ENSPANG00000001041
pan_troglodytes ENSPTRG00000030133
pan_paniscus ENSPPAG00000007556
homo_sapiens ENSG00000179407
gorilla_gorilla ENSGGOG00000038485
pongo_abelii ENSPPYG00000013435
nomascus_leucogenys ENSNLEG00000019296
callithrix_jacchus ENSCJAG00000046212
otolemur_garnettii ENSOGAG00000014090
cricetulus_griseus_chok1gshd ENSCGRG00001014725
cricetulus_griseus_crigri ENSCGRG00000019353
cricetulus_griseus_crigri-picr ENSCGRG00015010179
mesocricetus_auratus ENSMAUG00000009689
microtus_ochrogaster ENSMOCG00000009527
peromyscus_maniculatus_bairdii ENSPEMG00000009473
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029639
mus_spicilegus ENSMSIG00000013500
mus_musculus ENSMUSG00000048206
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028626
mus_pahari MGP_PahariEiJ_G0022365
rattus_norvegicus ENSRNOG00000034088
meriones_unguiculatus ENSMUGG00000008895
nannospalax_galili ENSNGAG00000010629
jaculus_jaculus ENSJJAG00000014628
ochotona_princeps ENSOPRG00000013297
castor_canadensis ENSCCNG00000029335
dipodomys_ordii ENSDORG00000024345
chinchilla_lanigera ENSCLAG00000006709
octodon_degus ENSODEG00000018895
cavia_aperea ENSCAPG00000006780
cavia_porcellus ENSCPOG00000030959
fukomys_damarensis ENSFDAG00000015762
tupaia_belangeri ENSTBEG00000007238
bos_mutus ENSBMUG00000025686
equus_caballus ENSECAG00000033935
ursus_maritimus ENSUMAG00000014901
neovison_vison ENSNVIG00000018251
mustela_putorius_furo ENSMPUG00000017339
ailuropoda_melanoleuca ENSAMEG00000018919
canis_lupus_dingo ENSCAFG00020004815
canis_lupus_familiaris ENSCAFG00000004138
vulpes_vulpes ENSVVUG00000018364
panthera_pardus ENSPPRG00000011004
panthera_tigris_altaica ENSPTIG00000009261
felis_catus ENSFCAG00000001739
erinaceus_europaeus ENSEEUG00000005779
capra_hircus ENSCHIG00000018722
ovis_aries ENSOARG00000018535
bos_taurus ENSBTAG00000006179
sus_scrofa ENSSSCG00000011617
ursus_americanus ENSUAMG00000017285
equus_asinus_asinus ENSEASG00005006791
microcebus_murinus ENSMICG00000005257
dasypus_novemcinctus ENSDNOG00000041626
prolemur_simus ENSPSMG00000001350
urocitellus_parryii ENSUPAG00010004873
ictidomys_tridecemlineatus ENSSTOG00000026698
spermophilus_dauricus ENSSDAG00000004879
marmota_marmota_marmota ENSMMMG00000021483
myotis_lucifugus ENSMLUG00000001820
procavia_capensis ENSPCAG00000007127
ornithorhynchus_anatinus ENSOANG00000006706
salvator_merianae ENSSMRG00000000203
salvator_merianae ENSSMRG00000000213
anolis_carolinensis ENSACAG00000005807
pogona_vitticeps ENSPVIG00000019045
chelonoidis_abingdonii ENSCABG00000005141
gopherus_agassizii ENSGAGG00000003499
chrysemys_picta_bellii ENSCPBG00000014352
pelodiscus_sinensis ENSPSIG00000000348
apteryx_haastii ENSAHAG00000006103
apteryx_owenii ENSAOWG00000015147
apteryx_rowi ENSARWG00000008474
dromaius_novaehollandiae ENSDNVG00000003197
nothoprocta_perdicaria ENSNPEG00000005793
apteryx_rowi ENSARWG00000008476
numida_meleagris ENSNMEG00000018933
coturnix_japonica ENSCJPG00005013954
anser_brachyrhynchus ENSABRG00000009559
calidris_pugnax ENSCPUG00000016974
calidris_pygmaea ENSCPGG00000006152
serinus_canaria ENSSCAG00000004665
cyanistes_caeruleus ENSCCEG00000021968
junco_hyemalis ENSJHYG00000000971
zonotrichia_albicollis ENSZALG00000016851
ficedula_albicollis ENSFALG00000014651
lonchura_striata_domestica ENSLSDG00000009924
melopsittacus_undulatus ENSMUNG00000007466
