phascolarctos_cinereus ENSPCIG00000022691
notamacropus_eugenii ENSMEUG00000007188
sarcophilus_harrisii ENSSHAG00000014658
monodelphis_domestica ENSMODG00000011062
loxodonta_africana ENSLAFG00000007374
echinops_telfairi ENSETEG00000010873
equus_caballus ENSECAG00000014143
equus_asinus_asinus ENSEASG00005007901
sorex_araneus ENSSARG00000000296
bos_mutus ENSBMUG00000017294
bos_taurus ENSBTAG00000013027
bison_bison_bison ENSBBBG00000022612
capra_hircus ENSCHIG00000018036
ovis_aries ENSOARG00000003317
tursiops_truncatus ENSTTRG00000006098
sus_scrofa ENSSSCG00000011277
pteropus_vampyrus ENSPVAG00000008919
myotis_lucifugus ENSMLUG00000005640
ursus_americanus ENSUAMG00000007023
ursus_maritimus ENSUMAG00000002192
ailuropoda_melanoleuca ENSAMEG00000011508
canis_lupus_dingo ENSCAFG00020025275
canis_lupus_familiaris ENSCAFG00000005246
mustela_putorius_furo ENSMPUG00000011755
neovison_vison ENSNVIG00000019089
felis_catus ENSFCAG00000006143
panthera_pardus ENSPPRG00000010250
vulpes_vulpes ENSVVUG00000005286
panthera_tigris_altaica ENSPTIG00000005556
erinaceus_europaeus ENSEEUG00000013775
dasypus_novemcinctus ENSDNOG00000007429
prolemur_simus ENSPSMG00000021441
microcebus_murinus ENSMICG00000049534
propithecus_coquereli ENSPCOG00000013205
otolemur_garnettii ENSOGAG00000015476
pan_paniscus ENSPPAG00000007697
pan_troglodytes ENSPTRG00000014791
gorilla_gorilla ENSGGOG00000036980
homo_sapiens ENSG00000187094
pongo_abelii ENSPPYG00000013983
nomascus_leucogenys ENSNLEG00000005801
theropithecus_gelada ENSTGEG00000014861
chlorocebus_sabaeus ENSCSAG00000016797
papio_anubis ENSPANG00000012767
macaca_nemestrina ENSMNEG00000040525
macaca_mulatta ENSMMUG00000001077
macaca_fascicularis ENSMFAG00000002130
cercocebus_atys ENSCATG00000034434
mandrillus_leucophaeus ENSMLEG00000032801
colobus_angolensis_palliatus ENSCANG00000034037
piliocolobus_tephrosceles ENSPTEG00000015004
rhinopithecus_bieti ENSRBIG00000037595
rhinopithecus_roxellana ENSRROG00000039934
cebus_capucinus ENSCCAG00000022026
saimiri_boliviensis_boliviensis ENSSBOG00000033135
callithrix_jacchus ENSCJAG00000018017
aotus_nancymaae ENSANAG00000030129
carlito_syrichta ENSTSYG00000006205
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033972
mus_musculus ENSMUSG00000032532
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032824
mus_spicilegus ENSMSIG00000023310
mus_pahari MGP_PahariEiJ_G0015690
rattus_norvegicus ENSRNOG00000019321
meriones_unguiculatus ENSMUGG00000023795
cricetulus_griseus_crigri-picr ENSCGRG00015011015
cricetulus_griseus_crigri ENSCGRG00000006616
cricetulus_griseus_chok1gshd ENSCGRG00001024077
mesocricetus_auratus ENSMAUG00000016999
microtus_ochrogaster ENSMOCG00000014234
peromyscus_maniculatus_bairdii ENSPEMG00000027198
nannospalax_galili ENSNGAG00000021398
jaculus_jaculus ENSJJAG00000023903
castor_canadensis ENSCCNG00000020029
heterocephalus_glaber_female ENSHGLG00000012582
heterocephalus_glaber_male ENSHGLG00100010211
fukomys_damarensis ENSFDAG00000019077
octodon_degus ENSODEG00000011184
cavia_porcellus ENSCPOG00000014533
chinchilla_lanigera ENSCLAG00000017113
ictidomys_tridecemlineatus ENSSTOG00000023678
marmota_marmota_marmota ENSMMMG00000009393
spermophilus_dauricus ENSSDAG00000004730
oryctolagus_cuniculus ENSOCUG00000015676
oryctolagus_cuniculus ENSOCUG00000021085
ochotona_princeps ENSOPRG00000004491
tupaia_belangeri ENSTBEG00000006193
choloepus_hoffmanni ENSCHOG00000009293
ornithorhynchus_anatinus ENSOANG00000011995
xenopus_tropicalis ENSXETG00000032263
xenopus_tropicalis ENSXETG00000022894
apteryx_haastii ENSAHAG00000006735
apteryx_owenii ENSAOWG00000010749
apteryx_rowi ENSARWG00000012972
dromaius_novaehollandiae ENSDNVG00000001221
anas_platyrhynchos_platyrhynchos ENSAPLG00000001188
anser_brachyrhynchus ENSABRG00000014462
melopsittacus_undulatus ENSMUNG00000000969
calidris_pygmaea ENSCPGG00000008244
calidris_pugnax ENSCPUG00000001382
manacus_vitellinus ENSMVIG00005012517
lepidothrix_coronata ENSLCOG00000003307
serinus_canaria ENSSCAG00000002036
taeniopygia_guttata ENSTGUG00000004682
cyanistes_caeruleus ENSCCEG00000013107
parus_major ENSPMJG00000010549
ficedula_albicollis ENSFALG00000012283
junco_hyemalis ENSJHYG00000000914
zonotrichia_albicollis ENSZALG00000008128
gallus_gallus ENSGALG00000029788
meleagris_gallopavo ENSMGAG00000011731
coturnix_japonica ENSCJPG00005004461
numida_meleagris ENSNMEG00000010762
lonchura_striata_domestica ENSLSDG00000006068
nothoprocta_perdicaria ENSNPEG00000002381
crocodylus_porosus ENSCPRG00005008674
chelonoidis_abingdonii ENSCABG00000012505
gopherus_agassizii ENSGAGG00000011053
chrysemys_picta_bellii ENSCPBG00000023324
pelodiscus_sinensis ENSPSIG00000002429
pogona_vitticeps ENSPVIG00000002819
anolis_carolinensis ENSACAG00000004398
notechis_scutatus ENSNSUG00000006685
salvator_merianae ENSSMRG00000010065
sphenodon_punctatus ENSSPUG00000011717
xenopus_tropicalis ENSXETG00000000355
latimeria_chalumnae ENSLACG00000001730
ictalurus_punctatus ENSIPUG00000016784
astyanax_mexicanus ENSAMXG00000034673
danio_rerio ENSDARG00000100052
fundulus_heteroclitus ENSFHEG00000016971
cyprinodon_variegatus ENSCVAG00000001576
xiphophorus_maculatus ENSXMAG00000000398
xiphophorus_couchianus ENSXCOG00000001977
gambusia_affinis ENSGAFG00000018694
poecilia_latipinna ENSPLAG00000017364
poecilia_reticulata ENSPREG00000017999
poecilia_mexicana ENSPMEG00000009895
poecilia_formosa ENSPFOG00000008771
kryptolebias_marmoratus ENSKMAG00000021860
periophthalmus_magnuspinnatus ENSPMGG00000016650
seriola_dumerili ENSSDUG00000001475
anabas_testudineus ENSATEG00000005988
takifugu_rubripes ENSTRUG00000013433
esox_lucius ENSELUG00000002273
oryzias_latipes ENSORLG00020005253
oryzias_latipes ENSORLG00000005594
oryzias_latipes_asm223469v1 ENSORLG00015000501
oryzias_melastigma ENSOMEG00000012175
hippocampus_comes ENSHCOG00000020700
astatotilapia_calliptera ENSACLG00000005097
pundamilia_nyererei ENSPNYG00000001337
haplochromis_burtoni ENSHBUG00000019287
maylandia_zebra ENSMZEG00005011660
oreochromis_niloticus ENSONIG00000015434
neolamprologus_brichardi ENSNBRG00000020772
amphilophus_citrinellus ENSACIG00000017158
stegastes_partitus ENSSPAG00000006622
scophthalmus_maximus ENSSMAG00000020718
cynoglossus_semilaevis ENSCSEG00000006374
mola_mola ENSMMOG00000021153
labrus_bergylta ENSLBEG00000024541
amphiprion_ocellaris ENSAOCG00000017470
amphiprion_percula ENSAPEG00000001837
acanthochromis_polyacanthus ENSAPOG00000000609
mastacembelus_armatus ENSMAMG00000005620
tetraodon_nigroviridis ENSTNIG00000009248
seriola_lalandi_dorsalis ENSSLDG00000005528
scleropages_formosus ENSSFOG00015001857
pygocentrus_nattereri ENSPNAG00000021263
astyanax_mexicanus ENSAMXG00000031205
ictalurus_punctatus ENSIPUG00000009971
danio_rerio ENSDARG00000070810
