petromyzon_marinus ENSPMAG00000003980
eptatretus_burgeri ENSEBUG00000005756
mastacembelus_armatus ENSMAMG00000016624
monopterus_albus ENSMALG00000012191
anabas_testudineus ENSATEG00000013230
xiphophorus_maculatus ENSXMAG00000008611
xiphophorus_couchianus ENSXCOG00000008485
gambusia_affinis ENSGAFG00000005755
poecilia_latipinna ENSPLAG00000022641
poecilia_mexicana ENSPMEG00000020789
poecilia_formosa ENSPFOG00000000411
poecilia_reticulata ENSPREG00000011694
fundulus_heteroclitus ENSFHEG00000001581
cyprinodon_variegatus ENSCVAG00000000683
kryptolebias_marmoratus ENSKMAG00000019876
oryzias_latipes ENSORLG00020006373
oryzias_latipes_asm223469v1 ENSORLG00015008384
oryzias_latipes ENSORLG00000014177
oryzias_melastigma ENSOMEG00000006513
haplochromis_burtoni ENSHBUG00000020194
pundamilia_nyererei ENSPNYG00000023380
astatotilapia_calliptera ENSACLG00000015514
maylandia_zebra ENSMZEG00005020228
neolamprologus_brichardi ENSNBRG00000015191
oreochromis_niloticus ENSONIG00000016135
amphilophus_citrinellus ENSACIG00000005595
amphiprion_percula ENSAPEG00000019035
amphiprion_ocellaris ENSAOCG00000004928
acanthochromis_polyacanthus ENSAPOG00000006873
stegastes_partitus ENSSPAG00000011069
seriola_dumerili ENSSDUG00000001930
seriola_lalandi_dorsalis ENSSLDG00000016495
scophthalmus_maximus ENSSMAG00000014840
labrus_bergylta ENSLBEG00000023949
gasterosteus_aculeatus ENSGACG00000000265
tetraodon_nigroviridis ENSTNIG00000019386
tetraodon_nigroviridis ENSTNIG00000002319
takifugu_rubripes ENSTRUG00000000445
mola_mola ENSMMOG00000019081
periophthalmus_magnuspinnatus ENSPMGG00000003715
cynoglossus_semilaevis ENSCSEG00000020792
gadus_morhua ENSGMOG00000004647
esox_lucius ENSELUG00000011558
pygocentrus_nattereri ENSPNAG00000013123
astyanax_mexicanus ENSAMXG00000030508
ictalurus_punctatus ENSIPUG00000009362
danio_rerio ENSDARG00000061265
scleropages_formosus ENSSFOG00015012018
paramormyrops_kingsleyae ENSPKIG00000016041
lepisosteus_oculatus ENSLOCG00000002877
anolis_carolinensis ENSACAG00000009772
pogona_vitticeps ENSPVIG00000024543
notechis_scutatus ENSNSUG00000010213
salvator_merianae ENSSMRG00000014344
sphenodon_punctatus ENSSPUG00000016323
taeniopygia_guttata ENSTGUG00000003935
lonchura_striata_domestica ENSLSDG00000001465
serinus_canaria ENSSCAG00000011098
zonotrichia_albicollis ENSZALG00000006619
junco_hyemalis ENSJHYG00000017804
