astyanax_mexicanus ENSAMXG00000015682
pygocentrus_nattereri ENSPNAG00000012692
ictalurus_punctatus ENSIPUG00000012745
danio_rerio ENSDARG00000010681
esox_lucius ENSELUG00000016871
scleropages_formosus ENSSFOG00015019742
paramormyrops_kingsleyae ENSPKIG00000009733
lepisosteus_oculatus ENSLOCG00000016719
hippocampus_comes ENSHCOG00000002739
periophthalmus_magnuspinnatus ENSPMGG00000021686
oryzias_latipes_asm223469v1 ENSORLG00015021597
oryzias_latipes ENSORLG00020016125
oryzias_latipes ENSORLG00000003209
oryzias_melastigma ENSOMEG00000021792
amphiprion_percula ENSAPEG00000017111
monopterus_albus ENSMALG00000009332
tetraodon_nigroviridis ENSTNIG00000013381
takifugu_rubripes ENSTRUG00000003134
mola_mola ENSMMOG00000007892
gasterosteus_aculeatus ENSGACG00000012257
seriola_lalandi_dorsalis ENSSLDG00000017955
cyprinodon_variegatus ENSCVAG00000019146
fundulus_heteroclitus ENSFHEG00000020057
poecilia_formosa ENSPFOG00000019035
poecilia_latipinna ENSPLAG00000021228
poecilia_mexicana ENSPMEG00000012461
poecilia_reticulata ENSPREG00000013417
gambusia_affinis ENSGAFG00000017097
xiphophorus_maculatus ENSXMAG00000016136
xiphophorus_couchianus ENSXCOG00000004187
kryptolebias_marmoratus ENSKMAG00000000227
cynoglossus_semilaevis ENSCSEG00000004465
anabas_testudineus ENSATEG00000022466
mastacembelus_armatus ENSMAMG00000022464
seriola_dumerili ENSSDUG00000004501
maylandia_zebra ENSMZEG00005002273
astatotilapia_calliptera ENSACLG00000004450
haplochromis_burtoni ENSHBUG00000009566
pundamilia_nyererei ENSPNYG00000002070
neolamprologus_brichardi ENSNBRG00000009416
oreochromis_niloticus ENSONIG00000007118
amphilophus_citrinellus ENSACIG00000003876
labrus_bergylta ENSLBEG00000022136
acanthochromis_polyacanthus ENSAPOG00000018924
stegastes_partitus ENSSPAG00000008660
amphiprion_ocellaris ENSAOCG00000018541
scophthalmus_maximus ENSSMAG00000007149
apteryx_owenii ENSAOWG00000003526
apteryx_rowi ENSARWG00000004456
apteryx_haastii ENSAHAG00000017116
dromaius_novaehollandiae ENSDNVG00000007794
lonchura_striata_domestica ENSLSDG00000004544
taeniopygia_guttata ENSTGUG00000009107
serinus_canaria ENSSCAG00000011471
junco_hyemalis ENSJHYG00000003109
zonotrichia_albicollis ENSZALG00000016378
parus_major ENSPMJG00000000325
cyanistes_caeruleus ENSCCEG00000006486
ficedula_albicollis ENSFALG00000012070
lepidothrix_coronata ENSLCOG00000001542
manacus_vitellinus ENSMVIG00005007270
melopsittacus_undulatus ENSMUNG00000007996
calidris_pygmaea ENSCPGG00000003184
calidris_pugnax ENSCPUG00000002437
gallus_gallus ENSGALG00000010385
coturnix_japonica ENSCJPG00005011358
meleagris_gallopavo ENSMGAG00000011035
numida_meleagris ENSNMEG00000016724
anser_brachyrhynchus ENSABRG00000019032
nothoprocta_perdicaria ENSNPEG00000007213
anas_platyrhynchos_platyrhynchos ENSAPLG00000026637
crocodylus_porosus ENSCPRG00005012660
chelonoidis_abingdonii ENSCABG00000019681
gopherus_agassizii ENSGAGG00000010659
chrysemys_picta_bellii ENSCPBG00000025194
pelodiscus_sinensis ENSPSIG00000011032
pogona_vitticeps ENSPVIG00000024723
anolis_carolinensis ENSACAG00000009630
notechis_scutatus ENSNSUG00000008538
salvator_merianae ENSSMRG00000006289
sphenodon_punctatus ENSSPUG00000011894
jaculus_jaculus ENSJJAG00000000504
rattus_norvegicus ENSRNOG00000018980
ovis_aries ENSOARG00000007208
phascolarctos_cinereus ENSPCIG00000028130
notamacropus_eugenii ENSMEUG00000011880
sarcophilus_harrisii ENSSHAG00000014379
monodelphis_domestica ENSMODG00000018970
ornithorhynchus_anatinus ENSOANG00000003039
xenopus_tropicalis ENSXETG00000010588
latimeria_chalumnae ENSLACG00000013440
petromyzon_marinus ENSPMAG00000000115
