pan_troglodytes ENSPTRG00000051179
pan_paniscus ENSPPAG00000030262
gorilla_gorilla ENSGGOG00000043984
nomascus_leucogenys ENSNLEG00000032495
rhinopithecus_roxellana ENSRROG00000035257
rhinopithecus_bieti ENSRBIG00000039399
colobus_angolensis ENSCANG00000033599
piliocolobus_tephrosceles ENSPTEG00000038453
macaca_fascicularis ENSMFAG00000038252
macaca_nemestrina ENSMNEG00000036603
cercocebus_atys ENSCATG00000040703
papio_anubis ENSPANG00000030089
mandrillus_leucophaeus ENSMLEG00000044065
aotus_nancymaae ENSANAG00000026339
