chelonoidis_abingdonii ENSCABG00000005266
gopherus_agassizii ENSGAGG00000000491
gopherus_agassizii ENSGAGG00000015887
chrysemys_picta ENSCPBG00000005140
crocodylus_porosus ENSCPRG00005000131
salvator_merianae ENSSMRG00000007401
salvator_merianae ENSSMRG00000007413
pogona_vitticeps ENSPVIG00000018773
anolis_carolinensis ENSACAG00000016489
notechis_scutatus ENSNSUG00000010022
sphenodon_punctatus ENSSPUG00000010606
lonchura_striata ENSLSDG00000007086
lonchura_striata ENSLSDG00000007080
serinus_canaria ENSSCAG00000008478
ficedula_albicollis ENSFALG00000009596
ficedula_albicollis ENSFALG00000009606
junco_hyemalis ENSJHYG00000005075
zonotrichia_albicollis ENSZALG00000010556
parus_major ENSPMJG00000003427
lepidothrix_coronata ENSLCOG00000004895
calidris_pygmaea ENSCPGG00000017477
calidris_pugnax ENSCPUG00000000748
melopsittacus_undulatus ENSMUNG00000002384
gallus_gallus ENSGALG00000032658
meleagris_gallopavo ENSMGAG00000010863
coturnix_japonica ENSCJPG00005019038
numida_meleagris ENSNMEG00000004367
anas_platyrhynchos ENSAPLG00000003619
anser_brachyrhynchus ENSABRG00000012062
taeniopygia_guttata ENSTGUG00000002092
apteryx_owenii ENSAOWG00000012504
apteryx_rowi ENSARWG00000017524
apteryx_haastii ENSAHAG00000004135
dromaius_novaehollandiae ENSDNVG00000004158
nothoprocta_perdicaria ENSNPEG00000013865
prolemur_simus ENSPSMG00000015220
propithecus_coquereli ENSPCOG00000011242
microcebus_murinus ENSMICG00000016696
homo_sapiens ENSG00000184922
gorilla_gorilla ENSGGOG00000004528
pan_troglodytes ENSPTRG00000009300
pan_paniscus ENSPPAG00000038514
pongo_abelii ENSPPYG00000008309
nomascus_leucogenys ENSNLEG00000005025
macaca_fascicularis ENSMFAG00000033275
macaca_mulatta ENSMMUG00000007859
macaca_nemestrina ENSMNEG00000034963
theropithecus_gelada ENSTGEG00000016951
papio_anubis ENSPANG00000021231
cercocebus_atys ENSCATG00000036757
mandrillus_leucophaeus ENSMLEG00000029613
chlorocebus_sabaeus ENSCSAG00000003675
colobus_angolensis ENSCANG00000024287
piliocolobus_tephrosceles ENSPTEG00000023669
rhinopithecus_bieti ENSRBIG00000024240
rhinopithecus_roxellana ENSRROG00000045028
cebus_capucinus ENSCCAG00000031455
callithrix_jacchus ENSCJAG00000012745
saimiri_boliviensis ENSSBOG00000030224
aotus_nancymaae ENSANAG00000029656
carlito_syrichta ENSTSYG00000035173
oryctolagus_cuniculus ENSOCUG00000012166
otolemur_garnettii ENSOGAG00000030119
mus_spicilegus ENSMSIG00000027647
mus_musculus ENSMUSG00000055805
mus_spretus MGP_SPRETEiJ_G0018118
mus_caroli MGP_CAROLIEiJ_G0017275
mus_pahari MGP_PahariEiJ_G0018405
rattus_norvegicus ENSRNOG00000003207
meriones_unguiculatus ENSMUGG00000005335
peromyscus_maniculatus ENSPEMG00000000527
microtus_ochrogaster ENSMOCG00000007180
cricetulus_griseus ENSCGRG00001020679
cricetulus_griseus ENSCGRG00015026422
cricetulus_griseus ENSCGRG00000009719
mesocricetus_auratus ENSMAUG00000022107
nannospalax_galili ENSNGAG00000018866
jaculus_jaculus ENSJJAG00000018384
dipodomys_ordii ENSDORG00000009265
castor_canadensis ENSCCNG00000022386
urocitellus_parryii ENSUPAG00010000986
marmota_marmota ENSMMMG00000002279
ictidomys_tridecemlineatus ENSSTOG00000029149
spermophilus_dauricus ENSSDAG00000014603
myotis_lucifugus ENSMLUG00000005560
erinaceus_europaeus ENSEEUG00000000210
pteropus_vampyrus ENSPVAG00000013116
mustela_putorius ENSMPUG00000008624
neovison_vison ENSNVIG00000022822
ursus_americanus ENSUAMG00000023607
ursus_maritimus ENSUMAG00000014569
ailuropoda_melanoleuca ENSAMEG00000018405
canis_lupus ENSCAFG00000013819
canis_lupus ENSCAFG00020005840
vulpes_vulpes ENSVVUG00000018330
panthera_pardus ENSPPRG00000000998
panthera_tigris ENSPTIG00000019405
felis_catus ENSFCAG00000000797
bos_taurus ENSBTAG00000004196
bos_mutus ENSBMUG00000001572
bison_bison ENSBBBG00000019679
capra_hircus ENSCHIG00000020799
ovis_aries ENSOARG00000009972
tursiops_truncatus ENSTTRG00000006287
sus_scrofa ENSSSCG00000017333
equus_caballus ENSECAG00000022527
equus_asinus ENSEASG00005010491
procavia_capensis ENSPCAG00000013126
loxodonta_africana ENSLAFG00000023294
echinops_telfairi ENSETEG00000014102
dasypus_novemcinctus ENSDNOG00000024936
ochotona_princeps ENSOPRG00000012398
chinchilla_lanigera ENSCLAG00000016137
octodon_degus ENSODEG00000018088
cavia_porcellus ENSCPOG00000024625
cavia_aperea ENSCAPG00000002301
heterocephalus_glaber ENSHGLG00000008766
heterocephalus_glaber ENSHGLG00100008235
fukomys_damarensis ENSFDAG00000020143
notamacropus_eugenii ENSMEUG00000010322
phascolarctos_cinereus ENSPCIG00000015073
monodelphis_domestica ENSMODG00000011181
sarcophilus_harrisii ENSSHAG00000011358
ornithorhynchus_anatinus ENSOANG00000022568
ornithorhynchus_anatinus ENSOANG00000012364
xenopus_tropicalis ENSXETG00000003221
latimeria_chalumnae ENSLACG00000004332
paramormyrops_kingsleyae ENSPKIG00000025578
scleropages_formosus ENSSFOG00015004585
seriola_dumerili ENSSDUG00000005640
seriola_lalandi ENSSLDG00000021527
scophthalmus_maximus ENSSMAG00000010833
cynoglossus_semilaevis ENSCSEG00000011523
mastacembelus_armatus ENSMAMG00000008207
monopterus_albus ENSMALG00000017377
anabas_testudineus ENSATEG00000009891
labrus_bergylta ENSLBEG00000013813
labrus_bergylta ENSLBEG00000009023
periophthalmus_magnuspinnatus ENSPMGG00000015002
xiphophorus_maculatus ENSXMAG00000016886
gambusia_affinis ENSGAFG00000010725
xiphophorus_couchianus ENSXCOG00000004141
poecilia_mexicana ENSPMEG00000023002
poecilia_formosa ENSPFOG00000012821
poecilia_latipinna ENSPLAG00000007762
poecilia_reticulata ENSPREG00000008532
fundulus_heteroclitus ENSFHEG00000010491
cyprinodon_variegatus ENSCVAG00000011802
kryptolebias_marmoratus ENSKMAG00000019267
oryzias_latipes ENSORLG00015015762
oryzias_melastigma ENSOMEG00000020231
maylandia_zebra ENSMZEG00005009159
haplochromis_burtoni ENSHBUG00000000076
astatotilapia_calliptera ENSACLG00000021859
pundamilia_nyererei ENSPNYG00000020402
neolamprologus_brichardi ENSNBRG00000023824
oreochromis_niloticus ENSONIG00000018104
amphilophus_citrinellus ENSACIG00000012765
amphiprion_percula ENSAPEG00000013975
amphiprion_ocellaris ENSAOCG00000007367
acanthochromis_polyacanthus ENSAPOG00000008376
stegastes_partitus ENSSPAG00000010897
takifugu_rubripes ENSTRUG00000006067
tetraodon_nigroviridis ENSTNIG00000011858
mola_mola ENSMMOG00000003456
gasterosteus_aculeatus ENSGACG00000004388
gadus_morhua ENSGMOG00000007884
esox_lucius ENSELUG00000007411
pygocentrus_nattereri ENSPNAG00000014303
astyanax_mexicanus ENSAMXG00000019668
ictalurus_punctatus ENSIPUG00000000282
danio_rerio ENSDARG00000104263
scophthalmus_maximus ENSSMAG00000006213
gasterosteus_aculeatus ENSGACG00000014208
takifugu_rubripes ENSTRUG00000014461
tetraodon_nigroviridis ENSTNIG00000011687
mola_mola ENSMMOG00000020501
labrus_bergylta ENSLBEG00000023047
amphiprion_ocellaris ENSAOCG00000017898
amphiprion_percula ENSAPEG00000017100
acanthochromis_polyacanthus ENSAPOG00000014189
acanthochromis_polyacanthus ENSAPOG00000023580
stegastes_partitus ENSSPAG00000011526
astatotilapia_calliptera ENSACLG00000003867
maylandia_zebra ENSMZEG00005022615
haplochromis_burtoni ENSHBUG00000002557
pundamilia_nyererei ENSPNYG00000009539
neolamprologus_brichardi ENSNBRG00000016522
oreochromis_niloticus ENSONIG00000001273
amphilophus_citrinellus ENSACIG00000011998
xiphophorus_maculatus ENSXMAG00000013824
xiphophorus_couchianus ENSXCOG00000016444
gambusia_affinis ENSGAFG00000018174
poecilia_formosa ENSPFOG00000014249
poecilia_latipinna ENSPLAG00000001048
poecilia_mexicana ENSPMEG00000024093
poecilia_reticulata ENSPREG00000009204
fundulus_heteroclitus ENSFHEG00000006226
cyprinodon_variegatus ENSCVAG00000022514
kryptolebias_marmoratus ENSKMAG00000018106
oryzias_latipes ENSORLG00015020204
oryzias_latipes ENSORLG00000004491
oryzias_latipes ENSORLG00020006916
oryzias_melastigma ENSOMEG00000023728
monopterus_albus ENSMALG00000004442
mastacembelus_armatus ENSMAMG00000001211
anabas_testudineus ENSATEG00000002884
seriola_dumerili ENSSDUG00000017577
seriola_lalandi ENSSLDG00000008586
cynoglossus_semilaevis ENSCSEG00000021373
hippocampus_comes ENSHCOG00000017387
hippocampus_comes ENSHCOG00000017396
periophthalmus_magnuspinnatus ENSPMGG00000000445
gadus_morhua ENSGMOG00000005334
esox_lucius ENSELUG00000019721
pygocentrus_nattereri ENSPNAG00000016333
astyanax_mexicanus ENSAMXG00000005325
ictalurus_punctatus ENSIPUG00000011992
danio_rerio ENSDARG00000055713
scleropages_formosus ENSSFOG00015021586
paramormyrops_kingsleyae ENSPKIG00000019040
lepisosteus_oculatus ENSLOCG00000011862
petromyzon_marinus ENSPMAG00000002030
petromyzon_marinus ENSPMAG00000007681
eptatretus_burgeri ENSEBUG00000008609
