xiphophorus_maculatus ENSXMAG00000026868
gambusia_affinis ENSGAFG00000002182
poecilia_mexicana ENSPMEG00000011408
poecilia_formosa ENSPFOG00000024450
poecilia_reticulata ENSPREG00000002125
fundulus_heteroclitus ENSFHEG00000009155
cyprinodon_variegatus ENSCVAG00000019873
kryptolebias_marmoratus ENSKMAG00000007443
oryzias_latipes ENSORLG00000025446
oryzias_latipes ENSORLG00020004385
oryzias_latipes_asm223469v1 ENSORLG00015019413
oryzias_melastigma ENSOMEG00000019864
maylandia_zebra ENSMZEG00005016049
astatotilapia_calliptera ENSACLG00000001721
haplochromis_burtoni ENSHBUG00000010683
amphiprion_percula ENSAPEG00000016255
amphiprion_ocellaris ENSAOCG00000017418
acanthochromis_polyacanthus ENSAPOG00000015562
stegastes_partitus ENSSPAG00000007014
periophthalmus_magnuspinnatus ENSPMGG00000006133
hippocampus_comes ENSHCOG00000009424
labrus_bergylta ENSLBEG00000004792
anabas_testudineus ENSATEG00000010769
scophthalmus_maximus ENSSMAG00000006257
cynoglossus_semilaevis ENSCSEG00000002189
seriola_lalandi_dorsalis ENSSLDG00000022311
tetraodon_nigroviridis ENSTNIG00000000204
esox_lucius ENSELUG00000006610
pygocentrus_nattereri ENSPNAG00000028344
astyanax_mexicanus ENSAMXG00000034923
ictalurus_punctatus ENSIPUG00000004645
danio_rerio ENSDARG00000097224
scleropages_formosus ENSSFOG00015001312
paramormyrops_kingsleyae ENSPKIG00000002526
scleropages_formosus ENSSFOG00015011872
paramormyrops_kingsleyae ENSPKIG00000014525
seriola_dumerili ENSSDUG00000018321
monopterus_albus ENSMALG00000002555
lepisosteus_oculatus ENSLOCG00000017320
manacus_vitellinus ENSMVIG00005010494
junco_hyemalis ENSJHYG00000012613
anas_platyrhynchos_platyrhynchos ENSAPLG00000023507
anser_brachyrhynchus ENSABRG00000005732
calidris_pygmaea ENSCPGG00000015293
latimeria_chalumnae ENSLACG00000010167
