pygocentrus_nattereri ENSPNAG00000001106
astyanax_mexicanus ENSAMXG00000039890
ictalurus_punctatus ENSIPUG00000019803
xiphophorus_couchianus ENSXCOG00000012846
poecilia_mexicana ENSPMEG00000021889
amphilophus_citrinellus ENSACIG00000008701
hippocampus_comes ENSHCOG00000013986
takifugu_rubripes ENSTRUG00000025402
paramormyrops_kingsleyae ENSPKIG00000022651
numida_meleagris ENSNMEG00000004200
coturnix_japonica ENSCJPG00005002385
gopherus_agassizii ENSGAGG00000013158
capra_hircus ENSCHIG00000003542
canis_lupus_dingo ENSCAFG00020002418
