phascolarctos_cinereus ENSPCIG00000023864
notamacropus_eugenii ENSMEUG00000012958
sarcophilus_harrisii ENSSHAG00000004396
monodelphis_domestica ENSMODG00000012387
ursus_maritimus ENSUMAG00000021788
ursus_americanus ENSUAMG00000019427
ailuropoda_melanoleuca ENSAMEG00000006744
mustela_putorius_furo ENSMPUG00000016371
neovison_vison ENSNVIG00000010957
panthera_pardus ENSPPRG00000003032
panthera_tigris_altaica ENSPTIG00000016902
felis_catus ENSFCAG00000000576
castor_canadensis ENSCCNG00000011578
myotis_lucifugus ENSMLUG00000025156
procavia_capensis ENSPCAG00000004816
choloepus_hoffmanni ENSCHOG00000002506
prolemur_simus ENSPSMG00000013313
microcebus_murinus ENSMICG00000012203
propithecus_coquereli ENSPCOG00000027844
otolemur_garnettii ENSOGAG00000002278
cebus_capucinus ENSCCAG00000019005
saimiri_boliviensis_boliviensis ENSSBOG00000020893
aotus_nancymaae ENSANAG00000027681
pan_paniscus ENSPPAG00000043366
pan_troglodytes ENSPTRG00000000167
homo_sapiens ENSG00000162496
gorilla_gorilla ENSGGOG00000014993
pongo_abelii ENSPPYG00000001868
nomascus_leucogenys ENSNLEG00000009838
macaca_fascicularis ENSMFAG00000044134
macaca_mulatta ENSMMUG00000005681
macaca_nemestrina ENSMNEG00000035781
chlorocebus_sabaeus ENSCSAG00000000811
cercocebus_atys ENSCATG00000037848
theropithecus_gelada ENSTGEG00000021869
papio_anubis ENSPANG00000013326
mandrillus_leucophaeus ENSMLEG00000033359
piliocolobus_tephrosceles ENSPTEG00000031385
colobus_angolensis_palliatus ENSCANG00000041075
rhinopithecus_bieti ENSRBIG00000037768
rhinopithecus_roxellana ENSRROG00000037001
peromyscus_maniculatus_bairdii ENSPEMG00000019609
microtus_ochrogaster ENSMOCG00000015852
cricetulus_griseus_crigri ENSCGRG00000010566
cricetulus_griseus_chok1gshd ENSCGRG00001012549
cricetulus_griseus_crigri-picr ENSCGRG00015001270
mesocricetus_auratus ENSMAUG00000014881
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027771
mus_spicilegus ENSMSIG00000028012
mus_musculus ENSMUSG00000066026
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026779
mus_pahari MGP_PahariEiJ_G0029127
rattus_norvegicus ENSRNOG00000015736
nannospalax_galili ENSNGAG00000014336
jaculus_jaculus ENSJJAG00000010964
ictidomys_tridecemlineatus ENSSTOG00000016015
marmota_marmota_marmota ENSMMMG00000016372
urocitellus_parryii ENSUPAG00010004636
spermophilus_dauricus ENSSDAG00000002997
chinchilla_lanigera ENSCLAG00000005004
octodon_degus ENSODEG00000013556
cavia_porcellus ENSCPOG00000001600
cavia_aperea ENSCAPG00000009668
heterocephalus_glaber_female ENSHGLG00000010111
heterocephalus_glaber_male ENSHGLG00100016053
fukomys_damarensis ENSFDAG00000020193
callithrix_jacchus ENSCJAG00000013708
echinops_telfairi ENSETEG00000020068
loxodonta_africana ENSLAFG00000014902
dasypus_novemcinctus ENSDNOG00000000612
pteropus_vampyrus ENSPVAG00000008936
erinaceus_europaeus ENSEEUG00000002649
equus_asinus_asinus ENSEASG00005016047
equus_caballus ENSECAG00000013582
capra_hircus ENSCHIG00000008787
ovis_aries ENSOARG00000014744
bos_mutus ENSBMUG00000013362
bos_taurus ENSBTAG00000024493
bison_bison_bison ENSBBBG00000022657
tursiops_truncatus ENSTTRG00000004740
vicugna_pacos ENSVPAG00000003368
sus_scrofa ENSSSCG00000003439
canis_lupus_dingo ENSCAFG00020004688
canis_lupus_familiaris ENSCAFG00000016376
vulpes_vulpes ENSVVUG00000028869
ochotona_princeps ENSOPRG00000007330
carlito_syrichta ENSTSYG00000004250
dipodomys_ordii ENSDORG00000006514
meriones_unguiculatus ENSMUGG00000022185
myotis_lucifugus ENSMLUG00000008304
oryctolagus_cuniculus ENSOCUG00000016301
oryctolagus_cuniculus ENSOCUG00000029199
notechis_scutatus ENSNSUG00000001632
ornithorhynchus_anatinus ENSOANG00000006099
pogona_vitticeps ENSPVIG00000017212
anolis_carolinensis ENSACAG00000015008
salvator_merianae ENSSMRG00000008863
lonchura_striata_domestica ENSLSDG00000010395
taeniopygia_guttata ENSTGUG00000002492
serinus_canaria ENSSCAG00000002932
zonotrichia_albicollis ENSZALG00000013289
junco_hyemalis ENSJHYG00000014813
ficedula_albicollis ENSFALG00000009969
parus_major ENSPMJG00000010381
cyanistes_caeruleus ENSCCEG00000006117
manacus_vitellinus ENSMVIG00005003007
lepidothrix_coronata ENSLCOG00000008392
melopsittacus_undulatus ENSMUNG00000006177
calidris_pygmaea ENSCPGG00000003925
calidris_pugnax ENSCPUG00000018283
