gopherus_agassizii ENSGAGG00000016018
chelonoidis_abingdonii ENSCABG00000018924
chrysemys_picta_bellii ENSCPBG00000011342
pelodiscus_sinensis ENSPSIG00000011112
crocodylus_porosus ENSCPRG00005004918
sphenodon_punctatus ENSSPUG00000015693
apteryx_haastii ENSAHAG00000002415
apteryx_owenii ENSAOWG00000011078
apteryx_rowi ENSARWG00000003844
dromaius_novaehollandiae ENSDNVG00000009280
melopsittacus_undulatus ENSMUNG00000013458
taeniopygia_guttata ENSTGUG00000009561
lonchura_striata_domestica ENSLSDG00000000996
ficedula_albicollis ENSFALG00000007564
junco_hyemalis ENSJHYG00000009639
zonotrichia_albicollis ENSZALG00000014330
serinus_canaria ENSSCAG00000004104
cyanistes_caeruleus ENSCCEG00000001931
parus_major ENSPMJG00000017928
lepidothrix_coronata ENSLCOG00000015042
manacus_vitellinus ENSMVIG00005005762
calidris_pugnax ENSCPUG00000010025
calidris_pygmaea ENSCPGG00000018371
meleagris_gallopavo ENSMGAG00000008733
coturnix_japonica ENSCJPG00005013378
gallus_gallus ENSGALG00000007195
numida_meleagris ENSNMEG00000022578
anser_brachyrhynchus ENSABRG00000016378
anas_platyrhynchos_platyrhynchos ENSAPLG00000017939
nothoprocta_perdicaria ENSNPEG00000006493
notechis_scutatus ENSNSUG00000019418
pogona_vitticeps ENSPVIG00000010521
anolis_carolinensis ENSACAG00000002868
salvator_merianae ENSSMRG00000005624
spermophilus_dauricus ENSSDAG00000000718
urocitellus_parryii ENSUPAG00010017011
marmota_marmota_marmota ENSMMMG00000021090
ictidomys_tridecemlineatus ENSSTOG00000025740
castor_canadensis ENSCCNG00000019130
heterocephalus_glaber_female ENSHGLG00000011394
heterocephalus_glaber_male ENSHGLG00100018850
fukomys_damarensis ENSFDAG00000018720
cavia_porcellus ENSCPOG00000026436
octodon_degus ENSODEG00000005919
chinchilla_lanigera ENSCLAG00000011015
ochotona_princeps ENSOPRG00000004226
saimiri_boliviensis_boliviensis ENSSBOG00000033750
cebus_capucinus ENSCCAG00000022235
callithrix_jacchus ENSCJAG00000001183
aotus_nancymaae ENSANAG00000034389
pan_paniscus ENSPPAG00000029164
pan_troglodytes ENSPTRG00000049887
homo_sapiens ENSG00000257218
homo_sapiens ENSG00000111780
gorilla_gorilla ENSGGOG00000026821
pongo_abelii ENSPPYG00000005030
nomascus_leucogenys ENSNLEG00000015651
piliocolobus_tephrosceles ENSPTEG00000000621
colobus_angolensis_palliatus ENSCANG00000031071
rhinopithecus_roxellana ENSRROG00000042802
rhinopithecus_bieti ENSRBIG00000033363
cercocebus_atys ENSCATG00000038807
papio_anubis ENSPANG00000033975
macaca_fascicularis ENSMFAG00000034197
macaca_nemestrina ENSMNEG00000034653
macaca_mulatta ENSMMUG00000046665
mandrillus_leucophaeus ENSMLEG00000039862
theropithecus_gelada ENSTGEG00000023162
chlorocebus_sabaeus ENSCSAG00000002259
carlito_syrichta ENSTSYG00000006845
prolemur_simus ENSPSMG00000001625
propithecus_coquereli ENSPCOG00000015558
microcebus_murinus ENSMICG00000008669
otolemur_garnettii ENSOGAG00000003850
ursus_americanus ENSUAMG00000015523
ailuropoda_melanoleuca ENSAMEG00000013298
mustela_putorius_furo ENSMPUG00000003183
neovison_vison ENSNVIG00000009447
canis_lupus_familiaris ENSCAFG00000010311
canis_lupus_dingo ENSCAFG00020020606
vulpes_vulpes ENSVVUG00000021055
panthera_pardus ENSPPRG00000000929
panthera_tigris_altaica ENSPTIG00000009889
felis_catus ENSFCAG00000038718
pteropus_vampyrus ENSPVAG00000002228
capra_hircus ENSCHIG00000019423
ovis_aries ENSOARG00000012338
bos_taurus ENSBTAG00000012791
bos_mutus ENSBMUG00000021153
bison_bison_bison ENSBBBG00000012755
tursiops_truncatus ENSTTRG00000000144
myotis_lucifugus ENSMLUG00000010341
erinaceus_europaeus ENSEEUG00000011638
propithecus_coquereli ENSPCOG00000009493
oryctolagus_cuniculus ENSOCUG00000009867
sus_scrofa ENSSSCG00000032747
equus_caballus ENSECAG00000011118
loxodonta_africana ENSLAFG00000006384
peromyscus_maniculatus_bairdii ENSPEMG00000000665
microtus_ochrogaster ENSMOCG00000005051
cricetulus_griseus_crigri ENSCGRG00000004184
cricetulus_griseus_chok1gshd ENSCGRG00001019220
cricetulus_griseus_crigri-picr ENSCGRG00015002030
cricetulus_griseus_crigri-picr ENSCGRG00015003439
cricetulus_griseus_crigri ENSCGRG00000019471
cricetulus_griseus_chok1gshd ENSCGRG00001005508
mesocricetus_auratus ENSMAUG00000012756
mus_musculus ENSMUSG00000029536
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028621
mus_spicilegus ENSMSIG00000010809
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027623
mus_pahari MGP_PahariEiJ_G0024203
rattus_norvegicus ENSRNOG00000001161
rattus_norvegicus ENSRNOG00000045621
meriones_unguiculatus ENSMUGG00000000323
nannospalax_galili ENSNGAG00000004734
jaculus_jaculus ENSJJAG00000000369
procavia_capensis ENSPCAG00000013864
echinops_telfairi ENSETEG00000002604
dasypus_novemcinctus ENSDNOG00000012593
choloepus_hoffmanni ENSCHOG00000009235
phascolarctos_cinereus ENSPCIG00000025999
phascolarctos_cinereus ENSPCIG00000034276
notamacropus_eugenii ENSMEUG00000004064
sarcophilus_harrisii ENSSHAG00000005745
monodelphis_domestica ENSMODG00000003152
latimeria_chalumnae ENSLACG00000018239
pygocentrus_nattereri ENSPNAG00000001239
astyanax_mexicanus ENSAMXG00000004252
ictalurus_punctatus ENSIPUG00000023072
danio_rerio ENSDARG00000056855
xiphophorus_couchianus ENSXCOG00000017087
poecilia_reticulata ENSPREG00000022256
poecilia_formosa ENSPFOG00000011603
poecilia_latipinna ENSPLAG00000002471
poecilia_mexicana ENSPMEG00000020958
xiphophorus_maculatus ENSXMAG00000018267
gambusia_affinis ENSGAFG00000012801
fundulus_heteroclitus ENSFHEG00000014992
cyprinodon_variegatus ENSCVAG00000004364
cynoglossus_semilaevis ENSCSEG00000007798
cynoglossus_semilaevis ENSCSEG00000016618
takifugu_rubripes ENSTRUG00000021596
tetraodon_nigroviridis ENSTNIG00000015879
seriola_dumerili ENSSDUG00000012206
seriola_lalandi_dorsalis ENSSLDG00000025159
maylandia_zebra ENSMZEG00005016072
astatotilapia_calliptera ENSACLG00000026251
pundamilia_nyererei ENSPNYG00000016015
