gopherus_agassizii ENSGAGG00000022101
pelodiscus_sinensis ENSPSIG00000002600
crocodylus_porosus ENSCPRG00005003180
sphenodon_punctatus ENSSPUG00000013731
cyanistes_caeruleus ENSCCEG00000021716
parus_major ENSPMJG00000000284
ficedula_albicollis ENSFALG00000000350
lonchura_striata_domestica ENSLSDG00000007368
serinus_canaria ENSSCAG00000007719
zonotrichia_albicollis ENSZALG00000005200
junco_hyemalis ENSJHYG00000015385
manacus_vitellinus ENSMVIG00005003577
lepidothrix_coronata ENSLCOG00000011498
calidris_pugnax ENSCPUG00000000418
calidris_pygmaea ENSCPGG00000011413
melopsittacus_undulatus ENSMUNG00000001567
anas_platyrhynchos_platyrhynchos ENSAPLG00000008808
anser_brachyrhynchus ENSABRG00000016220
coturnix_japonica ENSCJPG00005004576
meleagris_gallopavo ENSMGAG00000016371
gallus_gallus ENSGALG00000019716
numida_meleagris ENSNMEG00000007091
apteryx_owenii ENSAOWG00000009656
apteryx_rowi ENSARWG00000011953
apteryx_haastii ENSAHAG00000015077
dromaius_novaehollandiae ENSDNVG00000011576
notamacropus_eugenii ENSMEUG00000008333
notamacropus_eugenii ENSMEUG00000009728
phascolarctos_cinereus ENSPCIG00000025844
sarcophilus_harrisii ENSSHAG00000007295
monodelphis_domestica ENSMODG00000013562
gorilla_gorilla ENSGGOG00000004278
homo_sapiens ENSG00000171431
pan_troglodytes ENSPTRG00000009135
pan_paniscus ENSPPAG00000031348
nomascus_leucogenys ENSNLEG00000002280
rhinopithecus_bieti ENSRBIG00000039923
rhinopithecus_roxellana ENSRROG00000045233
piliocolobus_tephrosceles ENSPTEG00000012215
colobus_angolensis_palliatus ENSCANG00000032158
mandrillus_leucophaeus ENSMLEG00000039504
cercocebus_atys ENSCATG00000039872
papio_anubis ENSPANG00000021564
theropithecus_gelada ENSTGEG00000007286
macaca_fascicularis ENSMFAG00000003933
macaca_mulatta ENSMMUG00000001503
macaca_nemestrina ENSMNEG00000029478
chlorocebus_sabaeus ENSCSAG00000002839
cebus_capucinus ENSCCAG00000032974
callithrix_jacchus ENSCJAG00000013679
saimiri_boliviensis_boliviensis ENSSBOG00000020042
aotus_nancymaae ENSANAG00000037651
carlito_syrichta ENSTSYG00000011001
prolemur_simus ENSPSMG00000010469
propithecus_coquereli ENSPCOG00000019180
microcebus_murinus ENSMICG00000035159
otolemur_garnettii ENSOGAG00000003079
tupaia_belangeri ENSTBEG00000016636
cricetulus_griseus_crigri ENSCGRG00000004293
cricetulus_griseus_crigri-picr ENSCGRG00015004552
cricetulus_griseus_chok1gshd ENSCGRG00001022236
mesocricetus_auratus ENSMAUG00000012821
microtus_ochrogaster ENSMOCG00000002735
peromyscus_maniculatus_bairdii ENSPEMG00000008907
mus_spicilegus ENSMSIG00000025894
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017962
mus_musculus ENSMUSG00000035775
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017118
mus_pahari MGP_PahariEiJ_G0018247
rattus_norvegicus ENSRNOG00000027139
meriones_unguiculatus ENSMUGG00000022606
nannospalax_galili ENSNGAG00000012272
jaculus_jaculus ENSJJAG00000022728
dipodomys_ordii ENSDORG00000001623
urocitellus_parryii ENSUPAG00010008517
spermophilus_dauricus ENSSDAG00000007224
marmota_marmota_marmota ENSMMMG00000007239
ochotona_princeps ENSOPRG00000009828
ovis_aries ENSOARG00000015493
capra_hircus ENSCHIG00000013291
bos_mutus ENSBMUG00000007456
bos_taurus ENSBTAG00000007794
bison_bison_bison ENSBBBG00000025144
sus_scrofa ENSSSCG00000017459
vicugna_pacos ENSVPAG00000000990
ursus_maritimus ENSUMAG00000018137
ursus_americanus ENSUAMG00000027918
ailuropoda_melanoleuca ENSAMEG00000008325
mustela_putorius_furo ENSMPUG00000014622
neovison_vison ENSNVIG00000001695
canis_lupus_dingo ENSCAFG00020018575
canis_lupus_familiaris ENSCAFG00000016003
vulpes_vulpes ENSVVUG00000024310
panthera_pardus ENSPPRG00000022399
panthera_tigris_altaica ENSPTIG00000007826
felis_catus ENSFCAG00000043236
erinaceus_europaeus ENSEEUG00000000048
sorex_araneus ENSSARG00000003299
myotis_lucifugus ENSMLUG00000003085
pteropus_vampyrus ENSPVAG00000011371
equus_asinus_asinus ENSEASG00005003710
equus_caballus ENSECAG00000026977
choloepus_hoffmanni ENSCHOG00000007590
dasypus_novemcinctus ENSDNOG00000019940
echinops_telfairi ENSETEG00000017559
procavia_capensis ENSPCAG00000001155
ornithorhynchus_anatinus ENSOANG00000002900
ornithorhynchus_anatinus ENSOANG00000009498
xenopus_tropicalis ENSXETG00000030511
