apteryx_owenii ENSAOWG00000002866
apteryx_haastii ENSAHAG00000017990
apteryx_rowi ENSARWG00000000025
nothoprocta_perdicaria ENSNPEG00000012466
anas_platyrhynchos_platyrhynchos ENSAPLG00000000830
anser_brachyrhynchus ENSABRG00000008805
coturnix_japonica ENSCJPG00005015928
meleagris_gallopavo ENSMGAG00000015576
gallus_gallus ENSGALG00000007158
numida_meleagris ENSNMEG00000021017
taeniopygia_guttata ENSTGUG00000004867
lonchura_striata_domestica ENSLSDG00000001195
serinus_canaria ENSSCAG00000011677
junco_hyemalis ENSJHYG00000017328
zonotrichia_albicollis ENSZALG00000015927
ficedula_albicollis ENSFALG00000014772
cyanistes_caeruleus ENSCCEG00000008810
manacus_vitellinus ENSMVIG00005005349
lepidothrix_coronata ENSLCOG00000009972
melopsittacus_undulatus ENSMUNG00000005294
calidris_pygmaea ENSCPGG00000002837
calidris_pugnax ENSCPUG00000016865
crocodylus_porosus ENSCPRG00005003734
chrysemys_picta_bellii ENSCPBG00000006512
chelonoidis_abingdonii ENSCABG00000021126
pelodiscus_sinensis ENSPSIG00000017159
pogona_vitticeps ENSPVIG00000013994
anolis_carolinensis ENSACAG00000014599
notechis_scutatus ENSNSUG00000000214
salvator_merianae ENSSMRG00000007736
sphenodon_punctatus ENSSPUG00000003338
sarcophilus_harrisii ENSSHAG00000000187
monodelphis_domestica ENSMODG00000005140
notamacropus_eugenii ENSMEUG00000011752
heterocephalus_glaber_female ENSHGLG00000017126
heterocephalus_glaber_male ENSHGLG00100020934
heterocephalus_glaber_female ENSHGLG00000013288
heterocephalus_glaber_male ENSHGLG00100012128
fukomys_damarensis ENSFDAG00000012803
chinchilla_lanigera ENSCLAG00000011766
octodon_degus ENSODEG00000012143
cavia_porcellus ENSCPOG00000009175
urocitellus_parryii ENSUPAG00010004662
ictidomys_tridecemlineatus ENSSTOG00000023400
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021341
mus_spicilegus ENSMSIG00000008393
mus_musculus ENSMUSG00000038037
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020447
mus_pahari MGP_PahariEiJ_G0016154
rattus_norvegicus ENSRNOG00000002568
meriones_unguiculatus ENSMUGG00000024534
cricetulus_griseus_chok1gshd ENSCGRG00001007612
cricetulus_griseus_crigri-picr ENSCGRG00015008806
mesocricetus_auratus ENSMAUG00000015623
peromyscus_maniculatus_bairdii ENSPEMG00000012362
microtus_ochrogaster ENSMOCG00000012900
nannospalax_galili ENSNGAG00000022861
jaculus_jaculus ENSJJAG00000002198
rhinopithecus_roxellana ENSRROG00000006896
rhinopithecus_bieti ENSRBIG00000006588
piliocolobus_tephrosceles ENSPTEG00000023610
macaca_fascicularis ENSMFAG00000035312
macaca_mulatta ENSMMUG00000010956
macaca_nemestrina ENSMNEG00000016348
chlorocebus_sabaeus ENSCSAG00000018851
cercocebus_atys ENSCATG00000010419
theropithecus_gelada ENSTGEG00000025923
papio_anubis ENSPANG00000000526
gorilla_gorilla ENSGGOG00000014723
