takifugu_rubripes ENSTRUG00000023115
tetraodon_nigroviridis ENSTNIG00000000952
hippocampus_comes ENSHCOG00000021120
cynoglossus_semilaevis ENSCSEG00000012467
mastacembelus_armatus ENSMAMG00000005448
monopterus_albus ENSMALG00000009081
anabas_testudineus ENSATEG00000013787
mola_mola ENSMMOG00000020308
labrus_bergylta ENSLBEG00000018803
seriola_dumerili ENSSDUG00000010298
seriola_lalandi_dorsalis ENSSLDG00000019089
amphiprion_percula ENSAPEG00000002175
amphiprion_ocellaris ENSAOCG00000013004
acanthochromis_polyacanthus ENSAPOG00000007893
stegastes_partitus ENSSPAG00000002483
maylandia_zebra ENSMZEG00005027525
astatotilapia_calliptera ENSACLG00000015807
pundamilia_nyererei ENSPNYG00000010031
haplochromis_burtoni ENSHBUG00000005721
neolamprologus_brichardi ENSNBRG00000005948
oreochromis_niloticus ENSONIG00000020536
amphilophus_citrinellus ENSACIG00000022800
fundulus_heteroclitus ENSFHEG00000004395
cyprinodon_variegatus ENSCVAG00000010291
xiphophorus_couchianus ENSXCOG00000004662
xiphophorus_maculatus ENSXMAG00000022693
gambusia_affinis ENSGAFG00000011638
poecilia_formosa ENSPFOG00000020269
poecilia_mexicana ENSPMEG00000008516
poecilia_latipinna ENSPLAG00000009824
poecilia_reticulata ENSPREG00000004426
kryptolebias_marmoratus ENSKMAG00000007801
oryzias_latipes_asm223469v1 ENSORLG00015021981
oryzias_latipes ENSORLG00020001923
oryzias_latipes ENSORLG00000027673
oryzias_melastigma ENSOMEG00000021025
esox_lucius ENSELUG00000003274
pygocentrus_nattereri ENSPNAG00000000929
astyanax_mexicanus ENSAMXG00000029965
ictalurus_punctatus ENSIPUG00000001526
danio_rerio ENSDARG00000103533
scleropages_formosus ENSSFOG00015013793
