pygocentrus_nattereri ENSPNAG00000006495
astyanax_mexicanus ENSAMXG00000008122
ictalurus_punctatus ENSIPUG00000018762
danio_rerio ENSDARG00000063276
tetraodon_nigroviridis ENSTNIG00000015377
takifugu_rubripes ENSTRUG00000014036
mola_mola ENSMMOG00000012964
labrus_bergylta ENSLBEG00000014307
tetraodon_nigroviridis ENSTNIG00000016434
takifugu_rubripes ENSTRUG00000001666
tetraodon_nigroviridis ENSTNIG00000005657
gasterosteus_aculeatus ENSGACG00000005927
mastacembelus_armatus ENSMAMG00000015232
monopterus_albus ENSMALG00000019317
anabas_testudineus ENSATEG00000019638
xiphophorus_maculatus ENSXMAG00000016720
xiphophorus_couchianus ENSXCOG00000009317
poecilia_formosa ENSPFOG00000000563
poecilia_mexicana ENSPMEG00000015348
poecilia_latipinna ENSPLAG00000005284
poecilia_mexicana ENSPMEG00000015801
poecilia_formosa ENSPFOG00000022373
poecilia_latipinna ENSPLAG00000013819
poecilia_reticulata ENSPREG00000012499
gambusia_affinis ENSGAFG00000001764
xiphophorus_maculatus ENSXMAG00000012701
cyprinodon_variegatus ENSCVAG00000004211
fundulus_heteroclitus ENSFHEG00000021546
kryptolebias_marmoratus ENSKMAG00000002204
oryzias_latipes ENSORLG00020004474
oryzias_latipes_asm223469v1 ENSORLG00015014224
oryzias_latipes ENSORLG00000003076
oryzias_melastigma ENSOMEG00000018740
maylandia_zebra ENSMZEG00005009271
astatotilapia_calliptera ENSACLG00000012067
pundamilia_nyererei ENSPNYG00000018144
pundamilia_nyererei ENSPNYG00000018183
haplochromis_burtoni ENSHBUG00000001900
haplochromis_burtoni ENSHBUG00000001875
neolamprologus_brichardi ENSNBRG00000017564
oreochromis_niloticus ENSONIG00000014449
amphilophus_citrinellus ENSACIG00000005690
amphiprion_ocellaris ENSAOCG00000017411
amphiprion_percula ENSAPEG00000018385
acanthochromis_polyacanthus ENSAPOG00000002868
stegastes_partitus ENSSPAG00000001698
seriola_dumerili ENSSDUG00000003357
seriola_lalandi_dorsalis ENSSLDG00000005656
scophthalmus_maximus ENSSMAG00000005517
cynoglossus_semilaevis ENSCSEG00000018766
hippocampus_comes ENSHCOG00000004638
periophthalmus_magnuspinnatus ENSPMGG00000003373
gadus_morhua ENSGMOG00000007132
esox_lucius ENSELUG00000024211
scleropages_formosus ENSSFOG00015009599
paramormyrops_kingsleyae ENSPKIG00000014339
lepisosteus_oculatus ENSLOCG00000005233
manacus_vitellinus ENSMVIG00005018880
lepidothrix_coronata ENSLCOG00000007655
taeniopygia_guttata ENSTGUG00000007102
taeniopygia_guttata ENSTGUG00000007066
taeniopygia_guttata ENSTGUG00000016972
lonchura_striata_domestica ENSLSDG00000009212
serinus_canaria ENSSCAG00000009385
zonotrichia_albicollis ENSZALG00000014294
ficedula_albicollis ENSFALG00000012814
cyanistes_caeruleus ENSCCEG00000001240
parus_major ENSPMJG00000000269
melopsittacus_undulatus ENSMUNG00000016589
calidris_pygmaea ENSCPGG00000017827
calidris_pygmaea ENSCPGG00000017832
calidris_pugnax ENSCPUG00000013370
anser_brachyrhynchus ENSABRG00000008158
anas_platyrhynchos_platyrhynchos ENSAPLG00000007056
gallus_gallus ENSGALG00000015589
coturnix_japonica ENSCJPG00005000723
meleagris_gallopavo ENSMGAG00000008310
numida_meleagris ENSNMEG00000007577
apteryx_haastii ENSAHAG00000003306
apteryx_owenii ENSAOWG00000008235
apteryx_rowi ENSARWG00000005808
dromaius_novaehollandiae ENSDNVG00000013618
nothoprocta_perdicaria ENSNPEG00000015896
crocodylus_porosus ENSCPRG00005001827
gopherus_agassizii ENSGAGG00000009137
chelonoidis_abingdonii ENSCABG00000019035
gopherus_agassizii ENSGAGG00000006964
chrysemys_picta_bellii ENSCPBG00000010853
pelodiscus_sinensis ENSPSIG00000015278
anolis_carolinensis ENSACAG00000010533
pogona_vitticeps ENSPVIG00000025360
notechis_scutatus ENSNSUG00000004670
salvator_merianae ENSSMRG00000006503
sphenodon_punctatus ENSSPUG00000001144
phascolarctos_cinereus ENSPCIG00000013216
notamacropus_eugenii ENSMEUG00000004375
sarcophilus_harrisii ENSSHAG00000016015
monodelphis_domestica ENSMODG00000020264
macaca_mulatta ENSMMUG00000018284
macaca_fascicularis ENSMFAG00000043794
macaca_nemestrina ENSMNEG00000032256
chlorocebus_sabaeus ENSCSAG00000015082
theropithecus_gelada ENSTGEG00000025152
papio_anubis ENSPANG00000017879
cercocebus_atys ENSCATG00000033755
mandrillus_leucophaeus ENSMLEG00000041689
piliocolobus_tephrosceles ENSPTEG00000036267
colobus_angolensis_palliatus ENSCANG00000041965
rhinopithecus_roxellana ENSRROG00000031046
rhinopithecus_bieti ENSRBIG00000005363
pan_troglodytes ENSPTRG00000017043
pan_paniscus ENSPPAG00000033989
homo_sapiens ENSG00000113318
gorilla_gorilla ENSGGOG00000008712
pongo_abelii ENSPPYG00000015601
nomascus_leucogenys ENSNLEG00000012994
saimiri_boliviensis_boliviensis ENSSBOG00000034934
callithrix_jacchus ENSCJAG00000019548
cebus_capucinus ENSCCAG00000022745
aotus_nancymaae ENSANAG00000021323
carlito_syrichta ENSTSYG00000005906
prolemur_simus ENSPSMG00000022936
microcebus_murinus ENSMICG00000016187
propithecus_coquereli ENSPCOG00000020396
