petromyzon_marinus ENSPMAG00000004416
eptatretus_burgeri ENSEBUG00000003519
chrysemys_picta_bellii ENSCPBG00000003780
chelonoidis_abingdonii ENSCABG00000013805
pelodiscus_sinensis ENSPSIG00000014655
crocodylus_porosus ENSCPRG00005010931
apteryx_haastii ENSAHAG00000011848
apteryx_owenii ENSAOWG00000018496
apteryx_rowi ENSARWG00000017781
dromaius_novaehollandiae ENSDNVG00000008575
nothoprocta_perdicaria ENSNPEG00000014157
cyanistes_caeruleus ENSCCEG00000016835
parus_major ENSPMJG00000005371
ficedula_albicollis ENSFALG00000002237
zonotrichia_albicollis ENSZALG00000004157
junco_hyemalis ENSJHYG00000008807
serinus_canaria ENSSCAG00000015407
taeniopygia_guttata ENSTGUG00000010905
manacus_vitellinus ENSMVIG00005004228
lepidothrix_coronata ENSLCOG00000016407
melopsittacus_undulatus ENSMUNG00000007908
calidris_pugnax ENSCPUG00000003310
calidris_pygmaea ENSCPGG00000001088
anser_brachyrhynchus ENSABRG00000003143
anas_platyrhynchos_platyrhynchos ENSAPLG00000012609
gallus_gallus ENSGALG00000046180
coturnix_japonica ENSCJPG00005020068
meleagris_gallopavo ENSMGAG00000011067
numida_meleagris ENSNMEG00000013021
pogona_vitticeps ENSPVIG00000010131
anolis_carolinensis ENSACAG00000009854
notechis_scutatus ENSNSUG00000002633
salvator_merianae ENSSMRG00000011443
sphenodon_punctatus ENSSPUG00000005015
phascolarctos_cinereus ENSPCIG00000009739
notamacropus_eugenii ENSMEUG00000007717
sarcophilus_harrisii ENSSHAG00000014311
monodelphis_domestica ENSMODG00000009788
castor_canadensis ENSCCNG00000018664
dipodomys_ordii ENSDORG00000009986
mus_spicilegus ENSMSIG00000031166
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024016
mus_musculus ENSMUSG00000025081
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023095
mus_pahari MGP_PahariEiJ_G0014583
rattus_norvegicus ENSRNOG00000017064
meriones_unguiculatus ENSMUGG00000004710
peromyscus_maniculatus_bairdii ENSPEMG00000004582
microtus_ochrogaster ENSMOCG00000022360
cricetulus_griseus_crigri-picr ENSCGRG00015011884
cricetulus_griseus_chok1gshd ENSCGRG00001004632
cricetulus_griseus_crigri ENSCGRG00000004981
mesocricetus_auratus ENSMAUG00000012164
nannospalax_galili ENSNGAG00000015231
jaculus_jaculus ENSJJAG00000014720
urocitellus_parryii ENSUPAG00010023246
