seriola_dumerili ENSSDUG00000018336
seriola_lalandi_dorsalis ENSSLDG00000013066
cynoglossus_semilaevis ENSCSEG00000016335
acanthochromis_polyacanthus ENSAPOG00000006973
stegastes_partitus ENSSPAG00000008517
labrus_bergylta ENSLBEG00000002006
hippocampus_comes ENSHCOG00000009367
esox_lucius ENSELUG00000012092
astyanax_mexicanus ENSAMXG00000031446
scleropages_formosus ENSSFOG00015016075
chelonoidis_abingdonii ENSCABG00000010528
gopherus_agassizii ENSGAGG00000017306
chrysemys_picta_bellii ENSCPBG00000024862
taeniopygia_guttata ENSTGUG00000006612
manacus_vitellinus ENSMVIG00005004841
melopsittacus_undulatus ENSMUNG00000013938
procavia_capensis ENSPCAG00000015280
echinops_telfairi ENSETEG00000002457
equus_asinus_asinus ENSEASG00005007953
ursus_americanus ENSUAMG00000019990
myotis_lucifugus ENSMLUG00000017418
tursiops_truncatus ENSTTRG00000002832
macaca_mulatta ENSMMUG00000022660
chlorocebus_sabaeus ENSCSAG00000004397
otolemur_garnettii ENSOGAG00000031502
mus_spicilegus ENSMSIG00000008464
notamacropus_eugenii ENSMEUG00000005592
xenopus_tropicalis ENSXETG00000027772
eptatretus_burgeri ENSEBUG00000011946
