notamacropus_eugenii ENSMEUG00000008279
phascolarctos_cinereus ENSPCIG00000013403
monodelphis_domestica ENSMODG00000016692
monodelphis_domestica ENSMODG00000005902
sarcophilus_harrisii ENSSHAG00000015486
gorilla_gorilla ENSGGOG00000005634
homo_sapiens ENSG00000101182
pan_troglodytes ENSPTRG00000013699
pongo_abelii ENSPPYG00000011196
nomascus_leucogenys ENSNLEG00000015772
cercocebus_atys ENSCATG00000012259
mandrillus_leucophaeus ENSMLEG00000033853
papio_anubis ENSPANG00000020513
macaca_fascicularis ENSMFAG00000000723
macaca_nemestrina ENSMNEG00000027997
macaca_mulatta ENSMMUG00000018354
chlorocebus_sabaeus ENSCSAG00000015753
theropithecus_gelada ENSTGEG00000010548
piliocolobus_tephrosceles ENSPTEG00000000053
colobus_angolensis_palliatus ENSCANG00000031198
rhinopithecus_roxellana ENSRROG00000043126
rhinopithecus_bieti ENSRBIG00000030294
cebus_capucinus ENSCCAG00000019388
callithrix_jacchus ENSCJAG00000014419
aotus_nancymaae ENSANAG00000010130
microcebus_murinus ENSMICG00000014687
propithecus_coquereli ENSPCOG00000012673
otolemur_garnettii ENSOGAG00000000931
otolemur_garnettii ENSOGAG00000033967
pan_paniscus ENSPPAG00000026506
saimiri_boliviensis_boliviensis ENSSBOG00000030036
carlito_syrichta ENSTSYG00000010932
prolemur_simus ENSPSMG00000004865
microcebus_murinus ENSMICG00000037899
mus_spicilegus ENSMSIG00000016080
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025694
mus_musculus ENSMUSG00000027566
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024771
mus_pahari MGP_PahariEiJ_G0026215
rattus_norvegicus ENSRNOG00000056853
meriones_unguiculatus ENSMUGG00000015807
cricetulus_griseus_crigri-picr ENSCGRG00015015463
cricetulus_griseus_crigri ENSCGRG00000003726
cricetulus_griseus_chok1gshd ENSCGRG00001019663
microtus_ochrogaster ENSMOCG00000000346
microtus_ochrogaster ENSMOCG00000012194
peromyscus_maniculatus_bairdii ENSPEMG00000000274
nannospalax_galili ENSNGAG00000017073
cavia_porcellus ENSCPOG00000014168
cavia_aperea ENSCAPG00000003762
octodon_degus ENSODEG00000004073
chinchilla_lanigera ENSCLAG00000003150
heterocephalus_glaber_female ENSHGLG00000013634
heterocephalus_glaber_male ENSHGLG00100017381
fukomys_damarensis ENSFDAG00000007277
castor_canadensis ENSCCNG00000015265
castor_canadensis ENSCCNG00000007185
jaculus_jaculus ENSJJAG00000008311
jaculus_jaculus ENSJJAG00000019132
jaculus_jaculus ENSJJAG00000020199
jaculus_jaculus ENSJJAG00000010350
peromyscus_maniculatus_bairdii ENSPEMG00000028818
dipodomys_ordii ENSDORG00000016684
ictidomys_tridecemlineatus ENSSTOG00000012489
spermophilus_dauricus ENSSDAG00000005404
marmota_marmota_marmota ENSMMMG00000009969
urocitellus_parryii ENSUPAG00010008463
marmota_marmota_marmota ENSMMMG00000004668
mesocricetus_auratus ENSMAUG00000011223
oryctolagus_cuniculus ENSOCUG00000004010
dasypus_novemcinctus ENSDNOG00000046248
loxodonta_africana ENSLAFG00000030070
equus_caballus ENSECAG00000014168
erinaceus_europaeus ENSEEUG00000002265
bos_mutus ENSBMUG00000023856
bos_taurus ENSBTAG00000005127
bison_bison_bison ENSBBBG00000023734
capra_hircus ENSCHIG00000014692
ovis_aries ENSOARG00000014683
bos_mutus ENSBMUG00000004411
bos_taurus ENSBTAG00000054825
bison_bison_bison ENSBBBG00000016085
tursiops_truncatus ENSTTRG00000011050
canis_lupus_familiaris ENSCAFG00000012528
vulpes_vulpes ENSVVUG00000015857
canis_lupus_dingo ENSCAFG00020022159
ursus_americanus ENSUAMG00000025273
ursus_maritimus ENSUMAG00000000149
ailuropoda_melanoleuca ENSAMEG00000013451
neovison_vison ENSNVIG00000021436
mustela_putorius_furo ENSMPUG00000007664
panthera_pardus ENSPPRG00000009414
panthera_tigris_altaica ENSPTIG00000020131
felis_catus ENSFCAG00000003249
myotis_lucifugus ENSMLUG00000000308
equus_asinus_asinus ENSEASG00005023217
pteropus_vampyrus ENSPVAG00000017919
sus_scrofa ENSSSCG00000033332
tupaia_belangeri ENSTBEG00000012281
ochotona_princeps ENSOPRG00000000450
procavia_capensis ENSPCAG00000001310
dasypus_novemcinctus ENSDNOG00000047510
choloepus_hoffmanni ENSCHOG00000009652
ornithorhynchus_anatinus ENSOANG00000003369
apteryx_owenii ENSAOWG00000000464
apteryx_rowi ENSARWG00000009624
apteryx_haastii ENSAHAG00000000734
dromaius_novaehollandiae ENSDNVG00000014527
nothoprocta_perdicaria ENSNPEG00000009708
anser_brachyrhynchus ENSABRG00000000632
anas_platyrhynchos_platyrhynchos ENSAPLG00000012972
meleagris_gallopavo ENSMGAG00000005318
coturnix_japonica ENSCJPG00005002975
gallus_gallus ENSGALG00000030411
numida_meleagris ENSNMEG00000015987
cyanistes_caeruleus ENSCCEG00000021447
melopsittacus_undulatus ENSMUNG00000007324
melopsittacus_undulatus ENSMUNG00000007123
lonchura_striata_domestica ENSLSDG00000004767
serinus_canaria ENSSCAG00000015249
taeniopygia_guttata ENSTGUG00000007864
zonotrichia_albicollis ENSZALG00000009961
junco_hyemalis ENSJHYG00000010290
ficedula_albicollis ENSFALG00000010605
parus_major ENSPMJG00000007654
manacus_vitellinus ENSMVIG00005004243
lepidothrix_coronata ENSLCOG00000008211
calidris_pygmaea ENSCPGG00000009057
calidris_pugnax ENSCPUG00000008440
crocodylus_porosus ENSCPRG00005005389
gopherus_agassizii ENSGAGG00000004099
chelonoidis_abingdonii ENSCABG00000004021
chrysemys_picta_bellii ENSCPBG00000027066
pelodiscus_sinensis ENSPSIG00000016150
anolis_carolinensis ENSACAG00000016158
pogona_vitticeps ENSPVIG00000007321
notechis_scutatus ENSNSUG00000014145
salvator_merianae ENSSMRG00000012621
sphenodon_punctatus ENSSPUG00000014388
xenopus_tropicalis ENSXETG00000001998
latimeria_chalumnae ENSLACG00000004628
ictalurus_punctatus ENSIPUG00000014958
astyanax_mexicanus ENSAMXG00000041229
lepisosteus_oculatus ENSLOCG00000003735
