tetraodon_nigroviridis ENSTNIG00000009674
takifugu_rubripes ENSTRUG00000024595
cynoglossus_semilaevis ENSCSEG00000005467
monopterus_albus ENSMALG00000006768
mastacembelus_armatus ENSMAMG00000023628
anabas_testudineus ENSATEG00000023580
seriola_dumerili ENSSDUG00000013296
seriola_lalandi_dorsalis ENSSLDG00000015777
scophthalmus_maximus ENSSMAG00000001339
amphiprion_ocellaris ENSAOCG00000014906
amphiprion_percula ENSAPEG00000018297
acanthochromis_polyacanthus ENSAPOG00000014520
stegastes_partitus ENSSPAG00000021555
astatotilapia_calliptera ENSACLG00000011945
pundamilia_nyererei ENSPNYG00000005710
pundamilia_nyererei ENSPNYG00000005742
astatotilapia_calliptera ENSACLG00000011926
haplochromis_burtoni ENSHBUG00000016405
maylandia_zebra ENSMZEG00005025486
neolamprologus_brichardi ENSNBRG00000001678
oreochromis_niloticus ENSONIG00000016415
amphilophus_citrinellus ENSACIG00000001593
xiphophorus_couchianus ENSXCOG00000015432
xiphophorus_maculatus ENSXMAG00000029995
gambusia_affinis ENSGAFG00000003348
poecilia_latipinna ENSPLAG00000005849
poecilia_mexicana ENSPMEG00000020957
poecilia_reticulata ENSPREG00000007939
fundulus_heteroclitus ENSFHEG00000005807
cyprinodon_variegatus ENSCVAG00000008420
kryptolebias_marmoratus ENSKMAG00000014028
oryzias_latipes ENSORLG00000023072
oryzias_latipes ENSORLG00020002684
oryzias_latipes_asm223469v1 ENSORLG00015018897
oryzias_melastigma ENSOMEG00000010520
gasterosteus_aculeatus ENSGACG00000007412
mola_mola ENSMMOG00000009859
labrus_bergylta ENSLBEG00000025333
hippocampus_comes ENSHCOG00000006816
periophthalmus_magnuspinnatus ENSPMGG00000013608
gadus_morhua ENSGMOG00000003821
esox_lucius ENSELUG00000020907
pygocentrus_nattereri ENSPNAG00000003839
astyanax_mexicanus ENSAMXG00000038507
ictalurus_punctatus ENSIPUG00000002513
scleropages_formosus ENSSFOG00015019679
paramormyrops_kingsleyae ENSPKIG00000024522
amphiprion_ocellaris ENSAOCG00000002028
amphiprion_percula ENSAPEG00000005961
stegastes_partitus ENSSPAG00000021518
maylandia_zebra ENSMZEG00005026600
astatotilapia_calliptera ENSACLG00000010328
haplochromis_burtoni ENSHBUG00000021231
pundamilia_nyererei ENSPNYG00000009815
neolamprologus_brichardi ENSNBRG00000015581
oreochromis_niloticus ENSONIG00000019758
amphilophus_citrinellus ENSACIG00000003020
mastacembelus_armatus ENSMAMG00000016428
monopterus_albus ENSMALG00000019524
anabas_testudineus ENSATEG00000010268
seriola_dumerili ENSSDUG00000017371
seriola_lalandi_dorsalis ENSSLDG00000015321
scophthalmus_maximus ENSSMAG00000004042
gasterosteus_aculeatus ENSGACG00000004267
labrus_bergylta ENSLBEG00000025824
poecilia_mexicana ENSPMEG00000000429
poecilia_formosa ENSPFOG00000008269
poecilia_reticulata ENSPREG00000012876
poecilia_latipinna ENSPLAG00000011453
xiphophorus_maculatus ENSXMAG00000027309
xiphophorus_couchianus ENSXCOG00000019833
gambusia_affinis ENSGAFG00000006256
fundulus_heteroclitus ENSFHEG00000011229
oryzias_latipes ENSORLG00020015443
cynoglossus_semilaevis ENSCSEG00000012798
takifugu_rubripes ENSTRUG00000021889
esox_lucius ENSELUG00000009258
ictalurus_punctatus ENSIPUG00000002521
scleropages_formosus ENSSFOG00015019669
poecilia_reticulata ENSPREG00000007907
anabas_testudineus ENSATEG00000002726
mastacembelus_armatus ENSMAMG00000002177
labrus_bergylta ENSLBEG00000008495
pogona_vitticeps ENSPVIG00000021195
notechis_scutatus ENSNSUG00000002539
gallus_gallus ENSGALG00000052856
phascolarctos_cinereus ENSPCIG00000009136
monodelphis_domestica ENSMODG00000002717
sarcophilus_harrisii ENSSHAG00000002294
xenopus_tropicalis ENSXETG00000031188
lonchura_striata_domestica ENSLSDG00000012960
junco_hyemalis ENSJHYG00000008971
nothoprocta_perdicaria ENSNPEG00000009525
