apteryx_owenii ENSAOWG00000016103
apteryx_haastii ENSAHAG00000013794
apteryx_rowi ENSARWG00000017272
dromaius_novaehollandiae ENSDNVG00000010526
anser_brachyrhynchus ENSABRG00000001341
crocodylus_porosus ENSCPRG00005009462
chelonoidis_abingdonii ENSCABG00000008779
gopherus_agassizii ENSGAGG00000015489
chrysemys_picta_bellii ENSCPBG00000015915
anolis_carolinensis ENSACAG00000029545
pogona_vitticeps ENSPVIG00000019639
notechis_scutatus ENSNSUG00000002795
salvator_merianae ENSSMRG00000023644
sphenodon_punctatus ENSSPUG00000013948
chinchilla_lanigera ENSCLAG00000016037
octodon_degus ENSODEG00000010772
cavia_porcellus ENSCPOG00000000573
cavia_aperea ENSCAPG00000015235
heterocephalus_glaber_female ENSHGLG00000014698
heterocephalus_glaber_male ENSHGLG00100003435
fukomys_damarensis ENSFDAG00000015942
ictidomys_tridecemlineatus ENSSTOG00000010214
spermophilus_dauricus ENSSDAG00000002922
urocitellus_parryii ENSUPAG00010019493
marmota_marmota_marmota ENSMMMG00000005043
mus_spicilegus ENSMSIG00000022484
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025824
mus_musculus ENSMUSG00000043164
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024892
mus_pahari MGP_PahariEiJ_G0026337
rattus_norvegicus ENSRNOG00000012608
meriones_unguiculatus ENSMUGG00000005298
cricetulus_griseus_crigri ENSCGRG00000010100
cricetulus_griseus_chok1gshd ENSCGRG00001018197
cricetulus_griseus_crigri-picr ENSCGRG00015027872
mesocricetus_auratus ENSMAUG00000008004
microtus_ochrogaster ENSMOCG00000014617
peromyscus_maniculatus_bairdii ENSPEMG00000005772
nannospalax_galili ENSNGAG00000013793
jaculus_jaculus ENSJJAG00000019737
castor_canadensis ENSCCNG00000020205
oryctolagus_cuniculus ENSOCUG00000014446
ochotona_princeps ENSOPRG00000006778
tupaia_belangeri ENSTBEG00000009355
pan_troglodytes ENSPTRG00000015628
pan_paniscus ENSPPAG00000027890
homo_sapiens ENSG00000186329
gorilla_gorilla ENSGGOG00000014040
pongo_abelii ENSPPYG00000014300
nomascus_leucogenys ENSNLEG00000005473
rhinopithecus_bieti ENSRBIG00000040495
rhinopithecus_roxellana ENSRROG00000032923
colobus_angolensis_palliatus ENSCANG00000038713
piliocolobus_tephrosceles ENSPTEG00000031457
cercocebus_atys ENSCATG00000036665
mandrillus_leucophaeus ENSMLEG00000022532
theropithecus_gelada ENSTGEG00000026808
macaca_nemestrina ENSMNEG00000004183
macaca_mulatta ENSMMUG00000043637
macaca_fascicularis ENSMFAG00000001516
papio_anubis ENSPANG00000018154
chlorocebus_sabaeus ENSCSAG00000012780
saimiri_boliviensis_boliviensis ENSSBOG00000021220
cebus_capucinus ENSCCAG00000029297
callithrix_jacchus ENSCJAG00000002292
aotus_nancymaae ENSANAG00000022568
carlito_syrichta ENSTSYG00000010136
prolemur_simus ENSPSMG00000016184
propithecus_coquereli ENSPCOG00000011596
microcebus_murinus ENSMICG00000048602
bos_taurus ENSBTAG00000006174
bos_mutus ENSBMUG00000006575
bison_bison_bison ENSBBBG00000009707
ovis_aries ENSOARG00000020751
capra_hircus ENSCHIG00000019090
vicugna_pacos ENSVPAG00000005408
tursiops_truncatus ENSTTRG00000014173
sus_scrofa ENSSSCG00000011751
equus_asinus_asinus ENSEASG00005017199
equus_caballus ENSECAG00000028524
myotis_lucifugus ENSMLUG00000025537
pteropus_vampyrus ENSPVAG00000015835
ursus_americanus ENSUAMG00000017478
ursus_maritimus ENSUMAG00000009254
ailuropoda_melanoleuca ENSAMEG00000000944
neovison_vison ENSNVIG00000012401
mustela_putorius_furo ENSMPUG00000017156
canis_lupus_familiaris ENSCAFG00000015285
canis_lupus_dingo ENSCAFG00020004412
vulpes_vulpes ENSVVUG00000001592
panthera_tigris_altaica ENSPTIG00000017093
panthera_pardus ENSPPRG00000023938
felis_catus ENSFCAG00000011654
sorex_araneus ENSSARG00000012016
erinaceus_europaeus ENSEEUG00000007988
echinops_telfairi ENSETEG00000006429
procavia_capensis ENSPCAG00000016724
choloepus_hoffmanni ENSCHOG00000010109
dasypus_novemcinctus ENSDNOG00000045572
phascolarctos_cinereus ENSPCIG00000005387
notamacropus_eugenii ENSMEUG00000013721
sarcophilus_harrisii ENSSHAG00000004714
monodelphis_domestica ENSMODG00000015733
xenopus_tropicalis ENSXETG00000009134
lepisosteus_oculatus ENSLOCG00000007434
