pygocentrus_nattereri ENSPNAG00000021711
astyanax_mexicanus ENSAMXG00000036518
ictalurus_punctatus ENSIPUG00000003652
danio_rerio ENSDARG00000097310
mastacembelus_armatus ENSMAMG00000014823
monopterus_albus ENSMALG00000008905
anabas_testudineus ENSATEG00000012673
labrus_bergylta ENSLBEG00000004054
mola_mola ENSMMOG00000018395
seriola_dumerili ENSSDUG00000021365
seriola_lalandi_dorsalis ENSSLDG00000017670
xiphophorus_maculatus ENSXMAG00000006586
poecilia_reticulata ENSPREG00000020158
poecilia_formosa ENSPFOG00000014042
poecilia_mexicana ENSPMEG00000006508
poecilia_latipinna ENSPLAG00000002321
xiphophorus_couchianus ENSXCOG00000015735
gambusia_affinis ENSGAFG00000015378
cyprinodon_variegatus ENSCVAG00000011388
fundulus_heteroclitus ENSFHEG00000000472
kryptolebias_marmoratus ENSKMAG00000017477
oryzias_latipes ENSORLG00020014424
oryzias_latipes ENSORLG00000025284
oryzias_latipes_asm223469v1 ENSORLG00015004711
oryzias_melastigma ENSOMEG00000017824
acanthochromis_polyacanthus ENSAPOG00000021849
scophthalmus_maximus ENSSMAG00000018479
amphiprion_percula ENSAPEG00000003019
amphiprion_ocellaris ENSAOCG00000014363
acanthochromis_polyacanthus ENSAPOG00000005781
acanthochromis_polyacanthus ENSAPOG00000021610
stegastes_partitus ENSSPAG00000001108
maylandia_zebra ENSMZEG00005022794
haplochromis_burtoni ENSHBUG00000005746
astatotilapia_calliptera ENSACLG00000016583
pundamilia_nyererei ENSPNYG00000017826
neolamprologus_brichardi ENSNBRG00000010542
oreochromis_niloticus ENSONIG00000004140
amphilophus_citrinellus ENSACIG00000017086
cynoglossus_semilaevis ENSCSEG00000021770
periophthalmus_magnuspinnatus ENSPMGG00000019431
gadus_morhua ENSGMOG00000015244
esox_lucius ENSELUG00000003754
paramormyrops_kingsleyae ENSPKIG00000019779
lepisosteus_oculatus ENSLOCG00000012937
coturnix_japonica ENSCJPG00005020220
meleagris_gallopavo ENSMGAG00000007736
numida_meleagris ENSNMEG00000022998
anas_platyrhynchos_platyrhynchos ENSAPLG00000027363
lonchura_striata_domestica ENSLSDG00000017196
taeniopygia_guttata ENSTGUG00000007701
parus_major ENSPMJG00000000420
calidris_pugnax ENSCPUG00000018440
nothoprocta_perdicaria ENSNPEG00000015262
ficedula_albicollis ENSFALG00000011204
serinus_canaria ENSSCAG00000005344
manacus_vitellinus ENSMVIG00005014486
melopsittacus_undulatus ENSMUNG00000003008
anser_brachyrhynchus ENSABRG00000001141
gallus_gallus ENSGALG00000026607
apteryx_rowi ENSARWG00000012920
apteryx_owenii ENSAOWG00000003842
apteryx_haastii ENSAHAG00000017144
gopherus_agassizii ENSGAGG00000021378
pelodiscus_sinensis ENSPSIG00000006838
anolis_carolinensis ENSACAG00000013806
pogona_vitticeps ENSPVIG00000024452
notechis_scutatus ENSNSUG00000019429
salvator_merianae ENSSMRG00000006215
bos_taurus ENSBTAG00000051623
canis_lupus_dingo ENSCAFG00020027539
ornithorhynchus_anatinus ENSOANG00000004274
xenopus_tropicalis ENSXETG00000006028
latimeria_chalumnae ENSLACG00000017770
drosophila_melanogaster FBgn0035415
caenorhabditis_elegans_strain_n2 WBGene00012164
