anolis_carolinensis ENSACAG00000014470
pogona_vitticeps ENSPVIG00000007947
notechis_scutatus ENSNSUG00000011856
salvator_merianae ENSSMRG00000011830
sphenodon_punctatus ENSSPUG00000016473
calidris_pygmaea ENSCPGG00000014762
calidris_pugnax ENSCPUG00000018386
meleagris_gallopavo ENSMGAG00000003845
coturnix_japonica ENSCJPG00005017273
gallus_gallus ENSGALG00000029244
numida_meleagris ENSNMEG00000007047
dromaius_novaehollandiae ENSDNVG00000012731
nothoprocta_perdicaria ENSNPEG00000008567
anser_brachyrhynchus ENSABRG00000020532
anas_platyrhynchos_platyrhynchos ENSAPLG00000003192
melopsittacus_undulatus ENSMUNG00000007384
apteryx_haastii ENSAHAG00000017927
apteryx_owenii ENSAOWG00000009427
apteryx_rowi ENSARWG00000009521
parus_major ENSPMJG00000006289
cyanistes_caeruleus ENSCCEG00000018766
ficedula_albicollis ENSFALG00000000665
lonchura_striata_domestica ENSLSDG00000015074
taeniopygia_guttata ENSTGUG00000017332
junco_hyemalis ENSJHYG00000006574
lepidothrix_coronata ENSLCOG00000009173
manacus_vitellinus ENSMVIG00005012099
zonotrichia_albicollis ENSZALG00000005946
manacus_vitellinus ENSMVIG00005009948
serinus_canaria ENSSCAG00000015675
crocodylus_porosus ENSCPRG00005001395
gopherus_agassizii ENSGAGG00000012433
chelonoidis_abingdonii ENSCABG00000008666
chrysemys_picta_bellii ENSCPBG00000018953
pelodiscus_sinensis ENSPSIG00000007644
phascolarctos_cinereus ENSPCIG00000020653
notamacropus_eugenii ENSMEUG00000005051
sarcophilus_harrisii ENSSHAG00000007665
monodelphis_domestica ENSMODG00000017597
monodelphis_domestica ENSMODG00000008197
dipodomys_ordii ENSDORG00000016161
nannospalax_galili ENSNGAG00000014326
mus_spicilegus ENSMSIG00000010052
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027396
mus_musculus ENSMUSG00000032870
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026419
mus_pahari MGP_PahariEiJ_G0028748
rattus_norvegicus ENSRNOG00000011421
meriones_unguiculatus ENSMUGG00000007295
cricetulus_griseus_chok1gshd ENSCGRG00001019982
cricetulus_griseus_crigri-picr ENSCGRG00015003536
cricetulus_griseus_crigri ENSCGRG00000009820
mesocricetus_auratus ENSMAUG00000011611
microtus_ochrogaster ENSMOCG00000003493
peromyscus_maniculatus_bairdii ENSPEMG00000022978
jaculus_jaculus ENSJJAG00000024140
