anas_platyrhynchos_platyrhynchos ENSAPLG00000005211
gallus_gallus ENSGALG00000039724
calidris_pugnax ENSCPUG00000007338
melopsittacus_undulatus ENSMUNG00000015835
serinus_canaria ENSSCAG00000009473
lonchura_striata_domestica ENSLSDG00000005199
junco_hyemalis ENSJHYG00000011127
zonotrichia_albicollis ENSZALG00000015276
taeniopygia_guttata ENSTGUG00000006084
lepidothrix_coronata ENSLCOG00000010575
manacus_vitellinus ENSMVIG00005000450
ficedula_albicollis ENSFALG00000009137
cyanistes_caeruleus ENSCCEG00000002819
apteryx_rowi ENSARWG00000015246
apteryx_owenii ENSAOWG00000016554
dromaius_novaehollandiae ENSDNVG00000015440
apteryx_haastii ENSAHAG00000006089
nothoprocta_perdicaria ENSNPEG00000005800
coturnix_japonica ENSCJPG00005020710
meleagris_gallopavo ENSMGAG00000004410
numida_meleagris ENSNMEG00000018891
anser_brachyrhynchus ENSABRG00000014551
calidris_pygmaea ENSCPGG00000001478
parus_major ENSPMJG00000003644
crocodylus_porosus ENSCPRG00005012343
gopherus_agassizii ENSGAGG00000025008
chelonoidis_abingdonii ENSCABG00000013306
chrysemys_picta_bellii ENSCPBG00000026061
pogona_vitticeps ENSPVIG00000012817
anolis_carolinensis ENSACAG00000011101
notechis_scutatus ENSNSUG00000008922
salvator_merianae ENSSMRG00000021261
sphenodon_punctatus ENSSPUG00000011881
phascolarctos_cinereus ENSPCIG00000028603
phascolarctos_cinereus ENSPCIG00000023299
notamacropus_eugenii ENSMEUG00000015043
monodelphis_domestica ENSMODG00000012117
echinops_telfairi ENSETEG00000008933
procavia_capensis ENSPCAG00000009044
chinchilla_lanigera ENSCLAG00000012313
octodon_degus ENSODEG00000011366
heterocephalus_glaber_female ENSHGLG00000009851
heterocephalus_glaber_male ENSHGLG00100018189
fukomys_damarensis ENSFDAG00000012227
cavia_porcellus ENSCPOG00000035994
ochotona_princeps ENSOPRG00000016551
dasypus_novemcinctus ENSDNOG00000015995
homo_sapiens ENSG00000139725
gorilla_gorilla ENSGGOG00000007820
pan_troglodytes ENSPTRG00000005565
pan_paniscus ENSPPAG00000043831
pongo_abelii ENSPPYG00000005055
nomascus_leucogenys ENSNLEG00000030409
piliocolobus_tephrosceles ENSPTEG00000011927
colobus_angolensis_palliatus ENSCANG00000017717
rhinopithecus_roxellana ENSRROG00000023702
rhinopithecus_bieti ENSRBIG00000042834
mandrillus_leucophaeus ENSMLEG00000042051
cercocebus_atys ENSCATG00000033006
macaca_fascicularis ENSMFAG00000032227
macaca_mulatta ENSMMUG00000012645
macaca_nemestrina ENSMNEG00000044008
theropithecus_gelada ENSTGEG00000025092
papio_anubis ENSPANG00000007557
chlorocebus_sabaeus ENSCSAG00000002190
callithrix_jacchus ENSCJAG00000016963
callithrix_jacchus ENSCJAG00000023040
aotus_nancymaae ENSANAG00000022495
cebus_capucinus ENSCCAG00000032202
saimiri_boliviensis_boliviensis ENSSBOG00000006898
aotus_nancymaae ENSANAG00000023975
carlito_syrichta ENSTSYG00000028263
microcebus_murinus ENSMICG00000037067
prolemur_simus ENSPSMG00000008730
propithecus_coquereli ENSPCOG00000009117
otolemur_garnettii ENSOGAG00000006510
cricetulus_griseus_chok1gshd ENSCGRG00001015936
cricetulus_griseus_crigri ENSCGRG00000015718
mesocricetus_auratus ENSMAUG00000018686
peromyscus_maniculatus_bairdii ENSPEMG00000006608
microtus_ochrogaster ENSMOCG00000011889
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028717
mus_spicilegus ENSMSIG00000014594
mus_musculus ENSMUSG00000029449
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027719
mus_pahari MGP_PahariEiJ_G0024299
rattus_norvegicus ENSRNOG00000042607
meriones_unguiculatus ENSMUGG00000015272
nannospalax_galili ENSNGAG00000010456
jaculus_jaculus ENSJJAG00000011672
castor_canadensis ENSCCNG00000002596
spermophilus_dauricus ENSSDAG00000017593
ictidomys_tridecemlineatus ENSSTOG00000024648
urocitellus_parryii ENSUPAG00010005496
marmota_marmota_marmota ENSMMMG00000001233
cavia_aperea ENSCAPG00000017411
dipodomys_ordii ENSDORG00000030199
oryctolagus_cuniculus ENSOCUG00000026192
tupaia_belangeri ENSTBEG00000017134
myotis_lucifugus ENSMLUG00000022371
equus_caballus ENSECAG00000024780
equus_asinus_asinus ENSEASG00005012355
panthera_tigris_altaica ENSPTIG00000015509
panthera_pardus ENSPPRG00000022261
felis_catus ENSFCAG00000001335
bos_mutus ENSBMUG00000018018
bos_taurus ENSBTAG00000032534
bison_bison_bison ENSBBBG00000017303
capra_hircus ENSCHIG00000026262
ovis_aries ENSOARG00000012998
sus_scrofa ENSSSCG00000009807
tursiops_truncatus ENSTTRG00000016498
pteropus_vampyrus ENSPVAG00000001259
ursus_americanus ENSUAMG00000008741
ailuropoda_melanoleuca ENSAMEG00000014440
neovison_vison ENSNVIG00000018067
mustela_putorius_furo ENSMPUG00000002061
canis_lupus_familiaris ENSCAFG00000008188
vulpes_vulpes ENSVVUG00000016687
canis_lupus_dingo ENSCAFG00020016626
ursus_americanus ENSUAMG00000008739
cricetulus_griseus_crigri-picr ENSCGRG00015025582
loxodonta_africana ENSLAFG00000031810
ornithorhynchus_anatinus ENSOANG00000012561
xenopus_tropicalis ENSXETG00000003758
latimeria_chalumnae ENSLACG00000018404
pygocentrus_nattereri ENSPNAG00000016017
astyanax_mexicanus ENSAMXG00000038990
ictalurus_punctatus ENSIPUG00000024744
danio_rerio ENSDARG00000054389
paramormyrops_kingsleyae ENSPKIG00000017051
scleropages_formosus ENSSFOG00015004884
paramormyrops_kingsleyae ENSPKIG00000023143
amphiprion_percula ENSAPEG00000010914
amphiprion_ocellaris ENSAOCG00000003753
amphiprion_ocellaris ENSAOCG00000003780
acanthochromis_polyacanthus ENSAPOG00000019772
acanthochromis_polyacanthus ENSAPOG00000012380
stegastes_partitus ENSSPAG00000011763
esox_lucius ENSELUG00000001481
oryzias_latipes ENSORLG00000027344
oryzias_latipes_asm223469v1 ENSORLG00015004135
oryzias_latipes ENSORLG00020017061
oryzias_melastigma ENSOMEG00000002252
kryptolebias_marmoratus ENSKMAG00000007849
fundulus_heteroclitus ENSFHEG00000013109
cyprinodon_variegatus ENSCVAG00000022100
xiphophorus_maculatus ENSXMAG00000014094
xiphophorus_couchianus ENSXCOG00000004457
gambusia_affinis ENSGAFG00000008691
poecilia_formosa ENSPFOG00000019767
poecilia_latipinna ENSPLAG00000023486
poecilia_mexicana ENSPMEG00000020454
poecilia_reticulata ENSPREG00000011566
oreochromis_niloticus ENSONIG00000013893
oreochromis_niloticus ENSONIG00000013888
haplochromis_burtoni ENSHBUG00000020016
maylandia_zebra ENSMZEG00005026616
pundamilia_nyererei ENSPNYG00000009589
astatotilapia_calliptera ENSACLG00000016629
neolamprologus_brichardi ENSNBRG00000002893
amphilophus_citrinellus ENSACIG00000016490
scophthalmus_maximus ENSSMAG00000001226
takifugu_rubripes ENSTRUG00000009815
tetraodon_nigroviridis ENSTNIG00000009089
monopterus_albus ENSMALG00000005393
mastacembelus_armatus ENSMAMG00000011010
seriola_dumerili ENSSDUG00000018293
seriola_lalandi_dorsalis ENSSLDG00000015569
amphiprion_percula ENSAPEG00000010738
amphiprion_ocellaris ENSAOCG00000012182
