astatotilapia_calliptera ENSACLG00000000952
maylandia_zebra ENSMZEG00005008197
haplochromis_burtoni ENSHBUG00000003671
pundamilia_nyererei ENSPNYG00000000158
neolamprologus_brichardi ENSNBRG00000018261
amphilophus_citrinellus ENSACIG00000015615
xiphophorus_maculatus ENSXMAG00000023574
xiphophorus_couchianus ENSXCOG00000010390
gambusia_affinis ENSGAFG00000007082
poecilia_reticulata ENSPREG00000020363
poecilia_mexicana ENSPMEG00000021447
poecilia_latipinna ENSPLAG00000000711
fundulus_heteroclitus ENSFHEG00000011046
kryptolebias_marmoratus ENSKMAG00000009718
oryzias_latipes ENSORLG00020005667
oryzias_latipes_asm223469v1 ENSORLG00015007163
oryzias_melastigma ENSOMEG00000012202
labrus_bergylta ENSLBEG00000013404
takifugu_rubripes ENSTRUG00000021681
periophthalmus_magnuspinnatus ENSPMGG00000018230
scophthalmus_maximus ENSSMAG00000009518
amphiprion_ocellaris ENSAOCG00000015137
amphiprion_percula ENSAPEG00000011258
acanthochromis_polyacanthus ENSAPOG00000023254
stegastes_partitus ENSSPAG00000009088
mola_mola ENSMMOG00000009412
hippocampus_comes ENSHCOG00000002802
monopterus_albus ENSMALG00000005444
mastacembelus_armatus ENSMAMG00000012699
anabas_testudineus ENSATEG00000001060
seriola_dumerili ENSSDUG00000010376
seriola_lalandi_dorsalis ENSSLDG00000002612
esox_lucius ENSELUG00000000219
pygocentrus_nattereri ENSPNAG00000020055
astyanax_mexicanus ENSAMXG00000034598
ictalurus_punctatus ENSIPUG00000018466
danio_rerio ENSDARG00000092889
scleropages_formosus ENSSFOG00015017021
paramormyrops_kingsleyae ENSPKIG00000006394
