chelonoidis_abingdonii ENSCABG00000013483
gopherus_agassizii ENSGAGG00000016784
chrysemys_picta_bellii ENSCPBG00000011385
crocodylus_porosus ENSCPRG00005000879
anolis_carolinensis ENSACAG00000003136
pogona_vitticeps ENSPVIG00000001684
notechis_scutatus ENSNSUG00000004313
salvator_merianae ENSSMRG00000008991
erinaceus_europaeus ENSEEUG00000006507
sorex_araneus ENSSARG00000011442
tupaia_belangeri ENSTBEG00000005960
pan_troglodytes ENSPTRG00000004428
pan_paniscus ENSPPAG00000025837
homo_sapiens ENSG00000019102
gorilla_gorilla ENSGGOG00000005793
pongo_abelii ENSPPYG00000004019
nomascus_leucogenys ENSNLEG00000007438
mandrillus_leucophaeus ENSMLEG00000034586
cercocebus_atys ENSCATG00000031866
papio_anubis ENSPANG00000023741
macaca_fascicularis ENSMFAG00000046060
macaca_nemestrina ENSMNEG00000041317
theropithecus_gelada ENSTGEG00000027548
chlorocebus_sabaeus ENSCSAG00000002377
colobus_angolensis_palliatus ENSCANG00000013117
piliocolobus_tephrosceles ENSPTEG00000006664
rhinopithecus_bieti ENSRBIG00000000677
rhinopithecus_roxellana ENSRROG00000032958
cebus_capucinus ENSCCAG00000035089
saimiri_boliviensis_boliviensis ENSSBOG00000021464
callithrix_jacchus ENSCJAG00000007995
aotus_nancymaae ENSANAG00000036762
carlito_syrichta ENSTSYG00000011576
prolemur_simus ENSPSMG00000001874
microcebus_murinus ENSMICG00000001695
propithecus_coquereli ENSPCOG00000015699
otolemur_garnettii ENSOGAG00000015706
castor_canadensis ENSCCNG00000016004
dipodomys_ordii ENSDORG00000002740
chinchilla_lanigera ENSCLAG00000015241
octodon_degus ENSODEG00000004967
cavia_porcellus ENSCPOG00000000599
cavia_aperea ENSCAPG00000015778
heterocephalus_glaber_male ENSHGLG00100004860
heterocephalus_glaber_female ENSHGLG00000003169
fukomys_damarensis ENSFDAG00000010404
mus_musculus ENSMUSG00000001943
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033111
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031985
mus_spicilegus ENSMSIG00000015220
mus_pahari MGP_PahariEiJ_G0014849
rattus_norvegicus ENSRNOG00000033490
meriones_unguiculatus ENSMUGG00000006546
cricetulus_griseus_crigri-picr ENSCGRG00015009457
cricetulus_griseus_chok1gshd ENSCGRG00001019705
cricetulus_griseus_crigri ENSCGRG00000011242
mesocricetus_auratus ENSMAUG00000021083
microtus_ochrogaster ENSMOCG00000013088
peromyscus_maniculatus_bairdii ENSPEMG00000010489
nannospalax_galili ENSNGAG00000000807
jaculus_jaculus ENSJJAG00000023365
ictidomys_tridecemlineatus ENSSTOG00000016277
urocitellus_parryii ENSUPAG00010023794
marmota_marmota_marmota ENSMMMG00000000235
spermophilus_dauricus ENSSDAG00000003221
ochotona_princeps ENSOPRG00000015064
equus_caballus ENSECAG00000000514
equus_asinus_asinus ENSEASG00005002281
pteropus_vampyrus ENSPVAG00000010694
sus_scrofa ENSSSCG00000015199
vicugna_pacos ENSVPAG00000004862
capra_hircus ENSCHIG00000018777
ovis_aries ENSOARG00000010603
bos_mutus ENSBMUG00000018000
bos_taurus ENSBTAG00000022379
bison_bison_bison ENSBBBG00000002089
tursiops_truncatus ENSTTRG00000013223
ursus_americanus ENSUAMG00000021772
ursus_maritimus ENSUMAG00000001390
ailuropoda_melanoleuca ENSAMEG00000000761
mustela_putorius_furo ENSMPUG00000006074
neovison_vison ENSNVIG00000020680
canis_lupus_dingo ENSCAFG00020011009
canis_lupus_familiaris ENSCAFG00000011162
vulpes_vulpes ENSVVUG00000020534
panthera_pardus ENSPPRG00000021099
panthera_tigris_altaica ENSPTIG00000017312
felis_catus ENSFCAG00000006975
choloepus_hoffmanni ENSCHOG00000004114
dasypus_novemcinctus ENSDNOG00000002162
loxodonta_africana ENSLAFG00000008981
procavia_capensis ENSPCAG00000011804
echinops_telfairi ENSETEG00000008864
notamacropus_eugenii ENSMEUG00000013238
phascolarctos_cinereus ENSPCIG00000035959
monodelphis_domestica ENSMODG00000003791
sarcophilus_harrisii ENSSHAG00000015155
xenopus_tropicalis ENSXETG00000012656
latimeria_chalumnae ENSLACG00000007181
scleropages_formosus ENSSFOG00015002964
paramormyrops_kingsleyae ENSPKIG00000004104
pygocentrus_nattereri ENSPNAG00000002365
astyanax_mexicanus ENSAMXG00000003149
ictalurus_punctatus ENSIPUG00000013877
lepisosteus_oculatus ENSLOCG00000005107
