scleropages_formosus ENSSFOG00015020398
paramormyrops_kingsleyae ENSPKIG00000025104
takifugu_rubripes ENSTRUG00000017168
tetraodon_nigroviridis ENSTNIG00000007407
mola_mola ENSMMOG00000004727
periophthalmus_magnuspinnatus ENSPMGG00000004794
oryzias_latipes ENSORLG00015009868
oryzias_melastigma ENSOMEG00000010280
cynoglossus_semilaevis ENSCSEG00000020249
hippocampus_comes ENSHCOG00000014310
seriola_dumerili ENSSDUG00000008850
seriola_lalandi ENSSLDG00000019376
scophthalmus_maximus ENSSMAG00000005158
labrus_bergylta ENSLBEG00000016106
pundamilia_nyererei ENSPNYG00000006020
maylandia_zebra ENSMZEG00005006622
astatotilapia_calliptera ENSACLG00000021342
haplochromis_burtoni ENSHBUG00000017158
neolamprologus_brichardi ENSNBRG00000014806
oreochromis_niloticus ENSONIG00000019636
amphilophus_citrinellus ENSACIG00000020587
anabas_testudineus ENSATEG00000001202
monopterus_albus ENSMALG00000002297
xiphophorus_maculatus ENSXMAG00000017263
xiphophorus_couchianus ENSXCOG00000002029
gambusia_affinis ENSGAFG00000002101
poecilia_latipinna ENSPLAG00000002341
poecilia_formosa ENSPFOG00000017830
poecilia_mexicana ENSPMEG00000020055
poecilia_reticulata ENSPREG00000021660
cyprinodon_variegatus ENSCVAG00000014680
fundulus_heteroclitus ENSFHEG00000017959
kryptolebias_marmoratus ENSKMAG00000001216
amphiprion_percula ENSAPEG00000019464
amphiprion_ocellaris ENSAOCG00000020460
acanthochromis_polyacanthus ENSAPOG00000007279
stegastes_partitus ENSSPAG00000001856
gasterosteus_aculeatus ENSGACG00000005578
mastacembelus_armatus ENSMAMG00000000351
gadus_morhua ENSGMOG00000012798
esox_lucius ENSELUG00000006515
pygocentrus_nattereri ENSPNAG00000021388
astyanax_mexicanus ENSAMXG00000040122
ictalurus_punctatus ENSIPUG00000011866
danio_rerio ENSDARG00000103614
lepisosteus_oculatus ENSLOCG00000001840
gopherus_agassizii ENSGAGG00000008949
chelonoidis_abingdonii ENSCABG00000021672
chrysemys_picta ENSCPBG00000020924
pelodiscus_sinensis ENSPSIG00000005877
crocodylus_porosus ENSCPRG00005015993
sphenodon_punctatus ENSSPUG00000003728
gallus_gallus ENSGALG00000004875
meleagris_gallopavo ENSMGAG00000004465
coturnix_japonica ENSCJPG00005001461
numida_meleagris ENSNMEG00000009603
anser_brachyrhynchus ENSABRG00000015603
anas_platyrhynchos ENSAPLG00000019768
taeniopygia_guttata ENSTGUG00000007349
lonchura_striata ENSLSDG00000007163
serinus_canaria ENSSCAG00000008844
parus_major ENSPMJG00000017428
cyanistes_caeruleus ENSCCEG00000022567
ficedula_albicollis ENSFALG00000013773
junco_hyemalis ENSJHYG00000005011
zonotrichia_albicollis ENSZALG00000008434
lepidothrix_coronata ENSLCOG00000012764
manacus_vitellinus ENSMVIG00005015129
