tetraodon_nigroviridis ENSTNIG00000004706
takifugu_rubripes ENSTRUG00000000559
mola_mola ENSMMOG00000021087
labrus_bergylta ENSLBEG00000021546
anabas_testudineus ENSATEG00000000488
hippocampus_comes ENSHCOG00000006668
gambusia_affinis ENSGAFG00000004263
poecilia_latipinna ENSPLAG00000020365
xiphophorus_couchianus ENSXCOG00000005189
cyprinodon_variegatus ENSCVAG00000002515
amphilophus_citrinellus ENSACIG00000023963
stegastes_partitus ENSSPAG00000010427
scophthalmus_maximus ENSSMAG00000017446
gadus_morhua ENSGMOG00000013606
gasterosteus_aculeatus ENSGACG00000017822
periophthalmus_magnuspinnatus ENSPMGG00000004941
poecilia_formosa ENSPFOG00000002242
poecilia_mexicana ENSPMEG00000010696
poecilia_reticulata ENSPREG00000005142
xiphophorus_maculatus ENSXMAG00000026867
fundulus_heteroclitus ENSFHEG00000000144
kryptolebias_marmoratus ENSKMAG00000015049
oryzias_latipes ENSORLG00000011851
oryzias_latipes_asm223469v1 ENSORLG00015022824
oryzias_latipes ENSORLG00020009161
oryzias_melastigma ENSOMEG00000020689
amphiprion_percula ENSAPEG00000003830
amphiprion_ocellaris ENSAOCG00000022790
acanthochromis_polyacanthus ENSAPOG00000019971
astatotilapia_calliptera ENSACLG00000025351
haplochromis_burtoni ENSHBUG00000022616
pundamilia_nyererei ENSPNYG00000009997
maylandia_zebra ENSMZEG00005016435
neolamprologus_brichardi ENSNBRG00000010622
oreochromis_niloticus ENSONIG00000004110
monopterus_albus ENSMALG00000006658
mastacembelus_armatus ENSMAMG00000005366
seriola_lalandi_dorsalis ENSSLDG00000014249
seriola_dumerili ENSSDUG00000019267
cynoglossus_semilaevis ENSCSEG00000020079
pygocentrus_nattereri ENSPNAG00000027179
astyanax_mexicanus ENSAMXG00000009891
ictalurus_punctatus ENSIPUG00000024843
danio_rerio ENSDARG00000063614
esox_lucius ENSELUG00000013092
scleropages_formosus ENSSFOG00015018183
paramormyrops_kingsleyae ENSPKIG00000022834
coturnix_japonica ENSCJPG00005004937
gallus_gallus ENSGALG00000051844
numida_meleagris ENSNMEG00000015184
anas_platyrhynchos_platyrhynchos ENSAPLG00000022487
lonchura_striata_domestica ENSLSDG00000004825
parus_major ENSPMJG00000003106
ficedula_albicollis ENSFALG00000008932
lepidothrix_coronata ENSLCOG00000015921
calidris_pygmaea ENSCPGG00000017984
nothoprocta_perdicaria ENSNPEG00000004118
dromaius_novaehollandiae ENSDNVG00000005036
gopherus_agassizii ENSGAGG00000022378
chrysemys_picta_bellii ENSCPBG00000025680
notechis_scutatus ENSNSUG00000010155
anolis_carolinensis ENSACAG00000006146
salvator_merianae ENSSMRG00000000124
dasypus_novemcinctus ENSDNOG00000025727
loxodonta_africana ENSLAFG00000020778
heterocephalus_glaber_male ENSHGLG00100000720
heterocephalus_glaber_female ENSHGLG00000006276
fukomys_damarensis ENSFDAG00000017227
chinchilla_lanigera ENSCLAG00000012544
octodon_degus ENSODEG00000018363
cavia_porcellus ENSCPOG00000021920
urocitellus_parryii ENSUPAG00010002670
ictidomys_tridecemlineatus ENSSTOG00000021346
spermophilus_dauricus ENSSDAG00000005297
dipodomys_ordii ENSDORG00000012420
castor_canadensis ENSCCNG00000013209
mus_musculus ENSMUSG00000091519
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023324
mus_spicilegus ENSMSIG00000018834
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022411
mus_pahari MGP_PahariEiJ_G0019140
rattus_norvegicus ENSRNOG00000018006
meriones_unguiculatus ENSMUGG00000026012
cricetulus_griseus_chok1gshd ENSCGRG00001007925
cricetulus_griseus_crigri-picr ENSCGRG00015024914
mesocricetus_auratus ENSMAUG00000016006
microtus_ochrogaster ENSMOCG00000018264
peromyscus_maniculatus_bairdii ENSPEMG00000022190
nannospalax_galili ENSNGAG00000018430
jaculus_jaculus ENSJJAG00000013235
oryctolagus_cuniculus ENSOCUG00000027573
propithecus_coquereli ENSPCOG00000016973
prolemur_simus ENSPSMG00000018268
microcebus_murinus ENSMICG00000031129
otolemur_garnettii ENSOGAG00000032696
cebus_capucinus ENSCCAG00000021025
callithrix_jacchus ENSCJAG00000048253
aotus_nancymaae ENSANAG00000030804
piliocolobus_tephrosceles ENSPTEG00000019808
rhinopithecus_bieti ENSRBIG00000043935
macaca_fascicularis ENSMFAG00000008702
macaca_mulatta ENSMMUG00000048459
macaca_nemestrina ENSMNEG00000030429
cercocebus_atys ENSCATG00000035815
papio_anubis ENSPANG00000017535
chlorocebus_sabaeus ENSCSAG00000018012
homo_sapiens ENSG00000215474
pan_troglodytes ENSPTRG00000033850
gorilla_gorilla ENSGGOG00000006679
mustela_putorius_furo ENSMPUG00000000851
neovison_vison ENSNVIG00000001287
felis_catus ENSFCAG00000045761
equus_caballus ENSECAG00000040113
equus_asinus_asinus ENSEASG00005016101
bison_bison_bison ENSBBBG00000010476
bos_taurus ENSBTAG00000032962
capra_hircus ENSCHIG00000011642
sus_scrofa ENSSSCG00000005767
myotis_lucifugus ENSMLUG00000028440
myotis_lucifugus ENSMLUG00000028696
panthera_pardus ENSPPRG00000000048
panthera_tigris_altaica ENSPTIG00000019038
pteropus_vampyrus ENSPVAG00000017466
bos_mutus ENSBMUG00000012703
ovis_aries ENSOARG00000003607
tursiops_truncatus ENSTTRG00000016397
ochotona_princeps ENSOPRG00000018601
ailuropoda_melanoleuca ENSAMEG00000012815
macaca_nemestrina ENSMNEG00000038031
choloepus_hoffmanni ENSCHOG00000012236
carlito_syrichta ENSTSYG00000007405
procavia_capensis ENSPCAG00000014599
theropithecus_gelada ENSTGEG00000026492
mandrillus_leucophaeus ENSMLEG00000040989
rhinopithecus_roxellana ENSRROG00000033499
colobus_angolensis_palliatus ENSCANG00000031682
nomascus_leucogenys ENSNLEG00000029297
pongo_abelii ENSPPYG00000009142
saimiri_boliviensis_boliviensis ENSSBOG00000019888
monodelphis_domestica ENSMODG00000028388
ornithorhynchus_anatinus ENSOANG00000029231
ornithorhynchus_anatinus ENSOANG00000030686
canis_lupus_dingo ENSCAFG00020010387
canis_lupus_familiaris ENSCAFG00000029670
vulpes_vulpes ENSVVUG00000028208
phascolarctos_cinereus ENSPCIG00000006700
notamacropus_eugenii ENSMEUG00000016087
monodelphis_domestica ENSMODG00000003381
sarcophilus_harrisii ENSSHAG00000006448
xenopus_tropicalis ENSXETG00000030402
latimeria_chalumnae ENSLACG00000008851
lepisosteus_oculatus ENSLOCG00000012403
eptatretus_burgeri ENSEBUG00000005618
