geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest , au_nj  , AU_Ensembl , TreeBestPassTest , NJPassTest , orthoGroupPassTest , EnsemblTreePassTest, TreeBestBetter , NJBetter  , orthoGroupBetter , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best 
ENSGT00940000169600,3,"66,67","0,447","0,5","0,505",1,1,1,1,0,0,0,1,1,0,0,1
ENSGT00940000160433,8,100,"0,79","0,304","0,015",1,1,1,0,1,0,1,0,5,5,0,0
ENSGT00940000159954,10,90,1,"0,0003","0,001",1,0,1,0,1,0,1,0,8,8,0,0
ENSGT00390000014590,6,"83,33","0,531","0,555","0,395",1,1,1,1,0,1,1,0,3,3,0,0
ENSGT00390000004040,8,"62,5","0,558","0,04","0,593",1,0,1,1,0,0,0,1,2,1,0,1
ENSGT00940000158783,18,"61,11","0,997","0,0003","0,007",1,0,1,0,1,0,1,0,15,14,0,1
ENSGT00940000165172,8,75,"0,497","0,325","0,609",1,1,1,1,0,0,0,1,4,3,0,1
ENSGT00390000001511,3,"33,33","0,492","0,483","0,485",1,1,1,1,1,0,1,0,1,0,0,1
ENSGT00940000155294,16,"56,25","0,63","0,001","0,395",1,0,1,1,1,0,1,0,0,4,1,0
ENSGT00940000177095,18,100,"0,922","0,0005","0,086",1,0,1,1,1,0,1,0,9,9,0,0
ENSGT00940000158387,17,"76,47","0,252","0,613","0,489",1,1,1,1,0,1,1,0,9,9,0,0
ENSGT00950000185540,6,100,"0,514","0,466","0,482",1,1,1,1,1,0,1,0,4,3,0,1
ENSGT00940000162882,12,"58,33","0,979",2E-44,"0,021",1,0,1,0,1,0,1,0,10,10,0,0
ENSGT00940000178019,6,100,"0,439","0,564","0,436",1,1,1,1,0,1,1,0,0,1,1,0
ENSGT00940000165652,9,100,"0,83","0,201","0,263",1,1,1,1,1,0,1,0,3,4,1,0
ENSGT00940000164774,9,100,"0,966","0,002","0,034",1,0,1,0,1,0,1,0,6,7,1,0
ENSGT00950000183038,3,"66,67",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
ENSGT00940000169631,8,"87,5","0,381","0,67","0,031",1,1,1,0,0,1,1,0,4,5,1,0
ENSGT00940000164045,5,80,"0,385","0,08","0,925",1,1,1,1,0,0,0,1,3,3,0,0
ENSGT00940000165675,5,60,"0,616","0,01","0,512",1,0,1,1,1,0,1,0,2,1,0,1
ENSGT00910000147974,7,100,"0,476","0,431","0,543",1,1,1,1,0,0,0,1,5,5,0,0
ENSGT00940000158220,9,100,"0,017","0,002","0,991",0,0,0,1,0,0,0,1,6,7,1,0
ENSGT00910000144335,11,100,"0,217","0,022","0,907",1,0,1,1,0,0,0,1,7,7,0,0
ENSGT00940000158362,4,50,"0,143","0,142","0,863",1,1,1,1,0,0,0,1,1,1,0,0
ENSGT00950000182863,6,50,"0,00008",1,"0,00008",0,1,1,0,0,1,1,0,3,3,0,0
ENSGT00940000178120,5,100,"0,477","0,492","0,493",1,1,1,1,0,0,0,1,0,1,1,0
ENSGT00390000010017,13,"76,92","0,157","0,0001","0,844",1,0,1,1,0,0,0,1,1,2,1,0
ENSGT00390000003628,9,"66,67","0,024","0,0004","0,981",0,0,0,1,0,0,0,1,1,1,0,0
ENSGT00510000048991,3,"33,33","0,57","0,506","0,549",1,1,1,1,1,0,1,0,2,2,0,0
ENSGT00420000029792,3,"66,67","0,494","0,463","0,504",1,1,1,1,0,0,0,1,1,0,0,1
ENSGT00940000156370,6,100,"0,587","0,225","0,626",1,1,1,1,0,0,0,1,4,4,0,0
ENSGT00940000172014,3,100,"0,462","0,471","0,519",1,1,1,1,0,0,0,1,1,0,0,1
ENSGT00940000161512,6,100,"0,828",3E-72,"0,172",1,0,1,1,1,0,1,0,2,2,0,0
ENSGT00940000167505,5,100,"0,325","0,718","0,328",1,1,1,1,0,1,1,0,2,0,0,1
ENSGT00390000008744,16,75,"0,338","0,0001","0,662",1,0,1,1,0,0,0,1,1,3,1,0
ENSGT00940000156549,8,100,"0,109","0,002","0,902",1,0,1,1,0,0,0,1,4,5,1,0
ENSGT00390000006227,8,"87,5","0,626","0,009","0,464",1,0,1,1,1,0,1,0,5,5,0,0
ENSGT00940000153472,9,100,"0,963","0,032","0,099",1,0,1,1,1,0,1,0,4,2,0,1
ENSGT00940000158027,8,"62,5","0,487","0,513","0,469",1,1,1,1,0,1,1,0,6,6,0,0
ENSGT00910000147528,7,100,"0,667","0,15","0,566",1,1,1,1,1,0,1,0,5,5,0,0
ENSGT00950000183248,6,100,"0,422","0,723","0,125",1,1,1,1,0,1,1,0,1,1,0,0
ENSGT00940000157805,7,"57,14",1,"0,000000002",4E-63,1,0,1,0,1,0,1,0,5,5,0,0
ENSGT00940000159007,6,100,"0,792","0,318","0,145",1,1,1,1,1,0,1,0,2,2,0,0
ENSGT00390000007890,6,"83,33","0,489","0,483","0,487",1,1,1,1,1,0,1,0,3,3,0,0
ENSGT00940000158046,15,80,"0,613","0,0003","0,393",1,0,1,1,1,0,1,0,0,3,1,0
ENSGT00940000162075,15,100,"0,993","0,004","0,013",1,0,1,0,1,0,1,0,2,4,1,0
ENSGT00940000160970,4,50,"0,473","0,515","0,473",1,1,1,1,0,1,1,0,1,1,0,0
ENSGT00940000174692,11,"90,91","0,488","0,445","0,524",1,1,1,1,0,0,0,1,2,3,1,0
ENSGT00940000171677,5,80,"0,377","0,541","0,555",1,1,1,1,0,0,0,1,2,1,0,1
ENSGT00940000166658,16,50,"0,13",1E-48,"0,87",1,0,1,1,0,0,0,1,4,4,0,0
ENSGT00910000146899,10,90,"0,576","0,0003","0,43",1,0,1,1,1,0,1,0,8,7,0,1
ENSGT00940000178224,4,100,"0,487","0,44","0,514",1,1,1,1,0,0,0,1,1,2,1,0
ENSGT00940000157459,19,"94,74","0,919",1E-48,"0,081",1,0,1,1,1,0,1,0,16,16,0,0
ENSGT00390000010512,10,90,"0,042",8E-69,"0,958",0,0,0,1,0,0,0,1,6,5,0,1
ENSGT00900000143393,17,100,"0,815","0,0000001","0,188",1,0,1,1,1,0,1,0,4,4,0,0
ENSGT00940000159129,8,"87,5","0,0002",1,3E-11,0,1,1,0,0,1,1,0,5,4,0,1
ENSGT00940000155347,7,"28,57","0,871","0,274","0,037",1,1,1,0,1,0,1,0,3,3,0,0
ENSGT00940000167924,8,100,"0,485","0,473","0,499",1,1,1,1,0,0,0,1,0,2,1,0
ENSGT00720000108834,11,"72,73","0,455","0,232","0,707",1,1,1,1,0,0,0,1,4,4,0,0
ENSGT00940000164532,14,"71,43",1,"0,000001",1E-36,1,0,1,0,1,0,1,0,10,10,0,0
ENSGT00690000103118,14,100,"0,76","0,000003","0,24",1,0,1,1,1,0,1,0,0,2,1,0
