geneTreeID 	  nbLeaves  	  NbSharedLeaves 	 AU_TreeBest 	 au_nj  	 AU_Ensembl 	 TreeBestPassTest 	 NJPassTest 	 orthoGroupPassTest 	 EnsemblTreePassTest	 TreeBestBetter 	 NJBetter  	 orthoGroupBetter 	 EnsemblBetter 	 REC_TreeBest  	  REC_NJ  	  REC_Ensembl  	 Treebest_REC_is_best  	  NJ_REC_is_better  	  ortho_REC_is_best  	 Ensembl_REC_is_best 
ENSGT00940000169600	3	66.67	0.482	0.51	0.469	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000165548	13	84.62	0.09	0.001	0.929	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000160433	8	100.0	0.989	4e-05	0.011	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000179482	4	75.0	0.577	0.321	0.575	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000159954	10	100.0	0.999	6e-39	0.001	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000014590	6	66.67	0.756	0.45	0.629	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000155823	3	100.0	0.49	0.489	0.479	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000004040	8	87.5	0.881	0.139	0.206	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000147763	5	100.0	0.564	0.099	0.712	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000158783	18	72.22	1.0	5e-130	0.0003	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000165172	8	75.0	0.448	1e-07	0.552	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000001511	3	66.67	0.465	0.505	0.484	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000162164	9	100.0	0.523	0.02	0.593	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000156265	4	50.0	0.534	0.404	0.537	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000155294	16	37.5	0.916	9e-24	0.084	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000177095	18	100.0	0.859	0.0001	0.153	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158387	17	70.59	0.211	0.812	0.254	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00490000043356	3	100.0	0.46	0.514	0.486	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000159695	5	100.0	0.212	0.788	0.212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000173382	3	100.0	0.51	0.49	0.51	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000162567	3	100.0	0.429	0.079	0.571	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000179368	3	100.0	0.47	0.47	0.53	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00900000143818	9	100.0	0.559	0.007	0.515	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000159374	6	83.33	0.518	1e-07	0.482	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000185540	6	100.0	0.667	0.203	0.628	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000162882	12	83.33	0.985	2e-07	0.015	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178019	6	100.0	0.446	0.556	0.442	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000155727	10	60.0	0.535	6e-08	0.465	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000165652	9	100.0	0.816	0.0002	0.184	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000148642	3	100.0	0.512	0.511	0.489	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000164774	9	100.0	1.0	0.003	0.034	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000183038	3	100.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGT00940000166868	4	75.0	0.517	0.002	0.544	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00920000149145	14	78.57	0.494	6e-36	0.506	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000169631	8	62.5	0.227	0.767	0.323	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00390000008796	11	81.82	0.516	6e-38	0.484	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000164045	5	60.0	0.406	0.072	0.927	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000183533	9	100.0	0.605	0.021	0.545	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158566	5	60.0	0.887	9e-05	0.114	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000148173	3	100.0	0.514	0.486	0.514	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000158156	3	33.33	0.459	0.489	0.503	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000165675	5	60.0	0.858	0.143	5e-06	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178799	3	100.0	0.508	0.439	0.512	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000170385	3	100.0	0.501	0.477	0.479	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000169832	8	75.0	0.507	0.001	0.523	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000160978	3	100.0	0.038	0.038	0.962	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000169019	4	100.0	0.531	0.469	0.531	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00910000147974	7	100.0	0.63	0.014	0.529	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158220	9	88.89	0.016	0.006	0.994	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00910000144335	11	100.0	0.219	7e-73	0.781	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000158362	4	25.0	0.141	0.586	0.651	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000182863	6	50.0	0.134	0.89	0.139	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00950000183203	15	60.0	0.883	3e-07	0.117	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178120	5	100.0	0.505	0.452	0.49	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000010017	13	84.62	0.148	1e-10	0.854	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000003628	9	88.89	0.014	0.014	0.987	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00510000048991	3	33.33	0.505	0.314	0.625	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00400000024336	3	100.0	0.547	0.453	0.547	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00510000048509	3	66.67	0.097	0.492	0.558	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000166277	4	75.0	0.514	0.495	0.455	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000001810	4	75.0	0.98	0.007	0.98	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00420000029792	3	0.0	0.498	0.498	0.46	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ENSGT00960000189321	3	100.0	0.457	0.486	0.519	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000156370	6	100.0	0.608	0.218	0.613	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000172014	3	100.0	0.477	0.462	0.513	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000161512	6	100.0	0.829	0.194	0.244	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00530000069601	3	66.67	0.47	0.492	0.494	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000167505	5	80.0	0.489	0.637	0.6	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00390000008744	16	87.5	0.2	5e-07	0.8	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000178791	3	100.0	0.645	0.359	0.258	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000156549	8	87.5	0.232	0.002	0.802	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000164208	4	100.0	0.585	0.123	0.652	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000006227	8	87.5	0.562	1e-84	0.438	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00860000135889	3	100.0	0.381	0.381	0.619	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000153472	9	88.89	0.956	0.032	0.044	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158027	8	75.0	0.609	0.039	0.582	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00510000049503	6	83.33	0.634	0.005	0.457	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000147528	7	100.0	0.677	0.158	0.553	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000005412	3	66.67	0.488	0.502	0.465	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000155167	7	85.71	0.614	0.052	0.593	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000185451	3	100.0	0.489	0.503	0.468	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00950000185306	4	100.0	0.469	0.531	0.469	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000155807	6	100.0	0.354	0.006	0.741	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000183776	4	100.0	0.47	0.491	0.495	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000183248	6	100.0	0.672	0.393	0.367	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000172611	3	100.0	0.473	0.527	0.473	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000157805	7	100.0	0.534	0.003	0.529	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000161903	3	66.67	0.457	0.543	0.457	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000159007	6	100.0	0.826	0.296	0.162	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00740000117107	3	66.67	0.481	0.519	0.481	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00390000018351	6	100.0	0.566	0.049	0.646	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000156453	3	100.0	0.431	0.519	0.672	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000169009	3	100.0	0.475	0.485	0.499	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000007890	6	83.33	0.492	0.495	0.473	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00390000014476	8	100.0	0.544	0.004	0.533	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000161331	3	100.0	0.5	0.445	0.521	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00910000147183	5	100.0	0.474	2e-112	0.526	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000177245	3	100.0	0.484	0.494	0.479	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000164058	3	66.67	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGT00940000158046	15	80.0	0.5	2e-08	0.5	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000162075	15	100.0	0.987	8e-58	0.013	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000160970	4	75.0	0.495	0.498	0.459	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000160730	5	20.0	0.509	0.499	0.46	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000174692	11	100.0	0.479	0.395	0.578	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000171677	5	40.0	0.5	0.471	0.486	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000163940	3	100.0	0.6	0.394	0.6	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000166658	16	62.5	0.106	2e-06	0.894	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00910000146899	10	80.0	1.0	0.001	1e-64	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000171073	4	100.0	0.487	0.513	0.487	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000178224	4	100.0	0.513	0.471	0.47	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000157459	19	89.47	0.928	1e-78	0.072	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000155862	8	50.0	0.487	0.48	0.491	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000013286	9	66.67	0.574	0.023	0.565	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000010512	10	90.0	0.041	3e-07	0.96	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00930000152750	3	33.33	0.463	0.51	0.48	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00900000143393	17	100.0	0.809	1e-05	0.191	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178817	3	100.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGT00940000157071	5	80.0	0.047	0.953	0.047	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000159129	8	87.5	0.0001	1.0	8e-05	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000161652	6	100.0	0.496	0.546	0.428	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000163480	6	100.0	0.492	6e-07	0.508	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000154628	3	66.67	0.392	0.501	0.519	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000170905	5	100.0	0.523	9e-05	0.477	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000013662	9	100.0	0.519	0.0001	0.49	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000160763	4	100.0	0.455	0.487	0.508	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000163329	3	100.0	0.779	0.33	0.189	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000186428	4	100.0	0.635	0.017	0.523	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000003308	6	33.33	0.694	0.0002	0.323	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000157176	6	83.33	0.589	0.019	0.627	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000157707	8	37.5	0.491	5e-121	0.509	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000155347	7	28.57	0.8	0.361	0.154	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000168457	4	75.0	0.997	0.003	0.997	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000159126	4	50.0	0.594	0.406	0.594	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00880000138575	5	100.0	0.802	0.086	0.581	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000167924	8	100.0	0.632	0.155	0.634	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000164615	4	75.0	0.737	0.263	0.737	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00720000108834	11	72.73	0.427	3e-05	0.58	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000164532	14	85.71	0.002	1e-33	0.998	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000178764	5	100.0	0.644	0.041	0.547	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000166439	3	100.0	0.394	0.607	0.444	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000169068	4	100.0	0.492	0.459	0.501	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00690000103118	14	100.0	0.748	2e-07	0.252	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000146522	5	100.0	0.6	0.247	0.637	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000154956	19	52.63	0.008	0.992	5e-08	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000163213	12	91.67	0.528	3e-39	0.472	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000183312	11	100.0	0.761	0.003	0.328	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178277	4	100.0	0.488	0.448	0.521	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000169756	3	100.0	0.485	0.497	0.476	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000163331	3	100.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGT00390000003337	10	80.0	0.866	0.001	0.153	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000159800	11	63.64	0.512	1e-50	0.488	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000156022	3	66.67	0.48	0.494	0.486	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000161450	15	73.33	0.671	2e-106	0.329	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000160474	17	100.0	0.381	1e-27	0.619	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000178375	3	100.0	0.475	0.51	0.469	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000178042	9	44.44	0.413	3e-05	0.591	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00960000186606	7	57.14	0.153	0.117	0.896	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00920000150635	4	75.0	0.622	0.166	0.71	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000159651	3	33.33	0.467	0.501	0.512	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000163885	13	69.23	0.286	7e-54	0.714	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
