Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1042)   P(D|M,rr[2]=0.4231)   P(D|M,rr[3]=0.9677)   P(D|M,rr[4]=2.5050)   Posterior mean        
1      0.022951        0.022951              0.022951              0.022951              0.022951              1                     
2      0.061197        0.061197              0.061197              0.061197              0.061197              1                     
3      0.057337        0.057337              0.057337              0.057337              0.057337              1                     
4      0.022951        0.022951              0.022951              0.022951              0.022951              1                     
5      0.079066        0.079066              0.079066              0.079066              0.079066              1                     
6      0.061197        0.061197              0.061197              0.061197              0.061197              1                     
7      0.055941        0.055941              0.055941              0.055941              0.055941              1                     
8      0.055941        0.055941              0.055941              0.055941              0.055941              1                     
9      0.0646          0.0646                0.0646                0.0646                0.0646                1                     
10     0.04404         0.04404               0.04404               0.04404               0.04404               1                     
11     0.069147        0.069147              0.069147              0.069147              0.069147              1                     
12     0.061197        0.061197              0.061197              0.061197              0.061197              1                     
13     0.071586        0.071586              0.071586              0.071586              0.071586              1                     
14     0.061197        0.061197              0.061197              0.061197              0.061197              1                     
15     0.055941        0.055941              0.055941              0.055941              0.055941              1                     
16     0.057337        0.057337              0.057337              0.057337              0.057337              1                     
17     0.053287        0.053287              0.053287              0.053287              0.053287              1                     
18     0.0646          0.0646                0.0646                0.0646                0.0646                1                     
19     0.061197        0.061197              0.061197              0.061197              0.061197              1                     
20     0.057337        0.057337              0.057337              0.057337              0.057337              1                     
21     0.055941        0.055941              0.055941              0.055941              0.055941              1                     
22     0.00477841      0.0146499             0.0038944             0.000545053           2.42614e-05           0.196869              
23     8.14331e-06     7.98672e-06           1.33606e-05           8.52263e-06           2.70328e-06           0.660178              
24     1.21761e-06     7.00759e-09           2.34704e-07           1.1319e-06            3.49681e-06           2.04394               
25     1.40237e-06     4.1404e-09            1.8266e-07            1.13752e-06           4.28514e-06           2.12368               
26     0.0395061       0.054663              0.0472809             0.0370359             0.0190445             0.691331              
27     0.0395061       0.054663              0.0472809             0.0370359             0.0190445             0.691331              
28     5.10614e-05     1.41405e-06           1.77215e-05           5.9095e-05            0.000126015           1.86294               
29     7.71901e-05     1.01508e-06           1.48936e-05           6.33671e-05           0.000229485           2.08117               
30     0.000572496     7.80684e-05           0.000414064           0.000857664           0.000940188           1.47094               
31     0.00193721      0.000997436           0.0025275             0.00280584            0.00141807            0.96024               
32     2.43049e-05     8.83704e-06           1.79138e-05           2.48699e-05           4.55989e-05           1.5099                
33     1.75275e-07     2.11143e-10           1.11446e-08           9.25084e-08           5.97236e-07           2.26833               
34     1.94529e-05     2.83474e-07           4.59313e-06           1.90467e-05           5.38883e-05           1.99705               
35     0.0060711       0.016355              0.00642186            0.00143855            6.90019e-05           0.246523              
36     0.0060711       0.016355              0.00642186            0.00143855            6.90019e-05           0.246523              
37     3.74279e-05     3.32268e-05           5.3778e-05            4.09353e-05           2.17713e-05           0.803986              
38     0.00132896      0.00124994            0.00229197            0.00151924            0.000254697           0.603508              
39     0.00133682      0.000988686           0.00210429            0.00175812            0.000496188           0.736376              
40     2.30671e-06     2.05773e-07           1.81738e-06           3.76985e-06           3.43384e-06           1.41328               
41     4.1621e-07      1.64276e-08           1.99114e-07           5.99122e-07           8.50175e-07           1.67908               
42     8.23636e-06     7.86604e-06           1.47807e-05           9.314e-06             9.84686e-07           0.563147              
