geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest , au_nj  , AU_Ensembl , TreeBestPassTest , NJPassTest , orthoGroupPassTest , EnsemblTreePassTest, TreeBestBetter , NJBetter  , orthoGroupBetter , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best 
ENSGT00940000169600,3,"66,67","0,447","0,5","0,505",1,1,1,1,0,0,0,1,1,0,0,1
ENSGT00940000165548,13,100,"0,485","0,001","0,534",1,0,1,1,0,0,0,1,12,12,0,0
ENSGT00940000160433,8,100,"0,79","0,304","0,015",1,1,1,0,1,0,1,0,5,5,0,0
ENSGT00940000179482,4,75,"0,606","0,336","0,558",1,1,1,1,1,0,1,0,0,0,0,0
ENSGT00940000159954,10,90,1,"0,0003","0,001",1,0,1,0,1,0,1,0,8,8,0,0
ENSGT00390000014590,6,"83,33","0,531","0,555","0,395",1,1,1,1,0,1,1,0,3,3,0,0
ENSGT00940000155823,3,"33,33","0,465","0,498","0,499",1,1,1,1,0,0,0,1,0,0,0,0
ENSGT00390000004040,8,"62,5","0,558","0,04","0,593",1,0,1,1,0,0,0,1,2,1,0,1
ENSGT00910000147763,5,100,"0,565","0,092","0,72",1,1,1,1,0,0,0,1,2,2,0,0
ENSGT00940000158783,18,"61,11","0,997","0,0003","0,007",1,0,1,0,1,0,1,0,15,14,0,1
ENSGT00940000165172,8,75,"0,497","0,325","0,609",1,1,1,1,0,0,0,1,4,3,0,1
ENSGT00390000001511,3,"33,33","0,492","0,483","0,485",1,1,1,1,1,0,1,0,1,0,0,1
ENSGT00940000162164,9,100,"0,452","0,0004","0,549",1,0,1,1,0,0,0,1,7,7,0,0
ENSGT00940000156265,4,50,"0,53","0,435","0,503",1,1,1,1,1,0,1,0,1,1,0,0
ENSGT00940000155294,16,"56,25","0,63","0,001","0,395",1,0,1,1,1,0,1,0,0,4,1,0
ENSGT00940000177095,18,100,"0,922","0,0005","0,086",1,0,1,1,1,0,1,0,9,9,0,0
ENSGT00940000158387,17,"76,47","0,252","0,613","0,489",1,1,1,1,0,1,1,0,9,9,0,0
ENSGT00490000043356,3,100,"0,459","0,521","0,477",1,1,1,1,0,1,1,0,2,2,0,0
ENSGT00940000159695,5,100,"0,796","0,204","0,796",1,1,1,1,1,0,1,1,4,4,0,0
ENSGT00940000173382,3,100,"0,49","0,51","0,49",1,1,1,1,0,1,1,0,0,0,0,0
ENSGT00940000162567,3,100,"0,44","0,072","0,56",1,1,1,1,0,0,0,1,2,2,0,0
ENSGT00940000179368,3,100,"0,632","0,418","0,355",1,1,1,1,1,0,1,0,0,0,0,0
ENSGT00900000143818,9,100,"0,521","0,001","0,512",1,0,1,1,1,0,1,0,3,3,0,0
ENSGT00940000159374,6,"83,33","0,662","0,178","0,761",1,1,1,1,0,0,0,1,4,4,0,0
ENSGT00950000185540,6,100,"0,514","0,466","0,482",1,1,1,1,1,0,1,0,4,3,0,1
ENSGT00940000162882,12,"58,33","0,979",2E-44,"0,021",1,0,1,0,1,0,1,0,10,10,0,0
ENSGT00940000178019,6,100,"0,439","0,564","0,436",1,1,1,1,0,1,1,0,0,1,1,0
ENSGT00940000155727,10,40,"0,509","0,519","0,449",1,1,1,1,0,1,1,0,8,8,0,0
ENSGT00940000165652,9,100,"0,83","0,201","0,263",1,1,1,1,1,0,1,0,3,4,1,0
ENSGT00910000148642,3,100,"0,505","0,502","0,498",1,1,1,1,1,0,1,0,1,1,0,0
ENSGT00940000164774,9,100,"0,966","0,002","0,034",1,0,1,0,1,0,1,0,6,7,1,0
ENSGT00950000183038,3,"66,67",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
ENSGT00940000166868,4,75,"0,488","0,005","0,564",1,0,1,1,0,0,0,1,0,0,0,0
ENSGT00920000149145,14,"92,86","0,491","0,00002","0,51",1,0,1,1,0,0,0,1,11,11,0,0
ENSGT00940000169631,8,"87,5","0,381","0,67","0,031",1,1,1,0,0,1,1,0,4,5,1,0
ENSGT00390000008796,11,"81,82","0,507","0,001","0,494",1,0,1,1,1,0,1,0,7,7,0,0
ENSGT00940000164045,5,80,"0,385","0,08","0,925",1,1,1,1,0,0,0,1,3,3,0,0
ENSGT00950000183533,9,100,"0,574","0,008","0,547",1,0,1,1,1,0,1,0,5,5,0,0
ENSGT00940000158566,5,60,"0,619","0,486","0,491",1,1,1,1,1,0,1,0,1,1,0,0
ENSGT00910000148173,3,100,"0,502","0,497","0,502",1,1,1,1,1,0,1,1,0,0,0,0
ENSGT00940000158156,3,100,"0,479","0,526","0,416",1,1,1,1,0,1,1,0,1,1,0,0
ENSGT00940000165675,5,60,"0,616","0,01","0,512",1,0,1,1,1,0,1,0,2,1,0,1
ENSGT00940000178799,3,100,"0,493","0,458","0,506",1,1,1,1,0,0,0,1,0,0,0,0
ENSGT00940000170385,3,100,"0,513","0,463","0,48",1,1,1,1,1,0,1,0,0,0,0,0
ENSGT00940000169832,8,"87,5","0,52","0,002","0,525",1,0,1,1,0,0,0,1,1,1,0,0
ENSGT00940000160978,3,100,"0,024","0,505","0,512",0,1,1,1,0,0,0,1,0,0,0,0
ENSGT00940000169019,4,100,"0,53","0,47","0,53",1,1,1,1,1,0,1,1,1,1,0,0
ENSGT00910000147974,7,100,"0,476","0,431","0,543",1,1,1,1,0,0,0,1,5,5,0,0
ENSGT00940000158220,9,100,"0,017","0,002","0,991",0,0,0,1,0,0,0,1,6,7,1,0
ENSGT00910000144335,11,100,"0,217","0,022","0,907",1,0,1,1,0,0,0,1,7,7,0,0
ENSGT00940000158362,4,50,"0,143","0,142","0,863",1,1,1,1,0,0,0,1,1,1,0,0
ENSGT00950000182863,6,50,"0,00008",1,"0,00008",0,1,1,0,0,1,1,0,3,3,0,0
