geneTreeID 	  nbLeaves  	  NbSharedLeaves 	 AU_TreeBest 	 au_nj  	 AU_Ensembl 	 TreeBestPassTest 	 NJPassTest 	 orthoGroupPassTest 	 EnsemblTreePassTest	 TreeBestBetter 	 NJBetter  	 orthoGroupBetter 	 EnsemblBetter 	 REC_TreeBest  	  REC_NJ  	  REC_Ensembl  	 Treebest_REC_is_best  	  NJ_REC_is_better  	  ortho_REC_is_best  	 Ensembl_REC_is_best 
ENSGT00940000169600	3	66.67	0.469	0.485	0.501	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000165548	13	84.62	0.089	3e-06	0.911	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000160433	8	100.0	0.99	2e-50	0.01	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000179482	4	100.0	0.693	0.302	0.531	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000159954	10	90.0	0.999	2e-06	0.001	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000014590	6	66.67	0.603	0.0001	0.397	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000155823	3	33.33	0.469	0.469	0.531	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000004040	8	87.5	0.903	0.008	0.164	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000147763	5	100.0	0.509	4e-05	0.492	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158783	18	55.56	0.993	2e-07	0.007	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000165172	8	62.5	0.536	0.0003	0.476	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000001511	3	66.67	0.477	0.485	0.496	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000162164	9	100.0	0.56	0.079	0.633	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000156265	4	50.0	0.527	0.445	0.495	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000155294	16	31.25	0.971	0.0002	0.03	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000177095	18	100.0	0.832	0.0005	0.177	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158387	17	76.47	0.291	0.0004	0.725	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00490000043356	3	100.0	0.464	0.517	0.476	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000159695	5	100.0	0.21	0.79	0.21	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00940000173382	3	100.0	0.503	0.497	0.503	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000162567	3	100.0	0.434	0.07	0.566	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000179368	3	100.0	0.482	0.482	0.518	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00900000143818	9	100.0	0.517	8e-120	0.483	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000159374	6	83.33	0.646	0.182	0.776	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000185540	6	100.0	0.562	0.015	0.6	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000162882	12	83.33	0.985	3e-06	0.015	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178019	6	100.0	0.57	0.012	0.555	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000155727	10	80.0	0.538	2e-61	0.462	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000165652	9	100.0	0.815	5e-50	0.185	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00910000148642	3	100.0	0.497	0.495	0.505	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000164774	9	100.0	0.999	0.001	0.033	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000183038	3	100.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGT00940000166868	4	100.0	0.479	0.001	0.555	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00920000149145	14	78.57	0.475	2e-57	0.525	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000169631	8	87.5	0.842	0.101	0.239	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000008796	11	81.82	0.507	7e-70	0.493	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000164045	5	60.0	0.323	0.054	0.928	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000183533	9	100.0	0.627	0.019	0.56	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158566	5	60.0	0.494	0.0003	0.523	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00910000148173	3	100.0	0.502	0.498	0.502	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00940000158156	3	66.67	0.471	0.494	0.496	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000165675	5	60.0	0.86	0.14	4e-05	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178799	3	100.0	0.478	0.462	0.514	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000170385	3	100.0	0.51	0.475	0.471	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000169832	8	87.5	0.568	0.014	0.556	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000160978	3	100.0	0.037	0.512	0.533	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000169019	4	100.0	0.468	0.532	0.468	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00910000147974	7	100.0	0.62	0.015	0.535	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000158220	9	88.89	0.017	0.001	0.983	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00910000144335	11	100.0	0.218	5e-08	0.782	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000158362	4	25.0	0.139	0.534	0.71	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00950000182863	6	50.0	0.928	0.105	0.035	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
ENSGT00950000183203	15	60.0	0.764	0.0003	0.236	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000178120	5	100.0	0.55	0.046	0.659	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000010017	13	84.62	0.149	3e-11	0.852	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00390000003628	9	100.0	0.022	1e-60	0.978	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00510000048991	3	66.67	0.488	0.438	0.653	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00400000024336	3	100.0	0.554	0.446	0.554	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
ENSGT00510000048509	3	66.67	0.113	0.503	0.545	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000166277	4	75.0	0.508	0.482	0.472	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00390000001810	4	75.0	0.242	0.758	0.242	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSGT00420000029792	3	66.67	0.49	0.481	0.487	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00960000189321	3	100.0	0.456	0.491	0.516	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000156370	6	100.0	0.617	0.167	0.631	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSGT00940000172014	3	100.0	0.706	0.48	0.498	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
ENSGT00940000161512	6	100.0	0.858	0.051	0.216	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
