labrus_bergylta ENSLBEG00000019355
gasterosteus_aculeatus ENSGACG00000004159
tetraodon_nigroviridis ENSTNIG00000019487
takifugu_rubripes ENSTRUG00000025665
astatotilapia_calliptera ENSACLG00000007658
maylandia_zebra ENSMZEG00005003224
pundamilia_nyererei ENSPNYG00000010868
haplochromis_burtoni ENSHBUG00000022091
neolamprologus_brichardi ENSNBRG00000009685
oreochromis_niloticus ENSONIG00000008477
amphilophus_citrinellus ENSACIG00000018981
xiphophorus_maculatus ENSXMAG00000004620
xiphophorus_couchianus ENSXCOG00000019076
gambusia_affinis ENSGAFG00000001631
poecilia_latipinna ENSPLAG00000022198
poecilia_formosa ENSPFOG00000006872
poecilia_mexicana ENSPMEG00000001120
poecilia_reticulata ENSPREG00000002428
fundulus_heteroclitus ENSFHEG00000022336
cyprinodon_variegatus ENSCVAG00000011606
kryptolebias_marmoratus ENSKMAG00000017103
oryzias_latipes_asm223469v1 ENSORLG00015012553
oryzias_latipes ENSORLG00020018653
oryzias_melastigma ENSOMEG00000006245
stegastes_partitus ENSSPAG00000005868
cynoglossus_semilaevis ENSCSEG00000005396
periophthalmus_magnuspinnatus ENSPMGG00000011927
seriola_dumerili ENSSDUG00000002515
scophthalmus_maximus ENSSMAG00000016539
mastacembelus_armatus ENSMAMG00000012726
monopterus_albus ENSMALG00000011415
anabas_testudineus ENSATEG00000013974
amphiprion_percula ENSAPEG00000023695
amphiprion_ocellaris ENSAOCG00000015248
acanthochromis_polyacanthus ENSAPOG00000022731
hippocampus_comes ENSHCOG00000014923
gadus_morhua ENSGMOG00000002016
esox_lucius ENSELUG00000003558
danio_rerio ENSDARG00000105042
pygocentrus_nattereri ENSPNAG00000024671
stegastes_partitus ENSSPAG00000009644
acanthochromis_polyacanthus ENSAPOG00000005818
scophthalmus_maximus ENSSMAG00000000573
paramormyrops_kingsleyae ENSPKIG00000025466
scleropages_formosus ENSSFOG00015005833
lepisosteus_oculatus ENSLOCG00000005024
