ciona_intestinalis ENSCING00000020364
ciona_savignyi ENSCSAVG00000000677
caenorhabditis_elegans_strain_n2 WBGene00001092
gallus_gallus ENSGALG00000005858
coturnix_japonica ENSCJPG00005008150
meleagris_gallopavo ENSMGAG00000007966
numida_meleagris ENSNMEG00000020893
anser_brachyrhynchus ENSABRG00000014802
calidris_pygmaea ENSCPGG00000001280
calidris_pugnax ENSCPUG00000003698
melopsittacus_undulatus ENSMUNG00000014055
manacus_vitellinus ENSMVIG00005004844
lepidothrix_coronata ENSLCOG00000005078
taeniopygia_guttata ENSTGUG00000005923
lonchura_striata_domestica ENSLSDG00000011012
serinus_canaria ENSSCAG00000013772
zonotrichia_albicollis ENSZALG00000007373
junco_hyemalis ENSJHYG00000001370
ficedula_albicollis ENSFALG00000001674
cyanistes_caeruleus ENSCCEG00000003814
parus_major ENSPMJG00000019382
apteryx_haastii ENSAHAG00000006166
apteryx_owenii ENSAOWG00000002242
apteryx_rowi ENSARWG00000015216
nothoprocta_perdicaria ENSNPEG00000003581
gopherus_agassizii ENSGAGG00000007803
chelonoidis_abingdonii ENSCABG00000006228
chrysemys_picta_bellii ENSCPBG00000017406
pelodiscus_sinensis ENSPSIG00000008429
anolis_carolinensis ENSACAG00000005545
pogona_vitticeps ENSPVIG00000023485
notechis_scutatus ENSNSUG00000006941
salvator_merianae ENSSMRG00000014649
sphenodon_punctatus ENSSPUG00000002629
phascolarctos_cinereus ENSPCIG00000008809
notamacropus_eugenii ENSMEUG00000007405
sarcophilus_harrisii ENSSHAG00000005665
monodelphis_domestica ENSMODG00000004835
equus_asinus_asinus ENSEASG00005015585
equus_caballus ENSECAG00000010209
myotis_lucifugus ENSMLUG00000010684
ailuropoda_melanoleuca ENSAMEG00000009760
ursus_americanus ENSUAMG00000012310
neovison_vison ENSNVIG00000018633
mustela_putorius_furo ENSMPUG00000004025
canis_lupus_dingo ENSCAFG00020012625
canis_lupus_familiaris ENSCAFG00000020141
vulpes_vulpes ENSVVUG00000021225
panthera_tigris_altaica ENSPTIG00000018611
panthera_pardus ENSPPRG00000000301
felis_catus ENSFCAG00000012458
tursiops_truncatus ENSTTRG00000006989
sus_scrofa ENSSSCG00000028310
bos_taurus ENSBTAG00000008737
bos_mutus ENSBMUG00000015044
bison_bison_bison ENSBBBG00000005742
ovis_aries ENSOARG00000016770
capra_hircus ENSCHIG00000020958
vicugna_pacos ENSVPAG00000008040
erinaceus_europaeus ENSEEUG00000000818
panthera_pardus ENSPPRG00000017785
jaculus_jaculus ENSJJAG00000014286
jaculus_jaculus ENSJJAG00000004897
nannospalax_galili ENSNGAG00000022568
dipodomys_ordii ENSDORG00000029179
mus_spicilegus ENSMSIG00000020419
mus_musculus ENSMUSG00000029265
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028515
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027516
mus_pahari MGP_PahariEiJ_G0017289
rattus_norvegicus ENSRNOG00000000070
rattus_norvegicus ENSRNOG00000048308
meriones_unguiculatus ENSMUGG00000019470
cricetulus_griseus_crigri ENSCGRG00000005935
cricetulus_griseus_chok1gshd ENSCGRG00001008839
mesocricetus_auratus ENSMAUG00000013215
peromyscus_maniculatus_bairdii ENSPEMG00000030546
cricetulus_griseus_crigri ENSCGRG00000014005
cricetulus_griseus_crigri-picr ENSCGRG00015015470
cricetulus_griseus_chok1gshd ENSCGRG00001014204
mesocricetus_auratus ENSMAUG00000010844
microtus_ochrogaster ENSMOCG00000018088
castor_canadensis ENSCCNG00000016249
ictidomys_tridecemlineatus ENSSTOG00000014720
spermophilus_dauricus ENSSDAG00000022323
urocitellus_parryii ENSUPAG00010007132
marmota_marmota_marmota ENSMMMG00000024003
heterocephalus_glaber_female ENSHGLG00000020563
heterocephalus_glaber_male ENSHGLG00100001150
heterocephalus_glaber_male ENSHGLG00100004086
heterocephalus_glaber_female ENSHGLG00000007421
heterocephalus_glaber_male ENSHGLG00100000949
heterocephalus_glaber_female ENSHGLG00000004219
heterocephalus_glaber_male ENSHGLG00100011700
fukomys_damarensis ENSFDAG00000005621
cavia_porcellus ENSCPOG00000033199
cavia_aperea ENSCAPG00000009261
chinchilla_lanigera ENSCLAG00000009918
octodon_degus ENSODEG00000006106
oryctolagus_cuniculus ENSOCUG00000007398
ochotona_princeps ENSOPRG00000007019
microcebus_murinus ENSMICG00000028249
propithecus_coquereli ENSPCOG00000025924
prolemur_simus ENSPSMG00000014696
otolemur_garnettii ENSOGAG00000005967
pan_paniscus ENSPPAG00000027265
pan_troglodytes ENSPTRG00000000969
homo_sapiens ENSG00000117505
gorilla_gorilla ENSGGOG00000028511
pongo_abelii ENSPPYG00000001147
nomascus_leucogenys ENSNLEG00000010667
rhinopithecus_roxellana ENSRROG00000035147
rhinopithecus_bieti ENSRBIG00000035903
piliocolobus_tephrosceles ENSPTEG00000027569
colobus_angolensis_palliatus ENSCANG00000038497
macaca_nemestrina ENSMNEG00000028696
macaca_fascicularis ENSMFAG00000036672
theropithecus_gelada ENSTGEG00000024134
papio_anubis ENSPANG00000030741
chlorocebus_sabaeus ENSCSAG00000001477
cercocebus_atys ENSCATG00000032935
mandrillus_leucophaeus ENSMLEG00000011671
callithrix_jacchus ENSCJAG00000042580
callithrix_jacchus ENSCJAG00000045812
saimiri_boliviensis_boliviensis ENSSBOG00000021041
cebus_capucinus ENSCCAG00000030021
aotus_nancymaae ENSANAG00000028279
carlito_syrichta ENSTSYG00000026585
tupaia_belangeri ENSTBEG00000015101
loxodonta_africana ENSLAFG00000017540
choloepus_hoffmanni ENSCHOG00000006607
dasypus_novemcinctus ENSDNOG00000009812
echinops_telfairi ENSETEG00000020331
xenopus_tropicalis ENSXETG00000022989
latimeria_chalumnae ENSLACG00000003717
latimeria_chalumnae ENSLACG00000015863
mastacembelus_armatus ENSMAMG00000007916
cyprinodon_variegatus ENSCVAG00000012251
monopterus_albus ENSMALG00000014479
kryptolebias_marmoratus ENSKMAG00000012894
gasterosteus_aculeatus ENSGACG00000004108
labrus_bergylta ENSLBEG00000000282
scophthalmus_maximus ENSSMAG00000003164
seriola_lalandi_dorsalis ENSSLDG00000019992
seriola_dumerili ENSSDUG00000022478
mola_mola ENSMMOG00000017027
anabas_testudineus ENSATEG00000008877
amphiprion_ocellaris ENSAOCG00000008037
amphiprion_percula ENSAPEG00000023674
acanthochromis_polyacanthus ENSAPOG00000015469
stegastes_partitus ENSSPAG00000008932
maylandia_zebra ENSMZEG00005010073
astatotilapia_calliptera ENSACLG00000026635
pundamilia_nyererei ENSPNYG00000021460
haplochromis_burtoni ENSHBUG00000011537
neolamprologus_brichardi ENSNBRG00000015930
oreochromis_niloticus ENSONIG00000019238
amphilophus_citrinellus ENSACIG00000015836
poecilia_mexicana ENSPMEG00000000284
poecilia_formosa ENSPFOG00000016390
poecilia_latipinna ENSPLAG00000000412
poecilia_reticulata ENSPREG00000013925
xiphophorus_maculatus ENSXMAG00000003101
xiphophorus_couchianus ENSXCOG00000004262
gambusia_affinis ENSGAFG00000016568
fundulus_heteroclitus ENSFHEG00000014213
tetraodon_nigroviridis ENSTNIG00000007154
takifugu_rubripes ENSTRUG00000016627
