mus_spicilegus ENSMSIG00000027426
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018125
mus_musculus ENSMUSG00000020945
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017282
mus_pahari MGP_PahariEiJ_G0018412
rattus_norvegicus ENSRNOG00000003501
meriones_unguiculatus ENSMUGG00000003054
peromyscus_maniculatus_bairdii ENSPEMG00000006478
microtus_ochrogaster ENSMOCG00000014973
mesocricetus_auratus ENSMAUG00000017802
cricetulus_griseus_chok1gshd ENSCGRG00001009539
nannospalax_galili ENSNGAG00000015562
castor_canadensis ENSCCNG00000011582
dipodomys_ordii ENSDORG00000003826
chinchilla_lanigera ENSCLAG00000006037
octodon_degus ENSODEG00000007456
cavia_porcellus ENSCPOG00000005043
fukomys_damarensis ENSFDAG00000010385
oryctolagus_cuniculus ENSOCUG00000023930
heterocephalus_glaber_male ENSHGLG00100017246
heterocephalus_glaber_female ENSHGLG00000011388
castor_canadensis ENSCCNG00000026597
castor_canadensis ENSCCNG00000026589
castor_canadensis ENSCCNG00000027811
bos_taurus ENSBTAG00000000029
bos_mutus ENSBMUG00000012879
equus_asinus_asinus ENSEASG00005010555
erinaceus_europaeus ENSEEUG00000011265
sus_scrofa ENSSSCG00000017321
tursiops_truncatus ENSTTRG00000006229
ovis_aries ENSOARG00000010718
capra_hircus ENSCHIG00000010586
bison_bison_bison ENSBBBG00000020047
bos_mutus ENSBMUG00000001864
vicugna_pacos ENSVPAG00000015502
vicugna_pacos ENSVPAG00000015466
myotis_lucifugus ENSMLUG00000026767
sorex_araneus ENSSARG00000008965
vicugna_pacos ENSVPAG00000008793
equus_caballus ENSECAG00000016574
mustela_putorius_furo ENSMPUG00000008354
neovison_vison ENSNVIG00000022936
ursus_americanus ENSUAMG00000027277
ursus_maritimus ENSUMAG00000015427
canis_lupus_dingo ENSCAFG00020002003
canis_lupus_dingo ENSCAFG00020026828
canis_lupus_dingo ENSCAFG00020026835
canis_lupus_familiaris ENSCAFG00000013406
vulpes_vulpes ENSVVUG00000005096
felis_catus ENSFCAG00000033802
panthera_tigris_altaica ENSPTIG00000007580
cebus_capucinus ENSCCAG00000024194
cebus_capucinus ENSCCAG00000036951
callithrix_jacchus ENSCJAG00000015046
saimiri_boliviensis_boliviensis ENSSBOG00000029469
aotus_nancymaae ENSANAG00000034516
macaca_nemestrina ENSMNEG00000036987
macaca_fascicularis ENSMFAG00000044524
macaca_mulatta ENSMMUG00000006850
papio_anubis ENSPANG00000022934
chlorocebus_sabaeus ENSCSAG00000006206
theropithecus_gelada ENSTGEG00000017150
cercocebus_atys ENSCATG00000043618
mandrillus_leucophaeus ENSMLEG00000034002
rhinopithecus_bieti ENSRBIG00000029037
rhinopithecus_roxellana ENSRROG00000037519
colobus_angolensis_palliatus ENSCANG00000038437
piliocolobus_tephrosceles ENSPTEG00000017699
pan_troglodytes ENSPTRG00000009032
pan_paniscus ENSPPAG00000032212
gorilla_gorilla ENSGGOG00000010460
homo_sapiens ENSG00000275722
pongo_abelii ENSPPYG00000008199
nomascus_leucogenys ENSNLEG00000014207
carlito_syrichta ENSTSYG00000014108
propithecus_coquereli ENSPCOG00000016405
microcebus_murinus ENSMICG00000045192
prolemur_simus ENSPSMG00000003086
vulpes_vulpes ENSVVUG00000011325
vulpes_vulpes ENSVVUG00000002891
vulpes_vulpes ENSVVUG00000001633
canis_lupus_familiaris ENSCAFG00000025607
ailuropoda_melanoleuca ENSAMEG00000007948
vicugna_pacos ENSVPAG00000008157
jaculus_jaculus ENSJJAG00000011825
cricetulus_griseus_crigri ENSCGRG00000000891
procavia_capensis ENSPCAG00000013708
procavia_capensis ENSPCAG00000014269
procavia_capensis ENSPCAG00000008054
loxodonta_africana ENSLAFG00000029877
echinops_telfairi ENSETEG00000005323
dasypus_novemcinctus ENSDNOG00000005944
dasypus_novemcinctus ENSDNOG00000041972
ictidomys_tridecemlineatus ENSSTOG00000022928
marmota_marmota_marmota ENSMMMG00000001501
urocitellus_parryii ENSUPAG00010000731
notamacropus_eugenii ENSMEUG00000015843
ornithorhynchus_anatinus ENSOANG00000021579
