pygocentrus_nattereri ENSPNAG00000021343
ictalurus_punctatus ENSIPUG00000016675
danio_rerio ENSDARG00000079725
poecilia_latipinna ENSPLAG00000001496
poecilia_mexicana ENSPMEG00000019991
poecilia_formosa ENSPFOG00000019152
poecilia_reticulata ENSPREG00000019307
xiphophorus_maculatus ENSXMAG00000011305
cyprinodon_variegatus ENSCVAG00000009479
takifugu_rubripes ENSTRUG00000000828
labrus_bergylta ENSLBEG00000015511
cynoglossus_semilaevis ENSCSEG00000017621
periophthalmus_magnuspinnatus ENSPMGG00000009280
oryzias_latipes_asm223469v1 ENSORLG00015000892
oryzias_latipes ENSORLG00020015369
oryzias_latipes ENSORLG00000007454
oryzias_melastigma ENSOMEG00000002437
tetraodon_nigroviridis ENSTNIG00000004369
tetraodon_nigroviridis ENSTNIG00000002805
hippocampus_comes ENSHCOG00000012968
amphiprion_percula ENSAPEG00000006339
amphiprion_ocellaris ENSAOCG00000010719
acanthochromis_polyacanthus ENSAPOG00000000012
stegastes_partitus ENSSPAG00000009690
astatotilapia_calliptera ENSACLG00000022296
maylandia_zebra ENSMZEG00005014167
haplochromis_burtoni ENSHBUG00000004129
pundamilia_nyererei ENSPNYG00000008480
neolamprologus_brichardi ENSNBRG00000024348
oreochromis_niloticus ENSONIG00000000293
amphilophus_citrinellus ENSACIG00000016431
fundulus_heteroclitus ENSFHEG00000000250
mastacembelus_armatus ENSMAMG00000018644
monopterus_albus ENSMALG00000000318
anabas_testudineus ENSATEG00000007101
seriola_dumerili ENSSDUG00000017407
seriola_lalandi_dorsalis ENSSLDG00000003926
mola_mola ENSMMOG00000001268
esox_lucius ENSELUG00000010512
scleropages_formosus ENSSFOG00015017378
paramormyrops_kingsleyae ENSPKIG00000006698
lepisosteus_oculatus ENSLOCG00000002158
xiphophorus_couchianus ENSXCOG00000000601
gambusia_affinis ENSGAFG00000019021
kryptolebias_marmoratus ENSKMAG00000017840
astyanax_mexicanus ENSAMXG00000020901
latimeria_chalumnae ENSLACG00000017767
eptatretus_burgeri ENSEBUG00000003074
pogona_vitticeps ENSPVIG00000018712
anolis_carolinensis ENSACAG00000005023
notechis_scutatus ENSNSUG00000014274
salvator_merianae ENSSMRG00000011393
sphenodon_punctatus ENSSPUG00000003934
apteryx_owenii ENSAOWG00000016652
apteryx_haastii ENSAHAG00000015323
apteryx_rowi ENSARWG00000000727
dromaius_novaehollandiae ENSDNVG00000014519
nothoprocta_perdicaria ENSNPEG00000015276
calidris_pygmaea ENSCPGG00000000837
calidris_pugnax ENSCPUG00000010189
melopsittacus_undulatus ENSMUNG00000013766
taeniopygia_guttata ENSTGUG00000004019
taeniopygia_guttata ENSTGUG00000004038
lonchura_striata_domestica ENSLSDG00000010226
serinus_canaria ENSSCAG00000011273
junco_hyemalis ENSJHYG00000016096
zonotrichia_albicollis ENSZALG00000014879
cyanistes_caeruleus ENSCCEG00000020547
parus_major ENSPMJG00000019220
ficedula_albicollis ENSFALG00000002992
lepidothrix_coronata ENSLCOG00000001107
manacus_vitellinus ENSMVIG00005001430
crocodylus_porosus ENSCPRG00005013874
chelonoidis_abingdonii ENSCABG00000019045
gopherus_agassizii ENSGAGG00000024443
chrysemys_picta_bellii ENSCPBG00000015757
pelodiscus_sinensis ENSPSIG00000006241
notamacropus_eugenii ENSMEUG00000001470
phascolarctos_cinereus ENSPCIG00000003716
sarcophilus_harrisii ENSSHAG00000008540
monodelphis_domestica ENSMODG00000006955
castor_canadensis ENSCCNG00000013692
dipodomys_ordii ENSDORG00000012610
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015516
