pan_troglodytes ENSPTRG00000008930
pan_paniscus ENSPPAG00000040573
gorilla_gorilla ENSGGOG00000016719
homo_sapiens ENSG00000167525
pongo_abelii ENSPPYG00000008106
nomascus_leucogenys ENSNLEG00000027776
rhinopithecus_roxellana ENSRROG00000041476
rhinopithecus_bieti ENSRBIG00000038289
piliocolobus_tephrosceles ENSPTEG00000031230
colobus_angolensis ENSCANG00000008901
theropithecus_gelada ENSTGEG00000008534
chlorocebus_sabaeus ENSCSAG00000007147
cercocebus_atys ENSCATG00000039771
mandrillus_leucophaeus ENSMLEG00000019651
macaca_fascicularis ENSMFAG00000038426
macaca_mulatta ENSMMUG00000004710
macaca_nemestrina ENSMNEG00000032912
papio_anubis ENSPANG00000023434
cebus_capucinus ENSCCAG00000036305
saimiri_boliviensis ENSSBOG00000035969
callithrix_jacchus ENSCJAG00000013085
aotus_nancymaae ENSANAG00000036653
carlito_syrichta ENSTSYG00000004560
microcebus_murinus ENSMICG00000016911
prolemur_simus ENSPSMG00000024846
propithecus_coquereli ENSPCOG00000021262
otolemur_garnettii ENSOGAG00000012102
cricetulus_griseus ENSCGRG00001002318
cricetulus_griseus ENSCGRG00000018311
mesocricetus_auratus ENSMAUG00000021809
peromyscus_maniculatus ENSPEMG00000001834
microtus_ochrogaster ENSMOCG00000012204
mus_spretus MGP_SPRETEiJ_G0017638
mus_musculus ENSMUSG00000044122
mus_spicilegus ENSMSIG00000010601
mus_caroli MGP_CAROLIEiJ_G0016795
mus_pahari MGP_PahariEiJ_G0017932
rattus_norvegicus ENSRNOG00000023381
meriones_unguiculatus ENSMUGG00000023611
nannospalax_galili ENSNGAG00000015998
jaculus_jaculus ENSJJAG00000021483
dipodomys_ordii ENSDORG00000009244
cavia_porcellus ENSCPOG00000034983
cavia_aperea ENSCAPG00000005972
chinchilla_lanigera ENSCLAG00000005956
octodon_degus ENSODEG00000011263
heterocephalus_glaber ENSHGLG00000006580
heterocephalus_glaber ENSHGLG00100017921
fukomys_damarensis ENSFDAG00000010683
urocitellus_parryii ENSUPAG00010022224
ictidomys_tridecemlineatus ENSSTOG00000000591
marmota_marmota ENSMMMG00000011970
spermophilus_dauricus ENSSDAG00000010078
oryctolagus_cuniculus ENSOCUG00000025564
ochotona_princeps ENSOPRG00000012598
myotis_lucifugus ENSMLUG00000024179
sorex_araneus ENSSARG00000007080
equus_asinus ENSEASG00005009902
equus_caballus ENSECAG00000007184
ovis_aries ENSOARG00000003332
capra_hircus ENSCHIG00000022123
bos_mutus ENSBMUG00000007822
bos_taurus ENSBTAG00000017268
bison_bison ENSBBBG00000004842
tursiops_truncatus ENSTTRG00000004100
vicugna_pacos ENSVPAG00000006616
sus_scrofa ENSSSCG00000017770
ursus_americanus ENSUAMG00000005002
ursus_maritimus ENSUMAG00000011771
ailuropoda_melanoleuca ENSAMEG00000004737
neovison_vison ENSNVIG00000017002
canis_lupus ENSCAFG00000018779
vulpes_vulpes ENSVVUG00000017066
canis_lupus ENSCAFG00020011748
panthera_tigris ENSPTIG00000020363
panthera_pardus ENSPPRG00000024206
felis_catus ENSFCAG00000023333
loxodonta_africana ENSLAFG00000004557
procavia_capensis ENSPCAG00000016989
echinops_telfairi ENSETEG00000001617
echinops_telfairi ENSETEG00000005589
dasypus_novemcinctus ENSDNOG00000037105
