peromyscus_maniculatus ENSPEMG00000024486
cricetulus_griseus ENSCGRG00015020606
meriones_unguiculatus ENSMUGG00000020762
nomascus_leucogenys ENSNLEG00000033386
saimiri_boliviensis ENSSBOG00000028840
marmota_marmota ENSMMMG00000008439
castor_canadensis ENSCCNG00000005876
sus_scrofa ENSSSCG00000040362
bos_mutus ENSBMUG00000020113
ursus_americanus ENSUAMG00000023805
ursus_maritimus ENSUMAG00000009541
canis_lupus ENSCAFG00000042697
canis_lupus ENSCAFG00020003367
vulpes_vulpes ENSVVUG00000009747
panthera_pardus ENSPPRG00000024939
panthera_tigris ENSPTIG00000020884
felis_catus ENSFCAG00000049240
marmota_marmota ENSMMMG00000018826
spermophilus_dauricus ENSSDAG00000016615
urocitellus_parryii ENSUPAG00010012006
castor_canadensis ENSCCNG00000014214
piliocolobus_tephrosceles ENSPTEG00000020737
piliocolobus_tephrosceles ENSPTEG00000014690
theropithecus_gelada ENSTGEG00000006012
callithrix_jacchus ENSCJAG00000053070
phascolarctos_cinereus ENSPCIG00000018337
vombatus_ursinus ENSVURG00010006282
