oryzias_latipes_asm223469v1 ENSORLG00015017131
poecilia_reticulata ENSPREG00000006725
gadus_morhua ENSGMOG00000002908
takifugu_rubripes ENSTRUG00000020238
takifugu_rubripes ENSTRUG00000021116
labrus_bergylta ENSLBEG00000001986
amphiprion_ocellaris ENSAOCG00000004502
stegastes_partitus ENSSPAG00000013974
acanthochromis_polyacanthus ENSAPOG00000008145
poecilia_formosa ENSPFOG00000023128
poecilia_mexicana ENSPMEG00000008049
xiphophorus_maculatus ENSXMAG00000028929
kryptolebias_marmoratus ENSKMAG00000009739
neolamprologus_brichardi ENSNBRG00000007268
gadus_morhua ENSGMOG00000017387
hippocampus_comes ENSHCOG00000016553
pygocentrus_nattereri ENSPNAG00000019710
scleropages_formosus ENSSFOG00015023733
scleropages_formosus ENSSFOG00015023741
