urocitellus_parryii ENSUPAG00010011450
fukomys_damarensis ENSFDAG00000010396
mus_musculus ENSMUSG00000094413
mus_musculus ENSMUSG00000096653
mus_musculus ENSMUSG00000094016
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002385
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002384
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002383
mus_spicilegus ENSMSIG00000019713
mus_musculus ENSMUSG00000105953
mus_musculus ENSMUSG00000104915
mus_musculus ENSMUSG00000076848
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002376
meriones_unguiculatus ENSMUGG00000013504
peromyscus_maniculatus_bairdii ENSPEMG00000028928
peromyscus_maniculatus_bairdii ENSPEMG00000027414
peromyscus_maniculatus_bairdii ENSPEMG00000029995
peromyscus_maniculatus_bairdii ENSPEMG00000025684
peromyscus_maniculatus_bairdii ENSPEMG00000024890
peromyscus_maniculatus_bairdii ENSPEMG00000030789
peromyscus_maniculatus_bairdii ENSPEMG00000028593
cricetulus_griseus_crigri-picr ENSCGRG00015005202
cricetulus_griseus_crigri-picr ENSCGRG00015005283
peromyscus_maniculatus_bairdii ENSPEMG00000027996
cricetulus_griseus_crigri-picr ENSCGRG00015020573
meriones_unguiculatus ENSMUGG00000002105
meriones_unguiculatus ENSMUGG00000001277
castor_canadensis ENSCCNG00000003378
tupaia_belangeri ENSTBEG00000017339
pan_troglodytes ENSPTRG00000048851
pan_troglodytes ENSPTRG00000050306
pan_paniscus ENSPPAG00000033355
pan_paniscus ENSPPAG00000032150
pan_paniscus ENSPPAG00000032062
gorilla_gorilla ENSGGOG00000043740
nomascus_leucogenys ENSNLEG00000027936
theropithecus_gelada ENSTGEG00000017194
theropithecus_gelada ENSTGEG00000017177
papio_anubis ENSPANG00000035382
macaca_nemestrina ENSMNEG00000017026
mandrillus_leucophaeus ENSMLEG00000027824
mandrillus_leucophaeus ENSMLEG00000027634
mandrillus_leucophaeus ENSMLEG00000025400
papio_anubis ENSPANG00000034084
chlorocebus_sabaeus ENSCSAG00000016367
rhinopithecus_roxellana ENSRROG00000026447
rhinopithecus_bieti ENSRBIG00000009496
piliocolobus_tephrosceles ENSPTEG00000021920
prolemur_simus ENSPSMG00000012617
equus_caballus ENSECAG00000038625
myotis_lucifugus ENSMLUG00000003798
ovis_aries ENSOARG00000001065
ovis_aries ENSOARG00000019498
bison_bison_bison ENSBBBG00000024315
ovis_aries ENSOARG00000019501
ovis_aries ENSOARG00000019506
ovis_aries ENSOARG00000010310
ovis_aries ENSOARG00000001071
bison_bison_bison ENSBBBG00000024399
bison_bison_bison ENSBBBG00000021005
bison_bison_bison ENSBBBG00000016796
ovis_aries ENSOARG00000000828
ovis_aries ENSOARG00000019509
ovis_aries ENSOARG00000002669
ovis_aries ENSOARG00000019519
bos_mutus ENSBMUG00000002573
bos_mutus ENSBMUG00000005012
bison_bison_bison ENSBBBG00000024371
ovis_aries ENSOARG00000019560
ovis_aries ENSOARG00000000214
ovis_aries ENSOARG00000009987
ovis_aries ENSOARG00000001088
bos_mutus ENSBMUG00000010043
ovis_aries ENSOARG00000019555
ovis_aries ENSOARG00000019538
ovis_aries ENSOARG00000002265
ovis_aries ENSOARG00000000202
ovis_aries ENSOARG00000019511
ovis_aries ENSOARG00000002274
ovis_aries ENSOARG00000001350
bos_mutus ENSBMUG00000009553
ovis_aries ENSOARG00000019525
sus_scrofa ENSSSCG00000036745
sus_scrofa ENSSSCG00000039621
sus_scrofa ENSSSCG00000033825
sus_scrofa ENSSSCG00000039381
sus_scrofa ENSSSCG00000040308
sus_scrofa ENSSSCG00000031632
sus_scrofa ENSSSCG00000040640
sus_scrofa ENSSSCG00000036550
sus_scrofa ENSSSCG00000038909
erinaceus_europaeus ENSEEUG00000010207
myotis_lucifugus ENSMLUG00000029316
prolemur_simus ENSPSMG00000012638
sorex_araneus ENSSARG00000001589
loxodonta_africana ENSLAFG00000025659
loxodonta_africana ENSLAFG00000028914
