colobus_angolensis_palliatus ENSCANG00000013884
piliocolobus_tephrosceles ENSPTEG00000009613
rhinopithecus_roxellana ENSRROG00000017009
macaca_nemestrina ENSMNEG00000012988
macaca_mulatta ENSMMUG00000047890
theropithecus_gelada ENSTGEG00000009395
papio_anubis ENSPANG00000032678
mandrillus_leucophaeus ENSMLEG00000020170
cercocebus_atys ENSCATG00000016853
pan_paniscus ENSPPAG00000037893
pan_troglodytes ENSPTRG00000047784
gorilla_gorilla ENSGGOG00000044065
saimiri_boliviensis_boliviensis ENSSBOG00000021032
