melopsittacus_undulatus ENSMUNG00000006107
anas_platyrhynchos_platyrhynchos ENSAPLG00000019522
serinus_canaria ENSSCAG00000002712
zonotrichia_albicollis ENSZALG00000008186
cyanistes_caeruleus ENSCCEG00000002265
rhinopithecus_roxellana ENSRROG00000040823
rhinopithecus_bieti ENSRBIG00000041696
piliocolobus_tephrosceles ENSPTEG00000025947
colobus_angolensis_palliatus ENSCANG00000040344
macaca_fascicularis ENSMFAG00000039432
paramormyrops_kingsleyae ENSPKIG00000024341
labrus_bergylta ENSLBEG00000008551
