chinchilla_lanigera ENSCLAG00000002350
octodon_degus ENSODEG00000014331
cavia_porcellus ENSCPOG00000002107
fukomys_damarensis ENSFDAG00000008727
heterocephalus_glaber_female ENSHGLG00000004269
urocitellus_parryii ENSUPAG00010022902
ictidomys_tridecemlineatus ENSSTOG00000002737
marmota_marmota_marmota ENSMMMG00000006963
spermophilus_dauricus ENSSDAG00000021458
castor_canadensis ENSCCNG00000011002
dipodomys_ordii ENSDORG00000004044
cricetulus_griseus_crigri ENSCGRG00000004899
cricetulus_griseus_crigri-picr ENSCGRG00015027353
cricetulus_griseus_chok1gshd ENSCGRG00001000119
mesocricetus_auratus ENSMAUG00000001897
microtus_ochrogaster ENSMOCG00000022535
peromyscus_maniculatus_bairdii ENSPEMG00000016163
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031794
mus_spicilegus ENSMSIG00000027253
mus_musculus ENSMUSG00000025500
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030683
mus_pahari MGP_PahariEiJ_G0013882
rattus_norvegicus ENSRNOG00000017050
meriones_unguiculatus ENSMUGG00000012248
jaculus_jaculus ENSJJAG00000021012
ochotona_princeps ENSOPRG00000004258
tupaia_belangeri ENSTBEG00000011776
propithecus_coquereli ENSPCOG00000017293
prolemur_simus ENSPSMG00000025318
microcebus_murinus ENSMICG00000002435
otolemur_garnettii ENSOGAG00000004973
pan_paniscus ENSPPAG00000027175
pan_troglodytes ENSPTRG00000003121
homo_sapiens ENSG00000185522
gorilla_gorilla ENSGGOG00000015450
pongo_abelii ENSPPYG00000002870
nomascus_leucogenys ENSNLEG00000035357
mandrillus_leucophaeus ENSMLEG00000041605
cercocebus_atys ENSCATG00000029736
papio_anubis ENSPANG00000011319
theropithecus_gelada ENSTGEG00000023218
macaca_fascicularis ENSMFAG00000033590
macaca_nemestrina ENSMNEG00000035399
macaca_mulatta ENSMMUG00000021664
chlorocebus_sabaeus ENSCSAG00000011007
rhinopithecus_bieti ENSRBIG00000038456
rhinopithecus_roxellana ENSRROG00000037156
colobus_angolensis_palliatus ENSCANG00000030815
piliocolobus_tephrosceles ENSPTEG00000019861
cebus_capucinus ENSCCAG00000036107
saimiri_boliviensis_boliviensis ENSSBOG00000025789
aotus_nancymaae ENSANAG00000022952
ursus_americanus ENSUAMG00000022214
ursus_maritimus ENSUMAG00000005515
ailuropoda_melanoleuca ENSAMEG00000010551
canis_lupus_familiaris ENSCAFG00000006526
canis_lupus_dingo ENSCAFG00020006956
vulpes_vulpes ENSVVUG00000017191
mustela_putorius_furo ENSMPUG00000008783
neovison_vison ENSNVIG00000005693
panthera_pardus ENSPPRG00000007833
equus_caballus ENSECAG00000009345
equus_asinus_asinus ENSEASG00005007102
bos_mutus ENSBMUG00000006131
bos_taurus ENSBTAG00000047713
bison_bison_bison ENSBBBG00000021757
capra_hircus ENSCHIG00000023094
ovis_aries ENSOARG00000007058
tursiops_truncatus ENSTTRG00000011123
sus_scrofa ENSSSCG00000030137
pteropus_vampyrus ENSPVAG00000006858
dasypus_novemcinctus ENSDNOG00000037434
loxodonta_africana ENSLAFG00000029824
procavia_capensis ENSPCAG00000011382
phascolarctos_cinereus ENSPCIG00000008350
sarcophilus_harrisii ENSSHAG00000004794
monodelphis_domestica ENSMODG00000011024
caenorhabditis_elegans_strain_n2 WBGene00044296
