neovison_vison ENSNVIG00000024693
mustela_putorius_furo ENSMPUG00000006501
ursus_maritimus ENSUMAG00000023058
canis_lupus_familiaris ENSCAFG00000030057
canis_lupus_dingo ENSCAFG00020013089
panthera_tigris_altaica ENSPTIG00000014852
panthera_pardus ENSPPRG00000014300
felis_catus ENSFCAG00000042152
ursus_americanus ENSUAMG00000013694
equus_caballus ENSECAG00000019720
castor_canadensis ENSCCNG00000000316
ochotona_princeps ENSOPRG00000009576
ovis_aries ENSOARG00000008999
capra_hircus ENSCHIG00000026492
bos_mutus ENSBMUG00000018164
bos_taurus ENSBTAG00000049610
bison_bison_bison ENSBBBG00000016245
tursiops_truncatus ENSTTRG00000003667
sus_scrofa ENSSSCG00000038289
pteropus_vampyrus ENSPVAG00000015576
equus_caballus ENSECAG00000005886
equus_asinus_asinus ENSEASG00005013627
pan_paniscus ENSPPAG00000030412
pan_troglodytes ENSPTRG00000011109
homo_sapiens ENSG00000263002
gorilla_gorilla ENSGGOG00000043986
pongo_abelii ENSPPYG00000029812
nomascus_leucogenys ENSNLEG00000001910
papio_anubis ENSPANG00000030897
theropithecus_gelada ENSTGEG00000017258
macaca_mulatta ENSMMUG00000021473
macaca_nemestrina ENSMNEG00000031698
macaca_fascicularis ENSMFAG00000001056
mandrillus_leucophaeus ENSMLEG00000040534
cercocebus_atys ENSCATG00000036642
chlorocebus_sabaeus ENSCSAG00000003333
rhinopithecus_bieti ENSRBIG00000026634
rhinopithecus_roxellana ENSRROG00000039450
colobus_angolensis_palliatus ENSCANG00000033344
piliocolobus_tephrosceles ENSPTEG00000032127
cebus_capucinus ENSCCAG00000033303
saimiri_boliviensis_boliviensis ENSSBOG00000022973
callithrix_jacchus ENSCJAG00000038929
aotus_nancymaae ENSANAG00000031567
carlito_syrichta ENSTSYG00000003915
prolemur_simus ENSPSMG00000011237
microcebus_murinus ENSMICG00000044820
propithecus_coquereli ENSPCOG00000023134
tupaia_belangeri ENSTBEG00000002398
procavia_capensis ENSPCAG00000012543
equus_caballus ENSECAG00000032336
dasypus_novemcinctus ENSDNOG00000034624
choloepus_hoffmanni ENSCHOG00000003349
