poecilia_latipinna ENSPLAG00000001185
poecilia_formosa ENSPFOG00000001232
cyprinodon_variegatus ENSCVAG00000014349
kryptolebias_marmoratus ENSKMAG00000010889
kryptolebias_marmoratus ENSKMAG00000017163
poecilia_reticulata ENSPREG00000002865
amphilophus_citrinellus ENSACIG00000011380
amphilophus_citrinellus ENSACIG00000016218
maylandia_zebra ENSMZEG00005001462
astatotilapia_calliptera ENSACLG00000013870
haplochromis_burtoni ENSHBUG00000021095
maylandia_zebra ENSMZEG00005006825
neolamprologus_brichardi ENSNBRG00000003569
acanthochromis_polyacanthus ENSAPOG00000010558
seriola_dumerili ENSSDUG00000000809
esox_lucius ENSELUG00000006616
pygocentrus_nattereri ENSPNAG00000015815
