sus_scrofa ENSSSCG00000013976
ovis_aries ENSOARG00000012906
equus_caballus ENSECAG00000019801
equus_asinus_asinus ENSEASG00005006754
marmota_marmota_marmota ENSMMMG00000010966
marmota_marmota_marmota ENSMMMG00000001545
spermophilus_dauricus ENSSDAG00000019081
ictidomys_tridecemlineatus ENSSTOG00000021319
ictidomys_tridecemlineatus ENSSTOG00000027829
spermophilus_dauricus ENSSDAG00000004246
castor_canadensis ENSCCNG00000024985
dipodomys_ordii ENSDORG00000025928
mus_spicilegus ENSMSIG00000002887
mus_musculus ENSMUSG00000069873
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016389
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017231
mus_pahari MGP_PahariEiJ_G0017524
rattus_norvegicus ENSRNOG00000043116
meriones_unguiculatus ENSMUGG00000009938
cricetulus_griseus_chok1gshd ENSCGRG00001018400
cricetulus_griseus_crigri-picr ENSCGRG00015019213
cricetulus_griseus_crigri ENSCGRG00000003696
mesocricetus_auratus ENSMAUG00000022004
microtus_ochrogaster ENSMOCG00000019006
peromyscus_maniculatus_bairdii ENSPEMG00000021874
nannospalax_galili ENSNGAG00000016688
jaculus_jaculus ENSJJAG00000017864
chinchilla_lanigera ENSCLAG00000005904
octodon_degus ENSODEG00000003866
heterocephalus_glaber_female ENSHGLG00000004065
fukomys_damarensis ENSFDAG00000005715
cavia_porcellus ENSCPOG00000026703
cavia_aperea ENSCAPG00000010276
oryctolagus_cuniculus ENSOCUG00000022016
loxodonta_africana ENSLAFG00000025590
dasypus_novemcinctus ENSDNOG00000031041
dasypus_novemcinctus ENSDNOG00000045503
dasypus_novemcinctus ENSDNOG00000035518
dasypus_novemcinctus ENSDNOG00000049715
dasypus_novemcinctus ENSDNOG00000030765
dasypus_novemcinctus ENSDNOG00000031458
dasypus_novemcinctus ENSDNOG00000039008
dasypus_novemcinctus ENSDNOG00000037124
phascolarctos_cinereus ENSPCIG00000016245
sarcophilus_harrisii ENSSHAG00000003615
monodelphis_domestica ENSMODG00000009178
